customer,anomaly_type,top_k,raw_count,log1p_count,intersection,union,jaccard
620000,contextual_point,25,25,25,11,39,0.28205128205128205
620000,global_point,25,25,25,10,40,0.25
620000,subsequence_pattern,25,25,25,0,50,0.0
633000,contextual_point,25,25,25,13,37,0.35135135135135137
633000,global_point,25,25,25,2,48,0.041666666666666664
633000,subsequence_pattern,25,25,25,3,47,0.06382978723404255
2968000,contextual_point,25,25,25,16,34,0.47058823529411764
2968000,global_point,25,25,25,13,37,0.35135135135135137
2968000,subsequence_pattern,25,25,25,12,38,0.3157894736842105
3296000,contextual_point,25,25,25,16,34,0.47058823529411764
3296000,global_point,25,25,25,4,46,0.08695652173913043
3296000,subsequence_pattern,25,25,25,8,42,0.19047619047619047
13400000,contextual_point,25,25,25,11,39,0.28205128205128205
13400000,global_point,25,25,25,6,44,0.13636363636363635
13400000,subsequence_pattern,25,25,25,3,47,0.06382978723404255
13401000,contextual_point,25,25,25,11,39,0.28205128205128205
13401000,global_point,25,25,25,13,37,0.35135135135135137
13401000,subsequence_pattern,25,25,25,8,42,0.19047619047619047
161832000,contextual_point,25,25,25,14,36,0.3888888888888889
161832000,global_point,25,25,25,2,48,0.041666666666666664
161832000,subsequence_pattern,25,25,25,12,38,0.3157894736842105
161835000,contextual_point,25,25,25,13,37,0.35135135135135137
161835000,global_point,25,25,25,9,41,0.21951219512195122
161835000,subsequence_pattern,25,25,25,13,37,0.35135135135135137
161836000,contextual_point,25,25,25,12,38,0.3157894736842105
161836000,global_point,25,25,25,4,46,0.08695652173913043
161836000,subsequence_pattern,25,25,25,11,39,0.28205128205128205
161838000,contextual_point,25,25,25,19,31,0.6129032258064516
161838000,global_point,25,25,25,16,34,0.47058823529411764
161838000,subsequence_pattern,25,25,25,15,35,0.42857142857142855
330387000,contextual_point,25,25,25,13,37,0.35135135135135137
330387000,global_point,25,25,25,9,41,0.21951219512195122
330387000,subsequence_pattern,25,25,25,9,41,0.21951219512195122
