consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,538,2024-04-22,0.9237694136562671,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,9,units;dp;zms;isolation_forest;ocsvm;catch;tsnet;dagmm;knn,2
2,541,2024-04-25,0.9213693041871922,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,9,itrans;calf;units;zms;ocsvm;catch;tsnet;dagmm;knn,1
3,531,2024-04-15,0.911227357861248,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,10,calf;units;gpt4ts;dp;zms;isolation_forest;ocsvm;catch;tsnet;knn,1
4,561,2024-05-15,0.9031385339696223,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,3,itrans;gpt4ts;ocsvm,2
5,580,2024-06-03,0.8995219148667424,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,4,itrans;dp;zms;ocsvm,1
6,596,2024-06-19,0.8926335733232285,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,6,gpt4ts;dp;zms;isolation_forest;kmeans_univariate;kmeans_multivariate,4
7,562,2024-05-16,0.8915016933497537,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,7,itrans;gpt4ts;zms;ocsvm;catch;dagmm;knn,1
8,584,2024-06-07,0.8870588606795504,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,7,itrans;zms;kmeans_univariate;ocsvm;tsnet;knn;kmeans_multivariate,1
9,588,2024-06-11,0.8830706075533663,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,4,dp;zms;ocsvm;kmeans_multivariate,8
10,539,2024-04-23,0.8715462720648604,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,9,itrans;calf;zms;isolation_forest;ocsvm;catch;tsnet;dagmm;knn,4
