consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,596,2024-06-19,0.993431855500821,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,4.0
2,580,2024-06-03,0.9846743295019157,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,1.0
3,531,2024-04-15,0.9832871510673235,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,3.0
4,588,2024-06-11,0.9715380405035577,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,12.0
5,538,2024-04-22,0.9654471127531472,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,2.0
6,370,2023-11-06,0.9624367131910235,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,5.0
7,541,2024-04-25,0.9561525041050902,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,5.0
8,153,2023-04-03,0.9350283935413246,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,1.0
9,486,2024-03-01,0.9344861795292829,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,11.0
10,587,2024-06-10,0.9343185550082103,3,2,dp;zms;isolation_forest,units;calf,0,,
11,314,2023-09-11,0.9129173508483854,5,0,dp;zms;units;isolation_forest;calf,,1,units,10.0
12,569,2024-05-23,0.9105996852764093,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,13.0
13,539,2024-04-23,0.9099993158182814,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,8.0
14,356,2023-10-23,0.9073464012041599,5,0,dp;zms;units;isolation_forest;calf,,0,,
15,499,2024-03-14,0.8883483853311439,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,21.0
16,570,2024-05-24,0.8823891625615763,5,0,dp;zms;units;isolation_forest;calf,,1,calf,16.0
17,566,2024-05-20,0.8811217159277505,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,8.0
18,100,2023-02-09,0.8751488095238095,5,0,dp;zms;units;isolation_forest;calf,,1,units,24.0
19,524,2024-04-08,0.8671113847837985,5,0,dp;zms;units;isolation_forest;calf,,1,units,4.0
20,489,2024-03-04,0.8621835659551177,5,0,dp;zms;units;isolation_forest;calf,,0,,
21,573,2024-05-27,0.8596247263273126,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,10.0
22,561,2024-05-15,0.857962164750958,5,0,dp;zms;units;isolation_forest;calf,,0,,
23,502,2024-03-17,0.8570915435139573,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,14.0
24,594,2024-06-17,0.8513957307060757,3,2,dp;zms;isolation_forest,units;calf,1,zms,20.0
25,321,2023-09-18,0.8492268746579091,5,0,dp;zms;units;isolation_forest;calf,,1,zms,21.0
