method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
dp,1,585,2024-06-08,20.122215270996094,1.0,0.7594417077175697,74,3,2,dp;zms;isolation_forest,units;calf
dp,2,564,2024-05-18,19.266468048095703,0.9983579638752053,0.7583093869731801,76,5,0,dp;zms;units;isolation_forest;calf,
dp,3,580,2024-06-03,18.103252410888672,0.9967159277504105,0.9846743295019157,2,3,2,dp;zms;isolation_forest,units;calf
dp,4,538,2024-04-22,17.13895606994629,0.9950738916256158,0.9654471127531472,5,5,0,dp;zms;units;isolation_forest;calf,
dp,5,223,2023-06-12,16.380462646484375,0.993431855500821,0.7802562260536399,62,5,0,dp;zms;units;isolation_forest;calf,
dp,6,596,2024-06-19,14.5692720413208,0.9917898193760263,0.993431855500821,1,3,2,dp;zms;isolation_forest,units;calf
dp,7,595,2024-06-18,13.142009735107422,0.9901477832512315,0.6696770662287904,127,3,2,dp;zms;isolation_forest,units;calf
dp,8,571,2024-05-25,13.046431541442871,0.9885057471264368,0.6869047619047619,118,5,0,dp;zms;units;isolation_forest;calf,
dp,9,531,2024-04-15,11.812113761901855,0.986863711001642,0.9832871510673235,3,5,0,dp;zms;units;isolation_forest;calf,
dp,10,487,2024-03-02,11.46911334991455,0.9852216748768473,0.7751967022441161,65,5,0,dp;zms;units;isolation_forest;calf,
dp,11,514,2024-03-29,11.309967041015625,0.9835796387520526,0.838257731253421,31,5,0,dp;zms;units;isolation_forest;calf,
dp,12,566,2024-05-20,11.054303169250488,0.9819376026272578,0.8811217159277505,17,5,0,dp;zms;units;isolation_forest;calf,
dp,13,510,2024-03-25,10.780810356140137,0.9802955665024631,0.80828886152162,45,5,0,dp;zms;units;isolation_forest;calf,
dp,14,573,2024-05-27,10.677022933959961,0.9786535303776683,0.8596247263273126,21,5,0,dp;zms;units;isolation_forest;calf,
dp,15,588,2024-06-11,10.148554801940918,0.9770114942528736,0.9715380405035577,4,3,2,dp;zms;isolation_forest,units;calf
dp,16,370,2023-11-06,10.093076705932617,0.9753694581280788,0.9624367131910235,6,5,0,dp;zms;units;isolation_forest;calf,
