method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
dp,1,531,2024-04-15,10.390032768249512,1.0,0.9930555555555556,1,5,0,dp;zms;units;isolation_forest;calf,
dp,2,368,2023-11-04,7.77953577041626,0.9983579638752053,0.5328954570333881,266,5,0,dp;zms;units;isolation_forest;calf,
dp,3,403,2023-12-09,7.527370452880859,0.9967159277504105,0.628331964969896,142,5,0,dp;zms;units;isolation_forest;calf,
dp,4,514,2024-03-29,7.2925214767456055,0.9950738916256158,0.8501915708812261,17,5,0,dp;zms;units;isolation_forest;calf,
dp,5,179,2023-04-29,6.734827041625977,0.993431855500821,0.8119372605363985,27,5,0,dp;zms;units;isolation_forest;calf,
dp,6,172,2023-04-22,6.507012844085693,0.9917898193760263,0.6183531746031747,157,5,0,dp;zms;units;isolation_forest;calf,
dp,7,151,2023-04-01,6.497100830078125,0.9901477832512315,0.7975147099069513,36,5,0,dp;zms;units;isolation_forest;calf,
dp,8,494,2024-03-09,6.400697231292725,0.9885057471264368,0.6938714422550629,89,5,0,dp;zms;units;isolation_forest;calf,
dp,9,559,2024-05-13,6.261963367462158,0.986863711001642,0.9504703749315817,4,5,0,dp;zms;units;isolation_forest;calf,
dp,10,529,2024-04-13,6.23829460144043,0.9852216748768473,0.444482074438971,381,5,0,dp;zms;units;isolation_forest;calf,
dp,11,333,2023-09-30,5.781711101531982,0.9835796387520526,0.6475249726327312,118,5,0,dp;zms;units;isolation_forest;calf,
dp,12,538,2024-04-22,5.630340099334717,0.9819376026272578,0.8047328270388615,30,5,0,dp;zms;units;isolation_forest;calf,
dp,13,391,2023-11-27,5.5732855796813965,0.9802955665024631,0.9415571975916806,5,5,0,dp;zms;units;isolation_forest;calf,
dp,14,543,2024-04-27,5.513367176055908,0.9786535303776683,0.5574592911877395,236,5,0,dp;zms;units;isolation_forest;calf,
dp,15,153,2023-04-03,5.379675388336182,0.9770114942528736,0.9543958675424193,2,5,0,dp;zms;units;isolation_forest;calf,
dp,16,356,2023-10-23,5.357288360595703,0.9753694581280788,0.884970238095238,11,5,0,dp;zms;units;isolation_forest;calf,
dp,17,459,2024-02-03,5.3488240242004395,0.9737274220032841,0.693467775041051,90,5,0,dp;zms;units;isolation_forest;calf,
dp,18,557,2024-05-11,5.268138408660889,0.9720853858784894,0.6096076217843459,165,5,0,dp;zms;units;isolation_forest;calf,
dp,19,519,2024-04-03,5.170438289642334,0.9704433497536946,0.9512144225506294,3,5,0,dp;zms;units;isolation_forest;calf,
dp,20,564,2024-05-18,4.996208190917969,0.9688013136288999,0.7215192255062945,74,5,0,dp;zms;units;isolation_forest;calf,
dp,21,165,2023-04-15,4.959979057312012,0.9671592775041051,0.5891967706622879,188,5,0,dp;zms;units;isolation_forest;calf,
dp,22,545,2024-04-29,4.860528469085693,0.9655172413793104,0.9279146141215108,7,5,0,dp;zms;units;isolation_forest;calf,
dp,23,77,2023-01-17,4.602973461151123,0.9638752052545156,0.7447660098522169,56,5,0,dp;zms;units;isolation_forest;calf,
dp,24,363,2023-10-30,4.563580513000488,0.9622331691297209,0.861990284619595,14,5,0,dp;zms;units;isolation_forest;calf,
dp,25,370,2023-11-06,4.563520431518555,0.9605911330049262,0.8342313218390804,20,5,0,dp;zms;units;isolation_forest;calf,
zms,1,531,2024-04-15,3.264750977152985,1.0,0.9930555555555556,1,5,0,dp;zms;units;isolation_forest;calf,
zms,2,559,2024-05-13,2.5548733212148727,0.9983579638752053,0.9504703749315817,4,5,0,dp;zms;units;isolation_forest;calf,
