method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
kmeans,1,121,2023-03-02,7.522279428932695,1.0,0.5958652162014232,183,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,2,119,2023-02-28,7.520330823606872,0.9983579638752053,0.750465654077723,52,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,3,118,2023-02-27,7.5164914746394995,0.9967159277504105,0.6800816912972085,97,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,4,120,2023-03-01,7.512341322806719,0.9950738916256158,0.5925171729611385,190,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,5,114,2023-02-23,7.5115648767602,0.993431855500821,0.6944526546250684,80,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,6,116,2023-02-25,7.509764592816679,0.9917898193760263,0.6582075807334429,112,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,7,117,2023-02-26,7.5097303178829815,0.9901477832512315,0.6264902846195951,144,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,8,122,2023-03-03,7.5089049357738835,0.9885057471264368,0.7222036124794745,62,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,9,123,2023-03-04,7.5087483192637885,0.986863711001642,0.5575001368363437,232,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,10,126,2023-03-07,7.50098016255498,0.9852216748768473,0.6185387931034483,155,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,11,115,2023-02-24,7.499939070069279,0.9835796387520526,0.8114822112753147,17,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,12,124,2023-03-05,7.4998585383084135,0.9819376026272578,0.5757232484948003,211,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,13,112,2023-02-21,7.499654435949884,0.9802955665024631,0.7022003968253968,75,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,14,113,2023-02-22,7.497801927786811,0.9786535303776683,0.7376636562671046,57,5,0,kmeans;dwt;calf;itrans;ocsvm,
