method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
itrans,1,365,2023-11-01,6.619329929351807,1.0,0.7870833333333334,39,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,2,577,2024-05-31,5.742398262023926,0.9983333333333333,0.9605555555555555,2,3,2,itrans;datamole;gpt4ts,calf;units
itrans,3,97,2023-02-06,5.541687965393066,0.9966666666666667,0.8764305555555556,16,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,4,468,2024-02-12,5.103784561157227,0.995,0.9384305555555554,6,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,5,527,2024-04-11,4.90639591217041,0.9933333333333333,0.9204166666666665,11,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,6,595,2024-06-18,4.737828254699707,0.9916666666666667,0.9172222222222223,12,3,2,itrans;datamole;gpt4ts,calf;units
itrans,7,388,2023-11-24,4.6587958335876465,0.99,0.944763888888889,3,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,8,217,2023-06-06,4.655596733093262,0.9883333333333333,0.7219861111111111,68,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,9,469,2024-02-13,4.502331256866455,0.9866666666666667,0.8042083333333334,33,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,10,279,2023-08-07,4.397243499755859,0.985,0.7957361111111111,36,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,11,154,2023-04-04,4.353246212005615,0.9833333333333333,0.5801388888888889,187,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,12,377,2023-11-13,4.292205810546875,0.9816666666666667,0.7761111111111111,44,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,13,427,2024-01-02,3.9808406829833984,0.98,0.5388888888888889,235,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,14,491,2024-03-06,3.9436347484588623,0.9783333333333334,0.7659166666666668,47,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,15,471,2024-02-15,3.9383981227874756,0.9766666666666667,0.9742777777777778,1,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,16,528,2024-04-12,3.935457944869995,0.975,0.8211944444444444,26,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,17,370,2023-11-06,3.8972744941711426,0.9733333333333334,0.8569305555555555,20,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,18,490,2024-03-05,3.869377851486206,0.9716666666666667,0.6037083333333333,161,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,19,573,2024-05-27,3.7754998207092285,0.97,0.9157083333333335,13,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,20,111,2023-02-20,3.5600783824920654,0.9683333333333334,0.8538472222222222,21,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,21,499,2024-03-14,3.5597472190856934,0.9666666666666667,0.943513888888889,4,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,22,412,2023-12-18,3.511054277420044,0.965,0.8040694444444444,34,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,23,337,2023-10-04,3.3646929264068604,0.9633333333333334,0.9344305555555554,8,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,24,296,2023-08-24,3.306823492050171,0.9616666666666667,0.49811111111111117,281,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,25,596,2024-06-19,3.2898898124694824,0.96,0.9316666666666666,9,3,2,itrans;datamole;gpt4ts,calf;units
calf,1,377,2023-11-13,7.07601261138916,1.0,0.7761111111111111,44,5,0,itrans;calf;units;datamole;gpt4ts,
calf,2,387,2023-11-23,7.038132667541504,0.9982638888888888,0.7809583333333333,42,5,0,itrans;calf;units;datamole;gpt4ts,
calf,3,422,2023-12-28,6.424938201904297,0.9965277777777778,0.6771944444444444,89,5,0,itrans;calf;units;datamole;gpt4ts,
calf,4,267,2023-07-26,6.400335311889648,0.9947916666666666,0.4566944444444444,342,5,0,itrans;calf;units;datamole;gpt4ts,
calf,5,468,2024-02-12,6.14420747756958,0.9930555555555556,0.9384305555555554,6,5,0,itrans;calf;units;datamole;gpt4ts,
calf,6,370,2023-11-06,5.35740852355957,0.9913194444444444,0.8569305555555555,20,5,0,itrans;calf;units;datamole;gpt4ts,
calf,7,125,2023-03-06,4.887434959411621,0.9895833333333334,0.753013888888889,50,5,0,itrans;calf;units;datamole;gpt4ts,
calf,8,547,2024-05-01,4.622400760650635,0.9878472222222222,0.8347083333333332,25,5,0,itrans;calf;units;datamole;gpt4ts,
calf,9,479,2024-02-23,4.55378532409668,0.9861111111111112,0.727361111111111,66,5,0,itrans;calf;units;datamole;gpt4ts,
calf,10,266,2023-07-25,4.441078186035156,0.984375,0.8580972222222222,19,5,0,itrans;calf;units;datamole;gpt4ts,
calf,11,380,2023-11-16,4.042038917541504,0.9826388888888888,0.7196388888888888,71,5,0,itrans;calf;units;datamole;gpt4ts,
calf,12,469,2024-02-13,3.8178839683532715,0.9809027777777778,0.8042083333333334,33,5,0,itrans;calf;units;datamole;gpt4ts,
calf,13,367,2023-11-03,3.802772283554077,0.9791666666666666,0.9423472222222221,5,5,0,itrans;calf;units;datamole;gpt4ts,
calf,14,490,2024-03-05,3.669923782348633,0.9774305555555556,0.6037083333333333,161,5,0,itrans;calf;units;datamole;gpt4ts,
calf,15,164,2023-04-14,3.6158409118652344,0.9756944444444444,0.8010277777777777,35,5,0,itrans;calf;units;datamole;gpt4ts,
calf,16,360,2023-10-27,3.4336462020874023,0.9739583333333334,0.7015555555555555,80,5,0,itrans;calf;units;datamole;gpt4ts,
calf,17,140,2023-03-21,3.4130513668060303,0.9722222222222222,0.8585694444444444,18,5,0,itrans;calf;units;datamole;gpt4ts,
calf,18,429,2024-01-04,3.1625425815582275,0.9704861111111112,0.5076944444444444,263,5,0,itrans;calf;units;datamole;gpt4ts,
calf,19,202,2023-05-22,3.1318273544311523,0.96875,0.430875,385,5,0,itrans;calf;units;datamole;gpt4ts,
calf,20,421,2023-12-27,3.1167232990264893,0.9670138888888888,0.6524305555555555,111,5,0,itrans;calf;units;datamole;gpt4ts,
calf,21,542,2024-04-26,3.013568639755249,0.9652777777777778,0.7511666666666666,51,5,0,itrans;calf;units;datamole;gpt4ts,
calf,22,190,2023-05-10,2.98121976852417,0.9635416666666666,0.5473611111111111,221,5,0,itrans;calf;units;datamole;gpt4ts,
calf,23,388,2023-11-24,2.901543617248535,0.9618055555555556,0.944763888888889,3,5,0,itrans;calf;units;datamole;gpt4ts,
calf,24,353,2023-10-20,2.8973097801208496,0.9600694444444444,0.4609305555555555,335,5,0,itrans;calf;units;datamole;gpt4ts,
calf,25,498,2024-03-13,2.8556835651397705,0.9583333333333334,0.6108472222222223,156,5,0,itrans;calf;units;datamole;gpt4ts,
units,1,370,2023-11-06,2.167919874191284,1.0,0.8569305555555555,20,5,0,itrans;calf;units;datamole;gpt4ts,
units,2,573,2024-05-27,1.3441585302352905,0.9982638888888888,0.9157083333333335,13,5,0,itrans;calf;units;datamole;gpt4ts,
units,3,477,2024-02-21,1.3232707977294922,0.9965277777777778,0.7326111111111111,60,5,0,itrans;calf;units;datamole;gpt4ts,
units,4,321,2023-09-18,1.2398796081542969,0.9947916666666666,0.9344583333333333,7,5,0,itrans;calf;units;datamole;gpt4ts,
units,5,397,2023-12-03,1.2360858917236328,0.9930555555555556,0.6170416666666666,148,5,0,itrans;calf;units;datamole;gpt4ts,
units,6,499,2024-03-14,1.1924653053283691,0.9913194444444444,0.943513888888889,4,5,0,itrans;calf;units;datamole;gpt4ts,
