consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,469,2024-02-13,0.9529555966064587,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,5.0
2,468,2024-02-12,0.9516340996168584,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,4.0
3,471,2024-02-15,0.9400275041050904,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,2.0
4,475,2024-02-19,0.8961262999452655,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
5,388,2023-11-24,0.8864202244116038,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,7.0
6,447,2024-01-22,0.8820451559934318,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,dwt,1.0
7,370,2023-11-06,0.8751965654077724,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,4.0
8,398,2023-12-04,0.8682601943076081,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,13.0
9,440,2024-01-15,0.8634945265462507,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,dwt,1.0
10,448,2024-01-23,0.8613948412698413,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
11,427,2024-01-02,0.8569913793103447,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;itrans,7.0
12,415,2023-12-21,0.8549463601532568,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,kmeans,18.0
13,422,2023-12-28,0.8541840448823208,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;calf,1.0
14,455,2024-01-30,0.852530309250137,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
15,428,2024-01-03,0.8502503420908593,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,6.0
16,470,2024-02-14,0.8437861247947455,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
17,380,2023-11-16,0.8434916529830323,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,11.0
18,421,2023-12-27,0.8429528598795839,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;calf,2.0
19,420,2023-12-26,0.841256157635468,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,9.0
20,367,2023-11-03,0.8385114942528735,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,10.0
21,392,2023-11-28,0.8266981390257253,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
22,372,2023-11-08,0.8244293924466337,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
23,387,2023-11-23,0.8190797071702244,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,2.0
24,577,2024-05-31,0.8130069786535303,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,2.0
25,410,2023-12-16,0.8124746168582375,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
