consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,580,2024-06-03,0.9906951286261632,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,2.0
2,596,2024-06-19,0.9890530925013684,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,3.0
3,486,2024-03-01,0.9815715654077722,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,1.0
4,531,2024-04-15,0.9764829638752053,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,1.0
5,153,2023-04-03,0.952423713738369,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,2.0
6,524,2024-04-08,0.9361743979200876,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,10.0
7,356,2023-10-23,0.9137195539135193,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,8.0
8,482,2024-02-26,0.9028205391351942,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,12.0
9,191,2023-05-11,0.9,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,25.0
10,202,2023-05-22,0.8885160098522167,5,0,dp;zms;units;isolation_forest;calf,,2,zms;units,12.0
11,561,2024-05-15,0.8872810618500273,5,0,dp;zms;units;isolation_forest;calf,,1,zms,6.0
12,588,2024-06-11,0.884783798576902,3,2,dp;zms;isolation_forest,units;calf,1,isolation_forest,22.0
13,461,2024-02-05,0.8839833059660647,5,0,dp;zms;units;isolation_forest;calf,,1,zms,22.0
14,594,2024-06-17,0.8836891078270389,3,2,dp;zms;isolation_forest,units;calf,1,zms,15.0
15,505,2024-03-20,0.8802972769567597,5,0,dp;zms;units;isolation_forest;calf,,2,zms;calf,11.0
16,139,2023-03-20,0.8767788724685277,5,0,dp;zms;units;isolation_forest;calf,,1,zms,15.0
17,519,2024-04-03,0.8767019020251778,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,7.0
18,489,2024-03-04,0.8746390941434046,5,0,dp;zms;units;isolation_forest;calf,,2,zms;units,15.0
19,260,2023-07-19,0.8710197728516693,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,17.0
20,134,2023-03-15,0.8709889846743295,5,0,dp;zms;units;isolation_forest;calf,,1,units,10.0
21,559,2024-05-13,0.8681958128078818,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,8.0
22,548,2024-05-02,0.8355073207443897,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,24.0
23,384,2023-11-20,0.8340517241379312,5,0,dp;zms;units;isolation_forest;calf,,1,zms,15.0
24,154,2023-04-04,0.832507183908046,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,7.0
25,490,2024-03-05,0.8290931171319104,5,0,dp;zms;units;isolation_forest;calf,,0,,
