consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,595,2024-06-18,0.9427777777777778,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,7.0
2,190,2023-05-10,0.9392083333333334,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,5.0
3,310,2023-09-07,0.9200000000000002,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,1.0
4,550,2024-05-04,0.8968888888888887,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,5.0
5,514,2024-03-29,0.8887222222222222,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,6.0
6,599,2024-06-22,0.8833333333333334,3,2,itrans;datamole;gpt4ts,calf;units,0,,
7,21,2022-11-22,0.872875,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,5.0
8,77,2023-01-17,0.8626111111111111,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,12.0
9,568,2024-05-22,0.8554444444444445,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,21.0
10,390,2023-11-26,0.8484166666666667,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
11,530,2024-04-14,0.8444166666666666,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,4.0
12,518,2024-04-02,0.8334583333333333,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,3.0
13,130,2023-03-11,0.8291527777777778,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,11.0
14,179,2023-04-29,0.8275833333333333,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,15.0
15,348,2023-10-15,0.8239166666666666,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,25.0
16,187,2023-05-07,0.8225,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,18.0
17,592,2024-06-15,0.8188888888888889,3,2,itrans;datamole;gpt4ts,calf;units,0,,
18,485,2024-02-29,0.817,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;units,3.0
19,473,2024-02-17,0.8151944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,22.0
20,578,2024-06-01,0.8144444444444444,3,2,itrans;datamole;gpt4ts,calf;units,0,,
21,327,2023-09-24,0.8094861111111111,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;units,9.0
22,333,2023-09-30,0.8054861111111112,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
23,517,2024-04-01,0.8038055555555557,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,7.0
24,151,2023-04-01,0.8013611111111112,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
25,326,2023-09-23,0.8006805555555555,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,13.0
