method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
itrans,1,310,2023-09-07,5.794790267944336,1.0,0.9200000000000002,3,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,2,71,2023-01-11,4.675656318664551,0.9983333333333333,0.7793333333333334,34,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,3,478,2024-02-22,4.370410919189453,0.9966666666666667,0.46033333333333337,339,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,4,501,2024-03-16,4.251307487487793,0.995,0.5882083333333333,187,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,5,574,2024-05-28,4.21922492980957,0.9933333333333333,0.6025555555555555,172,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,6,514,2024-03-29,3.7049310207366943,0.9916666666666667,0.8887222222222222,5,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,7,595,2024-06-18,3.6965246200561523,0.99,0.9427777777777778,1,3,2,itrans;datamole;gpt4ts,calf;units
itrans,8,475,2024-02-19,3.562627077102661,0.9883333333333333,0.5559861111111111,221,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,9,327,2023-09-24,3.5296132564544678,0.9866666666666667,0.8094861111111111,21,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,10,518,2024-04-02,3.3033447265625,0.985,0.8334583333333333,12,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,11,362,2023-10-29,3.1409945487976074,0.9833333333333333,0.7195555555555555,60,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,12,77,2023-01-17,3.100703477859497,0.9816666666666667,0.8626111111111111,8,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,13,561,2024-05-15,3.0560154914855957,0.98,0.7023194444444444,75,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,14,517,2024-04-01,3.0251736640930176,0.9783333333333334,0.8038055555555557,23,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,15,545,2024-04-29,2.84664249420166,0.9766666666666667,0.6462083333333333,129,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,16,469,2024-02-13,2.841651439666748,0.975,0.44581944444444455,355,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,17,493,2024-03-08,2.8252060413360596,0.9733333333333334,0.4957638888888889,291,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,18,485,2024-02-29,2.788283109664917,0.9716666666666667,0.817,18,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,19,243,2023-07-02,2.773449182510376,0.97,0.6450555555555556,132,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,20,313,2023-09-10,2.7454512119293213,0.9683333333333334,0.7552916666666667,42,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,21,538,2024-04-22,2.7259254455566406,0.9666666666666667,0.6513194444444445,125,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,22,473,2024-02-17,2.5503766536712646,0.965,0.8151944444444444,19,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,23,442,2024-01-17,2.536895275115967,0.9633333333333334,0.6129583333333333,160,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,24,187,2023-05-07,2.536160945892334,0.9616666666666667,0.8225,16,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,25,396,2023-12-02,2.4993667602539062,0.96,0.6687361111111111,97,5,0,itrans;calf;units;datamole;gpt4ts,
calf,1,422,2023-12-28,7.068405628204346,1.0,0.6085555555555555,165,5,0,itrans;calf;units;datamole;gpt4ts,
calf,2,522,2024-04-06,5.675190448760986,0.9982638888888888,0.5491666666666667,231,5,0,itrans;calf;units;datamole;gpt4ts,
calf,3,518,2024-04-02,5.2433671951293945,0.9965277777777778,0.8334583333333333,12,5,0,itrans;calf;units;datamole;gpt4ts,
calf,4,443,2024-01-18,5.130702018737793,0.9947916666666666,0.4855416666666666,307,5,0,itrans;calf;units;datamole;gpt4ts,
calf,5,190,2023-05-10,4.97329568862915,0.9930555555555556,0.9392083333333334,2,5,0,itrans;calf;units;datamole;gpt4ts,
