variant,customer,anomaly_type,consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
log1p,620000,global_point,1,222,2023-06-11,0.991236111111111,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0
log1p,620000,global_point,2,417,2023-12-23,0.9670833333333334,5,0,itrans;calf;units;datamole;gpt4ts,,3,units;datamole;gpt4ts,1.0
log1p,620000,global_point,3,595,2024-06-18,0.9627777777777777,3,2,itrans;datamole;gpt4ts,calf;units,2,datamole;gpt4ts,12.0
log1p,620000,global_point,4,531,2024-04-15,0.9559305555555555,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,13.0
log1p,620000,global_point,5,117,2023-02-26,0.9548194444444444,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,14.0
log1p,620000,global_point,6,563,2024-05-17,0.9531805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,19.0
log1p,620000,global_point,7,536,2024-04-20,0.9426527777777777,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,19.0
log1p,620000,global_point,8,587,2024-06-10,0.9349999999999999,3,2,itrans;datamole;gpt4ts,calf;units,1,datamole,5.0
log1p,620000,global_point,8,592,2024-06-15,0.9349999999999999,3,2,itrans;datamole;gpt4ts,calf;units,1,datamole,11.0
log1p,620000,global_point,10,402,2023-12-08,0.9289166666666666,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,13.0
log1p,620000,global_point,11,537,2024-04-21,0.9280833333333334,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,3.0
log1p,620000,global_point,12,580,2024-06-03,0.9261111111111111,3,2,itrans;datamole;gpt4ts,calf;units,2,datamole;gpt4ts,5.0
log1p,620000,global_point,13,551,2024-05-05,0.923763888888889,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
log1p,620000,global_point,14,180,2023-04-30,0.9206666666666667,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,6.0
log1p,620000,global_point,15,585,2024-06-08,0.9050000000000001,3,2,itrans;datamole;gpt4ts,calf;units,0,,
log1p,620000,global_point,16,584,2024-06-07,0.8955555555555555,3,2,itrans;datamole;gpt4ts,calf;units,2,datamole;gpt4ts,3.0
log1p,620000,global_point,17,572,2024-05-26,0.8924027777777777,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,8.0
log1p,620000,global_point,18,521,2024-04-05,0.8865555555555555,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
log1p,620000,global_point,19,442,2024-01-17,0.8851805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;datamole,6.0
log1p,620000,global_point,20,405,2023-12-11,0.8800138888888889,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
log1p,620000,global_point,21,582,2024-06-05,0.8744444444444445,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,21.0
log1p,620000,global_point,22,557,2024-05-11,0.8718194444444445,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;datamole,13.0
log1p,620000,global_point,23,571,2024-05-25,0.8717777777777778,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,3.0
log1p,620000,global_point,24,570,2024-05-24,0.8708333333333332,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,8.0
log1p,620000,global_point,25,561,2024-05-15,0.8700555555555555,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;units;gpt4ts,15.0
log1p,620000,contextual_point,1,596,2024-06-19,0.9967159277504104,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
log1p,620000,contextual_point,2,580,2024-06-03,0.9939792008757525,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
log1p,620000,contextual_point,3,566,2024-05-20,0.9605021893814996,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,5.0
log1p,620000,contextual_point,4,588,2024-06-11,0.9556650246305418,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,8.0
log1p,620000,contextual_point,5,531,2024-04-15,0.9448156130268199,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,13.0
log1p,620000,contextual_point,6,594,2024-06-17,0.9447181171319102,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,13.0
log1p,620000,contextual_point,7,545,2024-04-29,0.9441861658456487,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,9.0
log1p,620000,contextual_point,8,573,2024-05-27,0.9401494937055282,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,7.0
log1p,620000,contextual_point,9,601,2024-06-24,0.9392446633825945,3,2,dp;zms;isolation_forest,units;calf,1,zms,22.0
log1p,620000,contextual_point,10,581,2024-06-04,0.909688013136289,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,4.0
log1p,620000,contextual_point,11,97,2023-02-06,0.9062773672687465,5,0,dp;zms;units;isolation_forest;calf,,0,,
log1p,620000,contextual_point,12,485,2024-02-29,0.9003745894909688,5,0,dp;zms;units;isolation_forest;calf,,1,units,10.0
log1p,620000,contextual_point,13,391,2023-11-27,0.8900656814449919,5,0,dp;zms;units;isolation_forest;calf,,1,units,19.0
log1p,620000,contextual_point,14,489,2024-03-04,0.8900485769020252,5,0,dp;zms;units;isolation_forest;calf,,0,,
log1p,620000,contextual_point,15,570,2024-05-24,0.8866789819376025,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,8.0
log1p,620000,contextual_point,16,444,2024-01-19,0.8840072523262178,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,17.0
log1p,620000,contextual_point,17,118,2023-02-27,0.8793120552818829,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,12.0
log1p,620000,contextual_point,18,608,2024-07-01,0.8787629994526546,3,2,dp;zms;isolation_forest,units;calf,0,,
log1p,620000,contextual_point,19,501,2024-03-16,0.8780121100164202,5,0,dp;zms;units;isolation_forest;calf,,0,,
log1p,620000,contextual_point,20,561,2024-05-15,0.8720785440613026,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,22.0
