consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,541,2024-04-25,0.9495416666666665,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,1.0
2,568,2024-05-22,0.9466111111111111,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,3.0
3,561,2024-05-15,0.9288472222222222,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,2.0
4,562,2024-05-16,0.9281944444444445,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,1.0
5,538,2024-04-22,0.9130694444444444,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,2.0
6,514,2024-03-29,0.9028472222222221,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,6.0
7,563,2024-05-17,0.9000277777777776,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,4.0
8,531,2024-04-15,0.8982083333333334,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;units;gpt4ts,3.0
9,577,2024-05-31,0.8833333333333333,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,20.0
10,579,2024-06-02,0.8811111111111111,3,2,itrans;datamole;gpt4ts,calf;units,0,,
11,566,2024-05-20,0.8747916666666666,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,6.0
12,576,2024-05-30,0.8738888888888888,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,7.0
13,595,2024-06-18,0.8716666666666667,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,17.0
14,565,2024-05-19,0.8691944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
15,356,2023-10-23,0.8518472222222222,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
16,153,2023-04-03,0.8510694444444444,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,1.0
17,569,2024-05-23,0.8490972222222222,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,17.0
18,486,2024-03-01,0.8483055555555555,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,11.0
19,502,2024-03-17,0.8480833333333333,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,13.0
20,310,2023-09-07,0.8361944444444445,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,19.0
21,573,2024-05-27,0.8323472222222221,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,12.0
22,564,2024-05-18,0.8255277777777777,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
23,471,2024-02-15,0.8254166666666667,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
24,405,2023-12-11,0.8242777777777779,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
25,521,2024-04-05,0.8202222222222222,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,18.0
