method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
itrans,1,541,2024-04-25,20.569000244140625,1.0,0.9495416666666665,1,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,2,429,2024-01-04,15.536540031433105,0.9983333333333333,0.4978472222222223,308,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,3,568,2024-05-22,13.5315580368042,0.9966666666666667,0.9466111111111111,2,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,4,431,2024-01-06,13.48257827758789,0.995,0.5714583333333334,197,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,5,580,2024-06-03,12.84741497039795,0.9933333333333333,0.6855555555555556,95,3,2,itrans;datamole;gpt4ts,calf;units
itrans,6,514,2024-03-29,12.549948692321777,0.9916666666666667,0.9028472222222221,6,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,7,562,2024-05-16,11.8807373046875,0.99,0.9281944444444445,4,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,8,566,2024-05-20,11.645145416259766,0.9883333333333333,0.8747916666666666,11,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,9,584,2024-06-07,11.300467491149902,0.9866666666666667,0.791111111111111,36,3,2,itrans;datamole;gpt4ts,calf;units
itrans,10,571,2024-05-25,10.489201545715332,0.985,0.7543333333333334,55,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,11,432,2024-01-07,10.361062049865723,0.9833333333333333,0.55575,212,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,12,539,2024-04-23,10.25731372833252,0.9816666666666667,0.7904722222222221,37,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,13,502,2024-03-17,10.062396049499512,0.98,0.8480833333333333,19,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,14,438,2024-01-13,10.038403511047363,0.9783333333333334,0.32004166666666667,521,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,15,418,2023-12-24,9.912786483764648,0.9766666666666667,0.5203333333333334,268,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,16,486,2024-03-01,9.687013626098633,0.975,0.8483055555555555,18,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,17,595,2024-06-18,9.40507984161377,0.9733333333333334,0.8716666666666667,13,3,2,itrans;datamole;gpt4ts,calf;units
itrans,18,425,2023-12-31,9.239108085632324,0.9716666666666667,0.5362222222222222,244,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,19,561,2024-05-15,9.1499605178833,0.97,0.9288472222222222,3,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,20,351,2023-10-18,9.1333646774292,0.9683333333333334,0.5444305555555556,230,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,21,517,2024-04-01,8.996346473693848,0.9666666666666667,0.7286944444444443,71,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,22,532,2024-04-16,8.60164737701416,0.965,0.7585555555555556,49,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,23,493,2024-03-08,8.530244827270508,0.9633333333333334,0.7228888888888889,74,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,24,441,2024-01-16,8.265644073486328,0.9616666666666667,0.6028194444444444,162,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,25,222,2023-06-11,8.186687469482422,0.96,0.788,38,5,0,itrans;calf;units;datamole;gpt4ts,
calf,1,434,2024-01-09,17.962482452392578,1.0,0.5218611111111111,264,5,0,itrans;calf;units;datamole;gpt4ts,
calf,2,386,2023-11-22,15.5432767868042,0.9982638888888888,0.533875,246,5,0,itrans;calf;units;datamole;gpt4ts,
calf,3,430,2024-01-05,14.600433349609375,0.9965277777777778,0.5209027777777778,267,5,0,itrans;calf;units;datamole;gpt4ts,
calf,4,522,2024-04-06,14.37381362915039,0.9947916666666666,0.5739722222222222,195,5,0,itrans;calf;units;datamole;gpt4ts,
calf,5,541,2024-04-25,14.090226173400879,0.9930555555555556,0.9495416666666665,1,5,0,itrans;calf;units;datamole;gpt4ts,
calf,6,517,2024-04-01,13.250622749328613,0.9913194444444444,0.7286944444444443,71,5,0,itrans;calf;units;datamole;gpt4ts,
calf,7,420,2023-12-26,13.035970687866211,0.9895833333333334,0.5908472222222223,173,5,0,itrans;calf;units;datamole;gpt4ts,
calf,8,433,2024-01-08,13.02929401397705,0.9878472222222222,0.39837500000000003,426,5,0,itrans;calf;units;datamole;gpt4ts,
calf,9,429,2024-01-04,12.491366386413574,0.9861111111111112,0.4978472222222223,308,5,0,itrans;calf;units;datamole;gpt4ts,
calf,10,514,2024-03-29,12.374038696289062,0.984375,0.9028472222222221,6,5,0,itrans;calf;units;datamole;gpt4ts,
calf,11,486,2024-03-01,11.699997901916504,0.9826388888888888,0.8483055555555555,18,5,0,itrans;calf;units;datamole;gpt4ts,
calf,12,539,2024-04-23,11.575264930725098,0.9809027777777778,0.7904722222222221,37,5,0,itrans;calf;units;datamole;gpt4ts,
calf,13,555,2024-05-09,11.200606346130371,0.9791666666666666,0.4606111111111111,348,5,0,itrans;calf;units;datamole;gpt4ts,
calf,14,531,2024-04-15,9.650053024291992,0.9774305555555556,0.8982083333333334,8,5,0,itrans;calf;units;datamole;gpt4ts,
calf,15,441,2024-01-16,9.491229057312012,0.9756944444444444,0.6028194444444444,162,5,0,itrans;calf;units;datamole;gpt4ts,
calf,16,570,2024-05-24,9.275446891784668,0.9739583333333334,0.8156666666666667,29,5,0,itrans;calf;units;datamole;gpt4ts,
calf,17,525,2024-04-09,8.661726951599121,0.9722222222222222,0.7332916666666667,66,5,0,itrans;calf;units;datamole;gpt4ts,
calf,18,222,2023-06-11,8.638324737548828,0.9704861111111112,0.788,38,5,0,itrans;calf;units;datamole;gpt4ts,
calf,19,518,2024-04-02,8.564149856567383,0.96875,0.8162777777777779,27,5,0,itrans;calf;units;datamole;gpt4ts,
calf,20,500,2024-03-15,8.46807861328125,0.9670138888888888,0.6385972222222223,121,5,0,itrans;calf;units;datamole;gpt4ts,
calf,21,387,2023-11-23,8.3696870803833,0.9652777777777778,0.749361111111111,59,5,0,itrans;calf;units;datamole;gpt4ts,
calf,22,445,2024-01-20,8.337644577026367,0.9635416666666666,0.47973611111111103,329,5,0,itrans;calf;units;datamole;gpt4ts,
calf,23,439,2024-01-14,7.827834606170654,0.9618055555555556,0.37998611111111114,453,5,0,itrans;calf;units;datamole;gpt4ts,
calf,24,568,2024-05-22,7.575119972229004,0.9600694444444444,0.9466111111111111,2,5,0,itrans;calf;units;datamole;gpt4ts,
calf,25,190,2023-05-10,7.563064098358154,0.9583333333333334,0.7731111111111112,40,5,0,itrans;calf;units;datamole;gpt4ts,
units,1,153,2023-04-03,3.3031818866729736,1.0,0.8510694444444444,16,5,0,itrans;calf;units;datamole;gpt4ts,
units,2,538,2024-04-22,3.131711721420288,0.9982638888888888,0.9130694444444444,5,5,0,itrans;calf;units;datamole;gpt4ts,
units,3,537,2024-04-21,2.740959882736206,0.9965277777777778,0.8030277777777778,34,5,0,itrans;calf;units;datamole;gpt4ts,
units,4,524,2024-04-08,2.3116843700408936,0.9947916666666666,0.6937222222222222,92,5,0,itrans;calf;units;datamole;gpt4ts,
units,5,370,2023-11-06,2.167919874191284,0.9930555555555556,0.7048472222222222,81,5,0,itrans;calf;units;datamole;gpt4ts,
units,6,541,2024-04-25,2.167452573776245,0.9913194444444444,0.9495416666666665,1,5,0,itrans;calf;units;datamole;gpt4ts,
units,7,513,2024-03-28,1.930556297302246,0.9895833333333334,0.8092222222222223,31,5,0,itrans;calf;units;datamole;gpt4ts,
units,8,222,2023-06-11,1.929893136024475,0.9878472222222222,0.788,38,5,0,itrans;calf;units;datamole;gpt4ts,
units,9,523,2024-04-07,1.7627379894256592,0.9861111111111112,0.8193888888888889,26,5,0,itrans;calf;units;datamole;gpt4ts,
units,10,314,2023-09-11,1.756070613861084,0.984375,0.6491111111111112,115,5,0,itrans;calf;units;datamole;gpt4ts,
units,11,519,2024-04-03,1.7240177392959595,0.9826388888888888,0.6620972222222222,110,5,0,itrans;calf;units;datamole;gpt4ts,
units,12,525,2024-04-09,1.7015416622161865,0.9809027777777778,0.7332916666666667,66,5,0,itrans;calf;units;datamole;gpt4ts,
units,13,509,2024-03-24,1.658072829246521,0.9791666666666666,0.7548333333333334,54,5,0,itrans;calf;units;datamole;gpt4ts,
units,14,55,2022-12-26,1.6471147537231445,0.9774305555555556,0.705125,80,5,0,itrans;calf;units;datamole;gpt4ts,
units,15,301,2023-08-29,1.6347285509109497,0.9756944444444444,0.7070277777777778,79,5,0,itrans;calf;units;datamole;gpt4ts,
units,16,530,2024-04-14,1.616127848625183,0.9739583333333334,0.7607222222222222,47,5,0,itrans;calf;units;datamole;gpt4ts,
units,17,486,2024-03-01,1.581282377243042,0.9722222222222222,0.8483055555555555,18,5,0,itrans;calf;units;datamole;gpt4ts,
units,18,197,2023-05-17,1.5349138975143433,0.9704861111111112,0.6107083333333334,146,5,0,itrans;calf;units;datamole;gpt4ts,
units,19,134,2023-03-15,1.4917044639587402,0.96875,0.6813194444444444,101,5,0,itrans;calf;units;datamole;gpt4ts,
units,20,177,2023-04-27,1.439684271812439,0.9670138888888888,0.8053333333333335,32,5,0,itrans;calf;units;datamole;gpt4ts,
units,21,531,2024-04-15,1.4337992668151855,0.9652777777777778,0.8982083333333334,8,5,0,itrans;calf;units;datamole;gpt4ts,
units,22,76,2023-01-16,1.4035855531692505,0.9635416666666666,0.5572083333333333,211,5,0,itrans;calf;units;datamole;gpt4ts,
units,23,573,2024-05-27,1.3441585302352905,0.9618055555555556,0.8323472222222221,21,5,0,itrans;calf;units;datamole;gpt4ts,
units,24,100,2023-02-09,1.3356784582138062,0.9600694444444444,0.5219583333333333,262,5,0,itrans;calf;units;datamole;gpt4ts,
units,25,279,2023-08-07,1.3296055793762207,0.9583333333333334,0.6039722222222221,154,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,1,5,2022-11-06,470.7144775390625,1.0,0.3159444444444444,524,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,2,305,2023-09-02,314.0089111328125,0.9983333333333333,0.4744305555555555,335,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,3,410,2023-12-16,306.5024719238281,0.9966666666666667,0.5984166666666666,168,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,4,80,2023-01-20,300.4311218261719,0.995,0.48916666666666664,317,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,5,255,2023-07-14,255.1245880126953,0.9933333333333333,0.5401805555555554,237,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,6,425,2023-12-31,252.45237731933594,0.9916666666666667,0.5362222222222222,244,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,7,25,2022-11-26,236.99159240722656,0.99,0.2585,558,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,8,75,2023-01-15,224.0088348388672,0.9883333333333333,0.3586944444444444,485,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,9,60,2022-12-31,219.46969604492188,0.9866666666666667,0.40325,420,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,10,235,2023-06-24,218.06307983398438,0.985,0.4493888888888889,357,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,11,435,2024-01-10,208.46112060546875,0.9833333333333333,0.6688888888888889,105,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,12,445,2024-01-20,200.8791046142578,0.9816666666666667,0.47973611111111103,329,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,13,430,2024-01-05,184.91038513183594,0.98,0.5209027777777778,267,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,14,375,2023-11-11,181.38392639160156,0.9783333333333334,0.7002083333333334,87,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,15,480,2024-02-24,177.7427215576172,0.9766666666666667,0.5229166666666666,261,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,16,270,2023-07-29,172.31504821777344,0.975,0.5298333333333334,254,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,17,515,2024-03-30,171.4244384765625,0.9733333333333334,0.6057361111111111,149,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,18,250,2023-07-09,151.45664978027344,0.9716666666666667,0.33031944444444444,511,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,19,310,2023-09-07,151.0260772705078,0.97,0.8361944444444445,20,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,20,420,2023-12-26,150.1509552001953,0.9683333333333334,0.5908472222222223,173,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,21,190,2023-05-10,150.06565856933594,0.9666666666666667,0.7731111111111112,40,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,22,440,2024-01-15,149.6400146484375,0.965,0.5520833333333333,217,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,23,40,2022-12-11,147.49813842773438,0.9633333333333334,0.32834722222222223,513,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,24,130,2023-03-11,139.7406463623047,0.9616666666666667,0.46563888888888894,343,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,25,390,2023-11-26,139.39016723632812,0.96,0.7120277777777778,78,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,1,562,2024-05-16,43.002685546875,1.0,0.9281944444444445,4,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,2,561,2024-05-15,37.03786849975586,0.9983333333333333,0.9288472222222222,3,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,3,531,2024-04-15,32.177490234375,0.9966666666666667,0.8982083333333334,8,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,4,563,2024-05-17,30.442794799804688,0.995,0.9000277777777776,7,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,5,596,2024-06-19,29.54584312438965,0.9933333333333333,0.8161111111111111,28,3,2,itrans;datamole;gpt4ts,calf;units
gpt4ts,6,566,2024-05-20,27.707054138183594,0.9916666666666667,0.8747916666666666,11,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,7,576,2024-05-30,27.114564895629883,0.99,0.8738888888888888,12,3,2,itrans;datamole;gpt4ts,calf;units
gpt4ts,8,574,2024-05-28,24.994054794311523,0.9883333333333333,0.6955416666666666,89,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,9,527,2024-04-11,24.642745971679688,0.9866666666666667,0.723375,73,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,10,575,2024-05-29,23.024660110473633,0.985,0.6361388888888888,122,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,11,513,2024-03-28,22.61131477355957,0.9833333333333333,0.8092222222222223,31,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,12,573,2024-05-27,22.011533737182617,0.9816666666666667,0.8323472222222221,21,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,13,597,2024-06-20,20.95932960510254,0.98,0.7372222222222223,64,3,2,itrans;datamole;gpt4ts,calf;units
gpt4ts,14,528,2024-04-12,19.852909088134766,0.9783333333333334,0.6127638888888889,144,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,15,567,2024-05-21,19.799787521362305,0.9766666666666667,0.6515555555555556,113,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,16,295,2023-08-23,19.696027755737305,0.975,0.600375,165,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,17,569,2024-05-23,19.461021423339844,0.9733333333333334,0.8490972222222222,17,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,18,521,2024-04-05,18.63042449951172,0.9716666666666667,0.8202222222222222,25,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,19,275,2023-08-03,18.06996726989746,0.97,0.4201944444444445,399,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,20,577,2024-05-31,17.65833282470703,0.9683333333333334,0.8833333333333333,9,3,2,itrans;datamole;gpt4ts,calf;units
gpt4ts,21,592,2024-06-15,17.147239685058594,0.9666666666666667,0.7211111111111111,75,3,2,itrans;datamole;gpt4ts,calf;units
gpt4ts,22,599,2024-06-22,16.999649047851562,0.965,0.7316666666666666,68,3,2,itrans;datamole;gpt4ts,calf;units
gpt4ts,23,184,2023-05-04,16.963207244873047,0.9633333333333334,0.6949444444444445,91,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,24,489,2024-03-04,16.528528213500977,0.9616666666666667,0.7315694444444445,69,5,0,itrans;calf;units;datamole;gpt4ts,
gpt4ts,25,586,2024-06-09,16.482891082763672,0.96,0.7416666666666667,61,3,2,itrans;datamole;gpt4ts,calf;units
