consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,584,2024-06-07,0.9733107553366174,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;knn;kmeans,2.0
2,562,2024-05-16,0.956302271483306,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;dagmm;knn,3.0
3,580,2024-06-03,0.9488936781609195,4,1,tsnet;dagmm;knn;kmeans,catch,0,,
4,538,2024-04-22,0.9352751094690749,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,2.0
5,585,2024-06-08,0.9347865353037768,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,3.0
6,502,2024-03-17,0.9288438697318007,5,0,catch;tsnet;dagmm;knn;kmeans,,2,dagmm;knn,1.0
7,513,2024-03-28,0.9287201012588945,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
8,541,2024-04-25,0.927575738916256,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,4.0
9,605,2024-06-28,0.9233716475095785,3,2,dagmm;knn;kmeans,catch;tsnet,1,kmeans,15.0
10,539,2024-04-23,0.9229421866447728,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,8.0
11,471,2024-02-15,0.9175743705528188,5,0,catch;tsnet;dagmm;knn;kmeans,,1,tsnet,15.0
12,531,2024-04-15,0.915912972085386,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,1.0
13,608,2024-07-01,0.906951286261631,3,2,dagmm;knn;kmeans,catch;tsnet,1,kmeans,1.0
14,587,2024-06-10,0.9055767651888342,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,1.0
15,561,2024-05-15,0.901261767925561,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
16,499,2024-03-14,0.8868640530925014,5,0,catch;tsnet;dagmm;knn;kmeans,,1,tsnet,11.0
17,486,2024-03-01,0.8855268883415436,5,0,catch;tsnet;dagmm;knn;kmeans,,1,knn,25.0
18,521,2024-04-05,0.8820701286261631,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
19,559,2024-05-13,0.8762886562671046,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
20,581,2024-06-04,0.8758312807881773,4,1,tsnet;dagmm;knn;kmeans,catch,0,,
21,596,2024-06-19,0.8747721674876847,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,13.0
22,527,2024-04-11,0.870168582375479,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;knn,17.0
23,582,2024-06-05,0.863727422003284,4,1,tsnet;dagmm;knn;kmeans,catch,0,,
24,528,2024-04-12,0.8580166940339353,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
25,120,2023-03-01,0.8530441981390255,5,0,catch;tsnet;dagmm;knn;kmeans,,1,knn,12.0
