method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
catch,1,531,2024-04-15,4.148636817932129,1.0,0.915912972085386,12,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,2,538,2024-04-22,3.9046695232391357,0.9982638888888888,0.9352751094690749,4,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,3,562,2024-05-16,3.6872429847717285,0.9965277777777778,0.956302271483306,2,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,4,541,2024-04-25,3.5955615043640137,0.9947916666666666,0.927575738916256,8,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,5,387,2023-11-23,3.4736156463623047,0.9930555555555556,0.8150249042145594,32,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,6,558,2024-05-12,3.3857271671295166,0.9913194444444444,0.6519141351943076,106,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,7,564,2024-05-18,3.358372449874878,0.9895833333333334,0.7271202791461413,62,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,8,539,2024-04-23,3.2587969303131104,0.9878472222222222,0.9229421866447728,10,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,9,565,2024-05-19,3.2554194927215576,0.9861111111111112,0.6561713191023536,102,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,10,572,2024-05-26,3.0536437034606934,0.984375,0.6557896141215107,103,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,11,153,2023-04-03,3.044074296951294,0.9826388888888888,0.7967428845101259,38,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,12,571,2024-05-25,3.0401203632354736,0.9809027777777778,0.6484334291187739,110,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,13,509,2024-03-24,3.0174334049224854,0.9791666666666666,0.6429055829228243,111,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,14,544,2024-04-28,2.975720167160034,0.9774305555555556,0.6133547482211276,135,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,15,550,2024-05-04,2.9330012798309326,0.9756944444444444,0.6277513683634373,125,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,16,536,2024-04-20,2.927037477493286,0.9739583333333334,0.6010724548440066,153,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,17,527,2024-04-11,2.9207682609558105,0.9722222222222222,0.870168582375479,22,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,18,495,2024-03-10,2.8587112426757812,0.9704861111111112,0.5022236590038315,282,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,19,551,2024-05-05,2.8534350395202637,0.96875,0.6303279967159278,123,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,20,543,2024-04-27,2.7890937328338623,0.9670138888888888,0.6076146004378763,145,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,21,222,2023-06-11,2.7591845989227295,0.9652777777777778,0.5717747673782156,194,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,22,537,2024-04-21,2.728834629058838,0.9635416666666666,0.6063175287356322,146,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,23,508,2024-03-23,2.676427125930786,0.9618055555555556,0.5891098795840175,171,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,24,557,2024-05-11,2.66281795501709,0.9600694444444444,0.6413357279693487,113,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,25,523,2024-04-07,2.6493308544158936,0.9583333333333334,0.5891806239737274,170,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,1,565,2024-05-19,4.86207914352417,1.0,0.6561713191023536,102,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,2,584,2024-06-07,4.739074230194092,0.9983333333333333,0.9733107553366174,1,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,3,538,2024-04-22,4.5587310791015625,0.9966666666666667,0.9352751094690749,4,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,4,531,2024-04-15,4.335339546203613,0.995,0.915912972085386,12,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,5,537,2024-04-21,4.258053302764893,0.9933333333333333,0.6063175287356322,146,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,6,564,2024-05-18,4.212228298187256,0.9916666666666667,0.7271202791461413,62,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,7,544,2024-04-28,4.173147678375244,0.99,0.6133547482211276,135,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,8,572,2024-05-26,4.085292339324951,0.9883333333333333,0.6557896141215107,103,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,9,551,2024-05-05,4.063305377960205,0.9866666666666667,0.6303279967159278,123,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,10,558,2024-05-12,4.061890125274658,0.985,0.6519141351943076,106,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,11,499,2024-03-14,3.9916138648986816,0.9833333333333333,0.8868640530925014,16,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,12,509,2024-03-24,3.909604072570801,0.9816666666666667,0.6429055829228243,111,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,13,586,2024-06-09,3.602708339691162,0.98,0.578128078817734,183,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,14,550,2024-05-04,3.6001946926116943,0.9783333333333334,0.6277513683634373,125,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,15,471,2024-02-15,3.5665838718414307,0.9766666666666667,0.9175743705528188,11,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,16,543,2024-04-27,3.546306848526001,0.975,0.6076146004378763,145,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,17,539,2024-04-23,3.487771511077881,0.9733333333333334,0.9229421866447728,10,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,18,579,2024-06-02,3.479336738586426,0.9716666666666667,0.5723501642036124,193,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,19,530,2024-04-14,3.3907346725463867,0.97,0.5825981116584564,180,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,20,516,2024-03-31,3.387350559234619,0.9683333333333334,0.5954369868637109,165,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,21,222,2023-06-11,3.363055467605591,0.9666666666666667,0.5717747673782156,194,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,22,557,2024-05-11,3.362210988998413,0.965,0.6413357279693487,113,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,23,476,2024-02-20,3.3252112865448,0.9633333333333334,0.7518672003284073,55,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,24,153,2023-04-03,3.286459445953369,0.9616666666666667,0.7967428845101259,38,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,25,541,2024-04-25,3.2825963497161865,0.96,0.927575738916256,8,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,38,2022-12-09,13.815510749816895,0.9983579638752053,0.42259352764094144,406,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,175,2023-04-25,13.815510749816895,0.9983579638752053,0.8040981116584565,34,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,502,2024-03-17,13.815510749816895,0.9983579638752053,0.9288438697318007,6,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,4,174,2023-04-24,13.815505981445312,0.9950738916256158,0.5955434455391353,164,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,5,76,2023-01-16,13.815484046936035,0.993431855500821,0.6592667624521072,95,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,6,562,2024-05-16,13.815289497375488,0.9917898193760263,0.956302271483306,2,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,7,100,2023-02-09,13.815237045288086,0.9901477832512315,0.5883062397372741,173,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,8,538,2024-04-22,13.815220832824707,0.9885057471264368,0.9352751094690749,4,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,9,182,2023-05-02,13.81381893157959,0.986863711001642,0.6110034893267653,142,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,10,541,2024-04-25,13.813298225402832,0.9852216748768473,0.927575738916256,8,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,11,587,2024-06-10,13.811168670654297,0.9835796387520526,0.9055767651888342,14,4,1,tsnet;dagmm;knn;kmeans,catch
dagmm,12,55,2022-12-26,13.801166534423828,0.9819376026272578,0.7437911877394636,57,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,13,183,2023-05-03,13.779430389404297,0.9802955665024631,0.5591468253968255,206,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,14,585,2024-06-08,13.675994873046875,0.9786535303776683,0.9347865353037768,5,4,1,tsnet;dagmm;knn;kmeans,catch
dagmm,15,277,2023-08-05,13.616019248962402,0.9770114942528736,0.6581141899288452,97,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,16,354,2023-10-21,13.600822448730469,0.9753694581280788,0.771183908045977,45,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,17,196,2023-05-16,13.540395736694336,0.9737274220032841,0.5223737000547345,249,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,18,70,2023-01-10,13.288268089294434,0.9720853858784894,0.4736414887794198,333,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,19,539,2024-04-23,13.24193000793457,0.9704433497536946,0.9229421866447728,10,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,20,479,2024-02-23,13.21000862121582,0.9688013136288999,0.6911867131910236,79,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,21,328,2023-09-25,12.984169960021973,0.9671592775041051,0.43194095511767927,394,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,22,365,2023-11-01,12.70016860961914,0.9655172413793104,0.6834326081007116,82,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,23,363,2023-10-30,12.376484870910645,0.9638752052545156,0.5109148193760262,267,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,24,399,2023-12-05,12.251459121704102,0.9622331691297209,0.48662547892720304,309,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,25,154,2023-04-04,11.660545349121094,0.9605911330049262,0.5736994389709906,187,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,1,587,2024-06-10,4.469883114383851,1.0,0.9055767651888342,14,4,1,tsnet;dagmm;knn;kmeans,catch
knn,2,175,2023-04-25,4.1867001189319675,0.9983579638752053,0.8040981116584565,34,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,3,585,2024-06-08,3.828631767232655,0.9967159277504105,0.9347865353037768,5,4,1,tsnet;dagmm;knn;kmeans,catch
knn,4,174,2023-04-24,3.5747073188269196,0.9950738916256158,0.5955434455391353,164,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,5,584,2024-06-07,3.3858179160368866,0.993431855500821,0.9733107553366174,1,4,1,tsnet;dagmm;knn;kmeans,catch
knn,6,76,2023-01-16,3.295424491498358,0.9917898193760263,0.6592667624521072,95,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,7,485,2024-02-29,3.1544300342495815,0.9901477832512315,0.6555116310892173,104,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,8,502,2024-03-17,2.9760045778421613,0.9885057471264368,0.9288438697318007,6,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,9,254,2023-07-13,2.722210338725347,0.986863711001642,0.6640408456486042,92,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,10,569,2024-05-23,2.5932900058520856,0.9852216748768473,0.7178706212370005,65,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,11,155,2023-04-05,2.548660342129307,0.9835796387520526,0.5488498221127531,217,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,12,120,2023-03-01,2.4086519470690253,0.9819376026272578,0.8530441981390255,25,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,13,55,2022-12-26,2.3973346155164657,0.9802955665024631,0.7437911877394636,57,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,14,570,2024-05-24,2.3806159542901346,0.9786535303776683,0.7638039135194308,48,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,15,538,2024-04-22,2.3438675157386486,0.9770114942528736,0.9352751094690749,4,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,16,541,2024-04-25,2.3177628398146815,0.9753694581280788,0.927575738916256,8,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,17,562,2024-05-16,2.3100572144587734,0.9737274220032841,0.956302271483306,2,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,18,119,2023-02-28,2.282980815160337,0.9720853858784894,0.7951888341543514,39,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,19,531,2024-04-15,2.2423174886194976,0.9704433497536946,0.915912972085386,12,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,20,100,2023-02-09,2.235130817993585,0.9688013136288999,0.5883062397372741,173,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,21,527,2024-04-11,2.2047429933460765,0.9671592775041051,0.870168582375479,22,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,22,539,2024-04-23,2.1856042798462685,0.9655172413793104,0.9229421866447728,10,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,23,547,2024-05-01,2.145700891254879,0.9638752052545156,0.6864063355227149,80,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,24,182,2023-05-02,2.1444701175873533,0.9622331691297209,0.6110034893267653,142,5,0,catch;tsnet;dagmm;knn;kmeans,
knn,25,486,2024-03-01,2.0394179241049177,0.9605911330049262,0.8855268883415436,17,5,0,catch;tsnet;dagmm;knn;kmeans,
kmeans,1,608,2024-07-01,29.811813100648614,1.0,0.906951286261631,13,3,2,dagmm;knn;kmeans,catch;tsnet
kmeans,2,606,2024-06-29,28.728766498456327,0.9983579638752053,0.45457033388067875,368,3,2,dagmm;knn;kmeans,catch;tsnet
kmeans,3,607,2024-06-30,28.483888756538178,0.9967159277504105,0.4540229885057471,371,3,2,dagmm;knn;kmeans,catch;tsnet
kmeans,4,599,2024-06-22,28.307365907981325,0.9950738916256158,0.577190065681445,184,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,5,600,2024-06-23,28.224063683949467,0.993431855500821,0.45292829775588395,375,3,2,dagmm;knn;kmeans,catch;tsnet
kmeans,6,601,2024-06-24,28.178986517711166,0.9917898193760263,0.7755883962780515,43,3,2,dagmm;knn;kmeans,catch;tsnet
kmeans,7,592,2024-06-15,28.073275901255812,0.9901477832512315,0.5738752052545155,186,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,8,594,2024-06-17,28.065964241168817,0.9885057471264368,0.751871921182266,54,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,9,593,2024-06-16,28.057783455809982,0.986863711001642,0.6679371921182267,87,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,10,595,2024-06-18,28.019954039753383,0.9852216748768473,0.6637889983579639,93,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,11,602,2024-06-25,28.006940955082772,0.9835796387520526,0.7066228790366722,70,3,2,dagmm;knn;kmeans,catch;tsnet
kmeans,12,598,2024-06-21,27.930500571248366,0.9819376026272578,0.38979474548440063,470,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,13,596,2024-06-19,27.905187870197587,0.9802955665024631,0.8747721674876847,21,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,14,597,2024-06-20,27.86726113844149,0.9786535303776683,0.4650307881773399,349,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,15,605,2024-06-28,27.82944976335284,0.9770114942528736,0.9233716475095785,9,3,2,dagmm;knn;kmeans,catch;tsnet
kmeans,16,591,2024-06-14,27.816552948698774,0.9753694581280788,0.6140373563218391,134,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,17,587,2024-06-10,27.772762409035796,0.9737274220032841,0.9055767651888342,14,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,18,603,2024-06-26,27.751537901061507,0.9720853858784894,0.7274220032840722,61,3,2,dagmm;knn;kmeans,catch;tsnet
kmeans,19,585,2024-06-08,27.75129539597474,0.9704433497536946,0.9347865353037768,5,4,1,tsnet;dagmm;knn;kmeans,catch
kmeans,20,588,2024-06-11,27.749213259582657,0.9688013136288999,0.8479844006568145,26,4,1,tsnet;dagmm;knn;kmeans,catch
