consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,584,2024-06-07,0.9734729064039409,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,1.0
2,580,2024-06-03,0.9702134646962233,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,5.0
3,595,2024-06-18,0.9467405582922825,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,11.0
4,588,2024-06-11,0.9366748768472906,4,1,kmeans;dwt;itrans;ocsvm,calf,1,ocsvm,8.0
5,562,2024-05-16,0.9346841133004926,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,5.0
6,568,2024-05-22,0.9302634783798576,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,3.0
7,429,2024-01-04,0.9277591680350301,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,2.0
8,581,2024-06-04,0.9236637931034484,4,1,kmeans;dwt;itrans;ocsvm,calf,0,,
9,561,2024-05-15,0.9188888204707168,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,19.0
10,423,2023-12-29,0.9183550903119867,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,dwt,1.0
11,432,2024-01-07,0.9165284619594963,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;itrans,1.0
12,431,2024-01-06,0.9144334291187739,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,4.0
13,441,2024-01-16,0.9121027640941435,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;itrans,1.0
14,541,2024-04-25,0.9105979748221127,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
15,583,2024-06-06,0.9105131362889984,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,23.0
16,434,2024-01-09,0.9105073891625615,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,1.0
17,579,2024-06-02,0.9095689655172414,4,1,kmeans;dwt;itrans;ocsvm,calf,0,,
18,585,2024-06-08,0.9070135467980296,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,21.0
19,587,2024-06-10,0.9069724958949097,4,1,kmeans;dwt;itrans;ocsvm,calf,1,ocsvm,24.0
20,593,2024-06-16,0.9067323481116585,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,15.0
21,420,2023-12-26,0.9066933497536945,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,1.0
22,563,2024-05-17,0.9063183497536945,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
23,577,2024-05-31,0.9062089490968801,4,1,kmeans;dwt;itrans;ocsvm,calf,0,,
24,539,2024-04-23,0.9031871237000548,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,4.0
25,599,2024-06-22,0.9017385057471264,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,16.0
