method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
kmeans,1,608,2024-07-01,11.74069430078065,1.0,0.8125342090859332,70,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,2,605,2024-06-28,10.932209152130866,0.9983579638752053,0.8092501368363437,72,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,3,604,2024-06-27,10.914117379463056,0.9967159277504105,0.8415435139573071,52,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,4,603,2024-06-26,10.882048865152571,0.9950738916256158,0.6770662287903667,155,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,5,602,2024-06-25,10.84718204468066,0.993431855500821,0.7605363984674329,107,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,6,606,2024-06-29,10.834673578962338,0.9917898193760263,0.8768472906403941,39,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,7,601,2024-06-24,10.81555718058912,0.9901477832512315,0.7438423645320197,116,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,8,600,2024-06-23,10.747839890552203,0.9885057471264368,0.8757525998905309,42,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,9,594,2024-06-17,10.747653750343627,0.986863711001642,0.8822229064039409,33,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,10,607,2024-06-30,10.743763229975693,0.9852216748768473,0.8746579091406678,43,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,11,595,2024-06-18,10.741378056343661,0.9835796387520526,0.9467405582922825,3,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,12,596,2024-06-19,10.74124352685873,0.9819376026272578,0.8357963875205254,57,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,13,597,2024-06-20,10.712145027215056,0.9802955665024631,0.7116789819376026,132,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,14,598,2024-06-21,10.695881794810663,0.9786535303776683,0.5927319376026272,213,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,15,593,2024-06-16,10.694885870005564,0.9770114942528736,0.9067323481116585,20,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,16,599,2024-06-22,10.685232077175156,0.9753694581280788,0.9017385057471264,25,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,17,592,2024-06-15,10.645122659155543,0.9737274220032841,0.8288279967159278,62,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,18,591,2024-06-14,10.62876418279515,0.9720853858784894,0.5729187192118227,230,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,19,590,2024-06-13,10.614943629284898,0.9704433497536946,0.5849035303776684,220,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,20,589,2024-06-12,10.611964784137903,0.9688013136288999,0.636564039408867,180,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,21,585,2024-06-08,10.610413097193842,0.9671592775041051,0.9070135467980296,18,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,22,584,2024-06-07,10.609017894703399,0.9655172413793104,0.9734729064039409,1,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,23,583,2024-06-06,10.603459042058663,0.9638752052545156,0.9105131362889984,15,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,24,582,2024-06-05,10.601494331132487,0.9622331691297209,0.8995730706075533,26,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,25,586,2024-06-09,10.597977996308085,0.9605911330049262,0.8653715106732348,45,4,1,kmeans;dwt;itrans;ocsvm,calf
dwt,1,416,2023-12-22,10.0,0.9811165845648604,0.5759189244663383,225,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,417,2023-12-23,10.0,0.9811165845648604,0.8379737958401752,54,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,418,2023-12-24,10.0,0.9811165845648604,0.7956942391899288,78,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,419,2023-12-25,10.0,0.9811165845648604,0.8597954980842912,46,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,420,2023-12-26,10.0,0.9811165845648604,0.9066933497536945,21,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,421,2023-12-27,10.0,0.9811165845648604,0.8229456075533662,66,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,422,2023-12-28,10.0,0.9811165845648604,0.8880240147783252,31,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,423,2023-12-29,10.0,0.9811165845648604,0.9183550903119867,10,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,432,2024-01-07,10.0,0.9811165845648604,0.9165284619594963,11,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,433,2024-01-08,10.0,0.9811165845648604,0.8927139436234264,30,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,434,2024-01-09,10.0,0.9811165845648604,0.9105073891625615,16,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,435,2024-01-10,10.0,0.9811165845648604,0.8964616858237549,28,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,436,2024-01-11,10.0,0.9811165845648604,0.8008245758073343,75,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,437,2024-01-12,10.0,0.9811165845648604,0.7837707991242474,89,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,438,2024-01-13,10.0,0.9811165845648604,0.7701278735632184,100,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,439,2024-01-14,10.0,0.9811165845648604,0.7829768746579091,90,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,440,2024-01-15,10.0,0.9811165845648604,0.8024025041050903,74,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,441,2024-01-16,10.0,0.9811165845648604,0.9121027640941435,13,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,442,2024-01-17,10.0,0.9811165845648604,0.8794042829775588,37,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,443,2024-01-18,10.0,0.9811165845648604,0.8376025588396278,55,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,444,2024-01-19,10.0,0.9811165845648604,0.5515892857142857,252,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,445,2024-01-20,10.0,0.9811165845648604,0.6210679392446634,190,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,446,2024-01-21,10.0,0.9811165845648604,0.5179057881773399,284,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,447,2024-01-22,10.0,0.9811165845648604,0.6945342775041051,145,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,25,424,2023-12-30,9.0,0.9417077175697866,0.8238989463601533,64,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,1,434,2024-01-09,17.962482452392578,1.0,0.9105073891625615,16,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,2,386,2023-11-22,15.5432767868042,0.9982638888888888,0.5857841406677613,219,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,3,430,2024-01-05,14.600433349609375,0.9965277777777778,0.8435436507936508,50,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,4,522,2024-04-06,14.37381362915039,0.9947916666666666,0.5681241789819376,236,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,5,541,2024-04-25,14.090226173400879,0.9930555555555556,0.9105979748221127,14,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,6,517,2024-04-01,13.250622749328613,0.9913194444444444,0.7930750547345375,81,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,7,420,2023-12-26,13.035970687866211,0.9895833333333334,0.9066933497536945,21,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,8,433,2024-01-08,13.02929401397705,0.9878472222222222,0.8927139436234264,30,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,9,429,2024-01-04,12.491366386413574,0.9861111111111112,0.9277591680350301,7,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,10,514,2024-03-29,12.374038696289062,0.984375,0.7957009441707716,77,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,11,486,2024-03-01,11.699997901916504,0.9826388888888888,0.8987527367268747,27,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,12,539,2024-04-23,11.575264930725098,0.9809027777777778,0.9031871237000548,24,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,13,555,2024-05-09,11.200606346130371,0.9791666666666666,0.7901830870279146,84,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,14,531,2024-04-15,9.650053024291992,0.9774305555555556,0.8862135331143952,32,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,15,441,2024-01-16,9.491229057312012,0.9756944444444444,0.9121027640941435,13,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,16,570,2024-05-24,9.275446891784668,0.9739583333333334,0.8817867405582923,34,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,17,525,2024-04-09,8.661726951599121,0.9722222222222222,0.6296267104542966,184,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,18,222,2023-06-11,8.638324737548828,0.9704861111111112,0.6023533798576902,207,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,19,518,2024-04-02,8.564149856567383,0.96875,0.7528895730706076,110,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,20,500,2024-03-15,8.46807861328125,0.9670138888888888,0.838617884510126,53,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,21,387,2023-11-23,8.3696870803833,0.9652777777777778,0.770971811713191,99,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,22,445,2024-01-20,8.337644577026367,0.9635416666666666,0.6210679392446634,190,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,23,439,2024-01-14,7.827834606170654,0.9618055555555556,0.7829768746579091,90,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,24,568,2024-05-22,7.575119972229004,0.9600694444444444,0.9302634783798576,6,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,25,190,2023-05-10,7.563064098358154,0.9583333333333334,0.43716912972085387,349,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,1,541,2024-04-25,20.569000244140625,1.0,0.9105979748221127,14,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,2,429,2024-01-04,15.536540031433105,0.9983333333333333,0.9277591680350301,7,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,3,568,2024-05-22,13.5315580368042,0.9966666666666667,0.9302634783798576,6,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,4,431,2024-01-06,13.48257827758789,0.995,0.9144334291187739,12,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,5,580,2024-06-03,12.84741497039795,0.9933333333333333,0.9702134646962233,2,4,1,kmeans;dwt;itrans;ocsvm,calf
itrans,6,514,2024-03-29,12.549948692321777,0.9916666666666667,0.7957009441707716,77,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,7,562,2024-05-16,11.8807373046875,0.99,0.9346841133004926,5,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,8,566,2024-05-20,11.645145416259766,0.9883333333333333,0.8429287082649152,51,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,9,584,2024-06-07,11.300467491149902,0.9866666666666667,0.9734729064039409,1,4,1,kmeans;dwt;itrans;ocsvm,calf
itrans,10,571,2024-05-25,10.489201545715332,0.985,0.8713602900930486,44,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,11,432,2024-01-07,10.361062049865723,0.9833333333333333,0.9165284619594963,11,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,12,539,2024-04-23,10.25731372833252,0.9816666666666667,0.9031871237000548,24,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,13,502,2024-03-17,10.062396049499512,0.98,0.7613735632183908,105,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,14,438,2024-01-13,10.038403511047363,0.9783333333333334,0.7701278735632184,100,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,15,418,2023-12-24,9.912786483764648,0.9766666666666667,0.7956942391899288,78,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,16,486,2024-03-01,9.687013626098633,0.975,0.8987527367268747,27,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,17,595,2024-06-18,9.40507984161377,0.9733333333333334,0.9467405582922825,3,4,1,kmeans;dwt;itrans;ocsvm,calf
itrans,18,425,2023-12-31,9.239108085632324,0.9716666666666667,0.8300459085933223,61,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,19,561,2024-05-15,9.1499605178833,0.97,0.9188888204707168,9,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,20,351,2023-10-18,9.1333646774292,0.9683333333333334,0.7223800629447181,127,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,21,517,2024-04-01,8.996346473693848,0.9666666666666667,0.7930750547345375,81,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,22,532,2024-04-16,8.60164737701416,0.965,0.7807189381499726,92,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,23,493,2024-03-08,8.530244827270508,0.9633333333333334,0.8306661193212918,60,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,24,441,2024-01-16,8.265644073486328,0.9616666666666667,0.9121027640941435,13,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,25,222,2023-06-11,8.186687469482422,0.96,0.6023533798576902,207,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,1,584,2024-06-07,145.40332279579636,1.0,0.9734729064039409,1,4,1,kmeans;dwt;itrans;ocsvm,calf
ocsvm,2,541,2024-04-25,142.75201562906062,0.9983579638752053,0.9105979748221127,14,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,3,538,2024-04-22,136.9811217863819,0.9967159277504105,0.8584232348111659,48,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,4,539,2024-04-23,131.54658092570142,0.9950738916256158,0.9031871237000548,24,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,5,562,2024-05-16,124.92125123956976,0.993431855500821,0.9346841133004926,5,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,6,580,2024-06-03,120.73350843675345,0.9917898193760263,0.9702134646962233,2,4,1,kmeans;dwt;itrans;ocsvm,calf
ocsvm,7,531,2024-04-15,110.18741917016328,0.9901477832512315,0.8862135331143952,32,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,8,582,2024-06-05,104.89441961973642,0.9876847290640394,0.8995730706075533,26,4,1,kmeans;dwt;itrans;ocsvm,calf
ocsvm,8,588,2024-06-11,104.89441961973642,0.9876847290640394,0.9366748768472906,4,4,1,kmeans;dwt;itrans;ocsvm,calf
ocsvm,10,486,2024-03-01,102.14332974413188,0.9852216748768473,0.8987527367268747,27,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,11,513,2024-03-28,100.99050241959196,0.9835796387520526,0.8232136015325671,65,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,12,120,2023-03-01,100.5255076201132,0.9819376026272578,0.6867025862068965,149,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,13,99,2023-02-08,98.85780994189038,0.9753694581280788,0.6645254515599344,160,5,0,kmeans;dwt;calf;itrans;ocsvm,
ocsvm,13,157,2023-04-07,98.85780994189038,0.9753694581280788,0.6582163382594417,165,5,0,kmeans;dwt;calf;itrans;ocsvm,
