consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,584,2024-06-07,0.9835455349248452,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,12,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,1
2,541,2024-04-25,0.9803520114942529,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,13,itrans;calf;units;gpt4ts;dp;zms;isolation_forest;dwt;ocsvm;catch;tsnet;dagmm;knn,1
3,538,2024-04-22,0.977568888546798,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,14,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;dwt;ocsvm;catch;tsnet;dagmm;knn,1
4,563,2024-05-17,0.9674227302271483,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,12,itrans;calf;units;gpt4ts;dp;zms;dwt;ocsvm;catch;tsnet;dagmm;knn,1
5,531,2024-04-15,0.9662836531882869,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,12,itrans;calf;units;gpt4ts;dp;zms;isolation_forest;ocsvm;catch;tsnet;dagmm;knn,1
6,539,2024-04-23,0.9604278060002737,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,12,itrans;calf;datamole;gpt4ts;zms;isolation_forest;dwt;ocsvm;catch;tsnet;dagmm;knn,1
7,562,2024-05-16,0.9588796096743295,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,11,itrans;calf;gpt4ts;zms;isolation_forest;dwt;ocsvm;catch;tsnet;dagmm;knn,1
8,580,2024-06-03,0.9541246684350132,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,9,itrans;gpt4ts;dp;zms;kmeans_univariate;ocsvm;tsnet;knn;kmeans_multivariate,5
9,527,2024-04-11,0.949808065647236,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,12,itrans;calf;datamole;gpt4ts;dp;zms;isolation_forest;ocsvm;catch;tsnet;dagmm;knn,2
10,561,2024-05-15,0.949381521107006,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,10,calf;gpt4ts;dp;zms;dwt;ocsvm;catch;tsnet;dagmm;knn,1
11,577,2024-05-31,0.938448275862069,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,5,zms;kmeans_univariate;dagmm;knn;kmeans_multivariate,12
12,588,2024-06-11,0.9349235821649615,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,5,itrans;gpt4ts;kmeans_univariate;dagmm;kmeans_multivariate,4
13,528,2024-04-12,0.9278957777435688,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,7,datamole;dp;zms;isolation_forest;ocsvm;catch;knn,7
14,581,2024-06-04,0.927706201844133,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,4,itrans;gpt4ts;ocsvm;kmeans_multivariate,7
15,573,2024-05-27,0.9272047114463602,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,5,units;gpt4ts;kmeans_univariate;tsnet;kmeans_multivariate,15
