consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,541,2024-04-25,0.9990147783251231,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
2,584,2024-06-07,0.990695128626163,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
3,531,2024-04-15,0.9899408182813355,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0
4,538,2024-04-22,0.9893968938149973,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0
5,486,2024-03-01,0.983738711001642,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,4.0
6,499,2024-03-14,0.9795908593322388,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,8.0
7,471,2024-02-15,0.9784089354132458,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,6.0
8,527,2024-04-11,0.9753198549534756,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,3.0
9,563,2024-05-17,0.9739326765188835,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,12.0
10,370,2023-11-06,0.9690065681444991,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,10.0
11,153,2023-04-03,0.9613591269841271,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,12.0
12,472,2024-02-16,0.9597153804050356,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,14.0
13,513,2024-03-28,0.9596520935960591,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,8.0
14,580,2024-06-03,0.9589490968801314,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,17.0
15,561,2024-05-15,0.9563372331691298,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,12.0
16,314,2023-09-11,0.9404625068418172,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,20.0
17,500,2024-03-15,0.93435960591133,5,0,dp;zms;units;isolation_forest;calf,,2,dp;isolation_forest,18.0
18,562,2024-05-16,0.9329176929392446,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,5.0
19,184,2023-05-04,0.9328509852216749,5,0,dp;zms;units;isolation_forest;calf,,1,zms,14.0
20,539,2024-04-23,0.9325790229885058,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,3.0
21,540,2024-04-24,0.9315459085933224,5,0,dp;zms;units;isolation_forest;calf,,2,dp;units,2.0
22,321,2023-09-18,0.9291085112205802,5,0,dp;zms;units;isolation_forest;calf,,2,zms;units,18.0
23,577,2024-05-31,0.926655719759168,3,2,dp;zms;isolation_forest,units;calf,1,zms,19.0
24,364,2023-10-31,0.9260279830322933,5,0,dp;zms;units;isolation_forest;calf,,0,,
25,542,2024-04-26,0.9215534345922277,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;isolation_forest,3.0
