consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,531,2024-04-15,0.9983055555555556,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0
2,153,2023-04-03,0.9946666666666667,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0
3,364,2023-10-31,0.9645972222222221,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,5.0
4,55,2022-12-26,0.9631805555555555,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,3.0
5,570,2024-05-24,0.9540694444444444,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,9.0
6,527,2024-04-11,0.947361111111111,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,2.0
7,513,2024-03-28,0.9446944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,10.0
8,150,2023-03-31,0.9432499999999999,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,20.0
9,402,2023-12-08,0.9381111111111112,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,6.0
10,514,2024-03-29,0.9332499999999999,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,15.0
11,379,2023-11-15,0.9321111111111111,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;datamole,15.0
12,184,2023-05-04,0.9266805555555555,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;units,5.0
13,584,2024-06-07,0.9216666666666667,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,19.0
14,521,2024-04-05,0.9215833333333332,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,10.0
15,493,2024-03-08,0.9178749999999999,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,3.0
16,365,2023-11-01,0.9168750000000001,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,6.0
17,512,2024-03-27,0.8964722222222221,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,23.0
18,171,2023-04-21,0.8956805555555555,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,10.0
19,561,2024-05-15,0.8946249999999999,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,13.0
20,367,2023-11-03,0.891388888888889,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;datamole,8.0
21,148,2023-03-29,0.8891944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,22.0
22,323,2023-09-20,0.8890555555555555,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,11.0
23,301,2023-08-29,0.8731805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
24,530,2024-04-14,0.8714861111111111,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,3.0
25,387,2023-11-23,0.8700138888888889,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,7.0
