method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
itrans,1,531,2024-04-15,49.99033737182617,1.0,0.9996527777777778,1,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,2,184,2023-05-04,34.30086898803711,0.9983333333333333,0.9946111111111111,2,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,3,527,2024-04-11,25.214195251464844,0.9966666666666667,0.9722916666666667,5,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,4,175,2023-04-25,18.651641845703125,0.995,0.9199722222222222,16,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,5,402,2023-12-08,13.099613189697266,0.9933333333333333,0.9899027777777778,3,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,6,365,2023-11-01,10.68519401550293,0.9916666666666667,0.9850555555555556,4,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,7,521,2024-04-05,10.273801803588867,0.99,0.9635000000000001,8,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,8,364,2023-10-31,9.690863609313965,0.9883333333333333,0.9579583333333332,10,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,9,526,2024-04-10,9.234952926635742,0.9866666666666667,0.9281111111111111,13,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,10,520,2024-04-04,8.839738845825195,0.985,0.8517916666666666,31,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,11,387,2023-11-23,8.514117240905762,0.9833333333333333,0.9683472222222221,6,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,12,301,2023-08-29,7.3813066482543945,0.9816666666666667,0.62575,130,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,13,367,2023-11-03,6.639317512512207,0.98,0.9646805555555555,7,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,14,514,2024-03-29,6.631552219390869,0.9783333333333334,0.7693055555555555,48,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,15,295,2023-08-23,6.6148271560668945,0.9766666666666667,0.8281944444444443,35,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,16,190,2023-05-10,6.251491546630859,0.975,0.7717916666666668,47,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,17,162,2023-04-12,6.215137004852295,0.9733333333333334,0.8012916666666667,39,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,18,538,2024-04-22,6.124467849731445,0.9716666666666667,0.8915138888888888,21,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,19,150,2023-03-31,5.438508987426758,0.97,0.9604583333333334,9,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,20,171,2023-04-21,5.387144565582275,0.9683333333333334,0.9219444444444445,14,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,21,516,2024-03-31,5.314450740814209,0.9666666666666667,0.5361666666666667,214,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,22,149,2023-03-30,5.306023120880127,0.965,0.6482222222222223,111,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,23,458,2024-02-02,5.215625286102295,0.9633333333333334,0.8033333333333333,38,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,24,182,2023-05-02,4.930423259735107,0.9616666666666667,0.8902777777777778,22,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,25,274,2023-08-02,4.804946422576904,0.96,0.7234027777777778,61,5,0,itrans;calf;units;datamole;gpt4ts,
calf,1,527,2024-04-11,24.310701370239258,1.0,0.9722916666666667,5,5,0,itrans;calf;units;datamole;gpt4ts,
calf,2,531,2024-04-15,23.168193817138672,0.9982638888888888,0.9996527777777778,1,5,0,itrans;calf;units;datamole;gpt4ts,
calf,3,184,2023-05-04,19.46863555908203,0.9965277777777778,0.9946111111111111,2,5,0,itrans;calf;units;datamole;gpt4ts,
calf,4,387,2023-11-23,13.406272888183594,0.9947916666666666,0.9683472222222221,6,5,0,itrans;calf;units;datamole;gpt4ts,
calf,5,402,2023-12-08,11.988432884216309,0.9930555555555556,0.9899027777777778,3,5,0,itrans;calf;units;datamole;gpt4ts,
calf,6,364,2023-10-31,11.057266235351562,0.9913194444444444,0.9579583333333332,10,5,0,itrans;calf;units;datamole;gpt4ts,
calf,7,518,2024-04-02,10.55193042755127,0.9895833333333334,0.7591111111111111,54,5,0,itrans;calf;units;datamole;gpt4ts,
calf,8,520,2024-04-04,9.035540580749512,0.9878472222222222,0.8517916666666666,31,5,0,itrans;calf;units;datamole;gpt4ts,
calf,9,542,2024-04-26,8.744194984436035,0.9861111111111112,0.857402777777778,29,5,0,itrans;calf;units;datamole;gpt4ts,
calf,10,517,2024-04-01,7.887784957885742,0.984375,0.6561388888888888,102,5,0,itrans;calf;units;datamole;gpt4ts,
calf,11,365,2023-11-01,7.27797269821167,0.9826388888888888,0.9850555555555556,4,5,0,itrans;calf;units;datamole;gpt4ts,
calf,12,526,2024-04-10,7.152891635894775,0.9809027777777778,0.9281111111111111,13,5,0,itrans;calf;units;datamole;gpt4ts,
calf,13,514,2024-03-29,6.966132640838623,0.9791666666666666,0.7693055555555555,48,5,0,itrans;calf;units;datamole;gpt4ts,
calf,14,528,2024-04-12,5.502249240875244,0.9774305555555556,0.8134027777777778,37,5,0,itrans;calf;units;datamole;gpt4ts,
calf,15,481,2024-02-25,5.433615684509277,0.9756944444444444,0.6348333333333332,123,5,0,itrans;calf;units;datamole;gpt4ts,
calf,16,560,2024-05-14,5.0906291007995605,0.9739583333333334,0.6454861111111111,113,5,0,itrans;calf;units;datamole;gpt4ts,
calf,17,370,2023-11-06,5.080246925354004,0.9722222222222222,0.65275,104,5,0,itrans;calf;units;datamole;gpt4ts,
calf,18,154,2023-04-04,5.062644958496094,0.9704861111111112,0.5271944444444443,225,5,0,itrans;calf;units;datamole;gpt4ts,
calf,19,190,2023-05-10,4.971441268920898,0.96875,0.7717916666666668,47,5,0,itrans;calf;units;datamole;gpt4ts,
calf,20,521,2024-04-05,4.8485188484191895,0.9670138888888888,0.9635000000000001,8,5,0,itrans;calf;units;datamole;gpt4ts,
calf,21,482,2024-02-26,4.669918060302734,0.9652777777777778,0.7117222222222223,72,5,0,itrans;calf;units;datamole;gpt4ts,
calf,22,323,2023-09-20,4.390310764312744,0.9635416666666666,0.716361111111111,67,5,0,itrans;calf;units;datamole;gpt4ts,
calf,23,150,2023-03-31,4.376449108123779,0.9618055555555556,0.9604583333333334,9,5,0,itrans;calf;units;datamole;gpt4ts,
calf,24,483,2024-02-27,4.301135540008545,0.9600694444444444,0.6175277777777778,135,5,0,itrans;calf;units;datamole;gpt4ts,
calf,25,570,2024-05-24,4.252155780792236,0.9583333333333334,0.769236111111111,49,5,0,itrans;calf;units;datamole;gpt4ts,
units,1,531,2024-04-15,8.904638290405273,1.0,0.9996527777777778,1,5,0,itrans;calf;units;datamole;gpt4ts,
units,2,530,2024-04-14,6.674807071685791,0.9982638888888888,0.9019166666666667,19,5,0,itrans;calf;units;datamole;gpt4ts,
units,3,184,2023-05-04,3.5211758613586426,0.9965277777777778,0.9946111111111111,2,5,0,itrans;calf;units;datamole;gpt4ts,
units,4,402,2023-12-08,2.423369884490967,0.9947916666666666,0.9899027777777778,3,5,0,itrans;calf;units;datamole;gpt4ts,
units,5,178,2023-04-28,2.2040939331054688,0.9930555555555556,0.921625,15,5,0,itrans;calf;units;datamole;gpt4ts,
units,6,532,2024-04-16,1.9638965129852295,0.9913194444444444,0.7185555555555555,66,5,0,itrans;calf;units;datamole;gpt4ts,
units,7,359,2023-10-26,1.8025065660476685,0.9895833333333334,0.7016111111111111,78,5,0,itrans;calf;units;datamole;gpt4ts,
units,8,559,2024-05-13,1.7109752893447876,0.9878472222222222,0.9033333333333333,18,5,0,itrans;calf;units;datamole;gpt4ts,
units,9,153,2023-04-03,1.6652642488479614,0.9861111111111112,0.8868055555555555,23,5,0,itrans;calf;units;datamole;gpt4ts,
units,10,177,2023-04-27,1.5338586568832397,0.984375,0.3992916666666667,407,5,0,itrans;calf;units;datamole;gpt4ts,
units,11,365,2023-11-01,1.3048267364501953,0.9826388888888888,0.9850555555555556,4,5,0,itrans;calf;units;datamole;gpt4ts,
units,12,76,2023-01-16,1.2885668277740479,0.9809027777777778,0.6822222222222222,85,5,0,itrans;calf;units;datamole;gpt4ts,
units,13,513,2024-03-28,1.2595281600952148,0.9791666666666666,0.9362361111111112,12,5,0,itrans;calf;units;datamole;gpt4ts,
units,14,556,2024-05-10,1.1433197259902954,0.9774305555555556,0.8006388888888889,40,5,0,itrans;calf;units;datamole;gpt4ts,
units,15,514,2024-03-29,1.1378964185714722,0.9756944444444444,0.7693055555555555,48,5,0,itrans;calf;units;datamole;gpt4ts,
units,16,537,2024-04-21,1.132609486579895,0.9739583333333334,0.5754027777777778,173,5,0,itrans;calf;units;datamole;gpt4ts,
units,17,493,2024-03-08,1.1270757913589478,0.9722222222222222,0.9167361111111111,17,5,0,itrans;calf;units;datamole;gpt4ts,
units,18,150,2023-03-31,1.0896751880645752,0.9704861111111112,0.9604583333333334,9,5,0,itrans;calf;units;datamole;gpt4ts,
units,19,295,2023-08-23,1.0809047222137451,0.96875,0.8281944444444443,35,5,0,itrans;calf;units;datamole;gpt4ts,
units,20,471,2024-02-15,1.0312656164169312,0.9670138888888888,0.9481388888888889,11,5,0,itrans;calf;units;datamole;gpt4ts,
units,21,492,2024-03-07,0.9964113235473633,0.9652777777777778,0.5635833333333334,186,5,0,itrans;calf;units;datamole;gpt4ts,
units,22,523,2024-04-07,0.9958052635192871,0.9635416666666666,0.87525,24,5,0,itrans;calf;units;datamole;gpt4ts,
units,23,562,2024-05-16,0.9396599531173706,0.9618055555555556,0.6505694444444444,109,5,0,itrans;calf;units;datamole;gpt4ts,
units,24,332,2023-09-29,0.9277411103248596,0.9600694444444444,0.8574722222222222,28,5,0,itrans;calf;units;datamole;gpt4ts,
units,25,494,2024-03-09,0.8915244340896606,0.9583333333333334,0.6881666666666668,83,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,1,531,2024-04-15,116.5351333618164,1.0,0.9996527777777778,1,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,2,526,2024-04-10,58.45310592651367,0.9983333333333333,0.9281111111111111,13,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,3,527,2024-04-11,55.640830993652344,0.9966666666666667,0.9722916666666667,5,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,4,525,2024-04-09,45.654727935791016,0.995,0.3710555555555556,457,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,5,532,2024-04-16,45.55789566040039,0.9933333333333333,0.7185555555555555,66,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,6,533,2024-04-17,42.85921096801758,0.9916666666666667,0.7234444444444444,60,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,7,528,2024-04-12,32.893714904785156,0.99,0.8134027777777778,37,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,8,530,2024-04-14,30.603235244750977,0.9883333333333333,0.9019166666666667,19,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,9,534,2024-04-18,28.762908935546875,0.9866666666666667,0.44780555555555557,345,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,10,184,2023-05-04,22.607431411743164,0.985,0.9946111111111111,2,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,11,365,2023-11-01,21.92593002319336,0.9833333333333333,0.9850555555555556,4,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,12,521,2024-04-05,21.637310028076172,0.9816666666666667,0.9635000000000001,8,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,13,367,2023-11-03,20.73145866394043,0.98,0.9646805555555555,7,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,14,181,2023-05-01,17.0757999420166,0.9783333333333334,0.642513888888889,116,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,15,520,2024-04-04,15.651572227478027,0.9766666666666667,0.8517916666666666,31,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,16,529,2024-04-13,13.51204776763916,0.975,0.865,26,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,17,402,2023-12-08,11.078767776489258,0.9733333333333334,0.9899027777777778,3,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,18,513,2024-03-28,10.321948051452637,0.9716666666666667,0.9362361111111112,12,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,19,366,2023-11-02,9.397852897644043,0.97,0.5181805555555555,240,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,20,171,2023-04-21,9.306293487548828,0.9683333333333334,0.9219444444444445,14,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,21,400,2023-12-06,9.186668395996094,0.9666666666666667,0.6731666666666667,90,5,0,itrans;calf;units;datamole;gpt4ts,
datamole,22,175,2023-04-25,9.045328140258789,0.965,0.9199722222222222,16,5,0,itrans;calf;units;datamole;gpt4ts,
