method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
kmeans,1,566,2024-05-20,11.020051318952536,1.0,0.7356605090311986,74,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,2,567,2024-05-21,11.006435386954134,0.9983579638752053,0.5730860700602081,212,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,3,565,2024-05-19,11.005420004417767,0.9967159277504105,0.6461247263273125,143,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,4,573,2024-05-27,11.004772928553281,0.9950738916256158,0.7515173097974821,61,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,5,559,2024-05-13,11.00233355975315,0.993431855500821,0.8987014915161466,11,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,6,564,2024-05-18,11.000407482691642,0.9917898193760263,0.48608394909688013,319,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,7,569,2024-05-23,10.995537583737372,0.9901477832512315,0.67089443076081,129,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,8,560,2024-05-14,10.993009019547422,0.9885057471264368,0.8348951149425288,19,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,9,568,2024-05-22,10.992155245909029,0.986863711001642,0.759626505199781,55,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,10,572,2024-05-26,10.992071713315335,0.9852216748768473,0.6031592090859331,177,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,11,562,2024-05-16,10.990710890597699,0.9835796387520526,0.7829932266009851,39,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,12,563,2024-05-17,10.988749911996083,0.9819376026272578,0.6902526683087028,114,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,13,571,2024-05-25,10.988435106303134,0.9802955665024631,0.6142017651888342,166,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,14,570,2024-05-24,10.98841657979637,0.9786535303776683,0.7093316912972085,93,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,15,558,2024-05-12,10.986323348365783,0.9770114942528736,0.6072532840722495,175,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,16,536,2024-04-20,10.984068903432968,0.9753694581280788,0.7381948549534757,71,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,17,561,2024-05-15,10.982860721514959,0.9737274220032841,0.7414448549534757,66,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,18,557,2024-05-11,10.980793788143357,0.9720853858784894,0.5924347290640394,193,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,19,574,2024-05-28,10.978340524311816,0.9704433497536946,0.5573225916803504,234,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,20,537,2024-04-21,10.976446492323552,0.9688013136288999,0.5103812260536398,288,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,21,552,2024-05-06,10.97486895779399,0.9671592775041051,0.776806376573618,45,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,22,555,2024-05-09,10.969136312250422,0.9655172413793104,0.7971198686371099,36,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,23,553,2024-05-07,10.96868835426812,0.9638752052545156,0.5344690065681446,266,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,24,538,2024-04-22,10.968552328647746,0.9622331691297209,0.9422773672687466,7,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,25,604,2024-06-27,10.968090441994066,0.9605911330049262,0.8171866447728516,26,3,2,kmeans;dwt;ocsvm,calf;itrans
dwt,1,512,2024-03-27,6.0,0.9876847290640394,0.7177235221674877,87,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,513,2024-03-28,6.0,0.9876847290640394,0.9122632047071703,9,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,514,2024-03-29,6.0,0.9876847290640394,0.7985607553366174,35,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,515,2024-03-30,6.0,0.9876847290640394,0.5674447181171318,218,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,516,2024-03-31,6.0,0.9876847290640394,0.7038098659003831,98,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,517,2024-04-01,6.0,0.9876847290640394,0.7299160509031198,80,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,518,2024-04-02,6.0,0.9876847290640394,0.7816194581280789,42,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,519,2024-04-03,6.0,0.9876847290640394,0.9072660782703886,10,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,520,2024-04-04,6.0,0.9876847290640394,0.9595940749863162,4,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,521,2024-04-05,6.0,0.9876847290640394,0.9567558155446086,5,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,522,2024-04-06,6.0,0.9876847290640394,0.7392972085385878,69,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,523,2024-04-07,6.0,0.9876847290640394,0.7825482348111658,40,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,524,2024-04-08,6.0,0.9876847290640394,0.7910186097427476,38,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,525,2024-04-09,6.0,0.9876847290640394,0.5656986179529283,222,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,526,2024-04-10,6.0,0.9876847290640394,0.963793035030104,3,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,527,2024-04-11,6.0,0.9876847290640394,0.9743743842364532,2,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,528,2024-04-12,5.0,0.9614121510673235,0.9250082785987959,8,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,529,2024-04-13,5.0,0.9614121510673235,0.7802480842911877,43,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,530,2024-04-14,5.0,0.9614121510673235,0.7365249726327312,72,5,0,kmeans;dwt;calf;itrans;ocsvm,
