method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
dp,1,541,2024-04-25,84.2812271118164,1.0,1.0,1,5,0,dp;zms;units;isolation_forest;calf,
dp,2,542,2024-04-26,83.41270446777344,0.9983579638752053,0.958420566502463,14,5,0,dp;zms;units;isolation_forest;calf,
dp,3,585,2024-06-08,69.9358901977539,0.9967159277504105,0.8054187192118226,62,3,2,dp;zms;isolation_forest,units;calf
dp,4,538,2024-04-22,61.112770080566406,0.9950738916256158,0.9946514094143403,2,5,0,dp;zms;units;isolation_forest;calf,
dp,5,584,2024-06-07,39.91984558105469,0.993431855500821,0.9928845101258895,3,3,2,dp;zms;isolation_forest,units;calf
dp,6,540,2024-04-24,33.68442916870117,0.9917898193760263,0.9456828133552271,18,5,0,dp;zms;units;isolation_forest;calf,
dp,7,514,2024-03-29,14.758769035339355,0.9901477832512315,0.8671353311439519,41,5,0,dp;zms;units;isolation_forest;calf,
dp,8,580,2024-06-03,14.016396522521973,0.9885057471264368,0.9846743295019157,4,3,2,dp;zms;isolation_forest,units;calf
dp,9,352,2023-10-19,9.210506439208984,0.986863711001642,0.678458538587849,129,5,0,dp;zms;units;isolation_forest;calf,
dp,10,531,2024-04-15,7.957854747772217,0.9852216748768473,0.9747861932129174,7,5,0,dp;zms;units;isolation_forest;calf,
dp,11,589,2024-06-12,7.624989032745361,0.9835796387520526,0.9176245210727969,25,3,2,dp;zms;isolation_forest,units;calf
dp,12,563,2024-05-17,6.856870651245117,0.9819376026272578,0.9252445949644226,23,5,0,dp;zms;units;isolation_forest;calf,
dp,13,513,2024-03-28,5.586763858795166,0.9802955665024631,0.9839918582375479,5,5,0,dp;zms;units;isolation_forest;calf,
dp,14,571,2024-05-25,5.351384162902832,0.9786535303776683,0.7649117405582924,74,5,0,dp;zms;units;isolation_forest;calf,
dp,15,55,2022-12-26,5.157735347747803,0.9770114942528736,0.9631790503557746,8,5,0,dp;zms;units;isolation_forest;calf,
dp,16,559,2024-05-13,4.944118976593018,0.9753694581280788,0.9302117542419266,20,5,0,dp;zms;units;isolation_forest;calf,
dp,17,532,2024-04-16,4.723954200744629,0.9737274220032841,0.9507132594417076,17,5,0,dp;zms;units;isolation_forest;calf,
