consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,562,2024-05-16,0.9830493979200876,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
2,561,2024-05-15,0.9804163245758074,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
3,576,2024-05-30,0.9757553366174055,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,5.0
4,566,2024-05-20,0.9725789545703339,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
5,563,2024-05-17,0.9712570470717022,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,1.0
6,574,2024-05-28,0.9580991379310344,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;itrans;ocsvm,9.0
7,531,2024-04-15,0.9554909688013137,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
8,596,2024-06-19,0.9541235632183908,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,9.0
9,575,2024-05-29,0.9467449370552818,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,9.0
10,513,2024-03-28,0.9391832922824301,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,2.0
11,521,2024-04-05,0.9340728653530377,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,4.0
12,527,2024-04-11,0.9211821975916804,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,5.0
13,577,2024-05-31,0.9196551724137931,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,22.0
14,573,2024-05-27,0.9191002326217843,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,9.0
15,538,2024-04-22,0.890986179529283,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
16,476,2024-02-20,0.8849312397372742,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,16.0
17,602,2024-06-25,0.8787629994526546,3,2,kmeans;dwt;ocsvm,calf;itrans,0,,
18,597,2024-06-20,0.8778489326765189,4,1,kmeans;dwt;itrans;ocsvm,calf,0,,
19,567,2024-05-21,0.8764384236453202,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,dwt,1.0
20,524,2024-04-08,0.8748899835796389,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
21,604,2024-06-27,0.8689107827038862,3,2,kmeans;dwt;ocsvm,calf;itrans,1,kmeans,5.0
22,535,2024-04-19,0.8665426245210728,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
23,554,2024-05-08,0.8542137383689108,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;itrans,9.0
24,601,2024-06-24,0.8508483853311439,3,2,kmeans;dwt;ocsvm,calf;itrans,0,,
25,472,2024-02-16,0.8450695128626163,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
