consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,499,2024-03-14,0.9973351122058018,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0
2,486,2024-03-01,0.9957307060755337,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
3,584,2024-06-07,0.9901477832512317,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
4,314,2023-09-11,0.9880832649151614,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,3.0
5,387,2023-11-23,0.9824250821018063,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,4.0
6,276,2023-08-04,0.9778461959496443,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,5.0
7,100,2023-02-09,0.975762862616311,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,6.0
8,561,2024-05-15,0.9744766009852217,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,6.0
9,279,2023-08-07,0.9605808702791462,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,8.0
10,562,2024-05-16,0.9591355363984675,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,12.0
11,184,2023-05-04,0.9530172413793103,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,7.0
12,65,2023-01-05,0.9501830186097427,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,14.0
13,541,2024-04-25,0.9496373836891078,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;isolation_forest,12.0
14,528,2024-04-12,0.9492713464696223,5,0,dp;zms;units;isolation_forest;calf,,2,zms;isolation_forest,4.0
15,596,2024-06-19,0.9490968801313628,3,2,dp;zms;isolation_forest,units;calf,0,,
16,538,2024-04-22,0.9458470169677066,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,15.0
17,364,2023-10-31,0.9434780377668309,5,0,dp;zms;units;isolation_forest;calf,,2,zms;calf,18.0
18,356,2023-10-23,0.9347376163108922,5,0,dp;zms;units;isolation_forest;calf,,1,calf,22.0
19,531,2024-04-15,0.9311131636562671,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,13.0
20,22,2022-11-23,0.9259715380405036,5,0,dp;zms;units;isolation_forest;calf,,1,zms,24.0
21,580,2024-06-03,0.9255610290093048,3,2,dp;zms;isolation_forest,units;calf,1,zms,25.0
22,527,2024-04-11,0.924676724137931,5,0,dp;zms;units;isolation_forest;calf,,2,zms;calf,13.0
23,539,2024-04-23,0.9232159961685824,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,8.0
24,513,2024-03-28,0.9209479337712096,5,0,dp;zms;units;isolation_forest;calf,,1,zms,18.0
25,153,2023-04-03,0.9200157361795294,5,0,dp;zms;units;isolation_forest;calf,,1,units,22.0
