variant,customer,anomaly_type,consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
raw,620000,global_point,1,584,2024-06-07,0.9994444444444444,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,1.0
raw,620000,global_point,2,531,2024-04-15,0.9969861111111111,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0
raw,620000,global_point,3,580,2024-06-03,0.9916666666666667,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,2.0
raw,620000,global_point,4,527,2024-04-11,0.9726805555555555,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,3.0
raw,620000,global_point,5,582,2024-06-05,0.9705555555555555,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;datamole,1.0
raw,620000,global_point,6,97,2023-02-06,0.9616111111111112,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,9.0
raw,620000,global_point,7,175,2023-04-25,0.940236111111111,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;gpt4ts,4.0
raw,620000,global_point,8,153,2023-04-03,0.9392083333333334,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,4.0
raw,620000,global_point,9,521,2024-04-05,0.9327361111111111,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,3.0
raw,620000,global_point,10,358,2023-10-25,0.9286944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,20.0
raw,620000,global_point,11,122,2023-03-03,0.9270277777777778,5,0,itrans;calf;units;datamole;gpt4ts,,2,datamole;gpt4ts,13.0
raw,620000,global_point,12,579,2024-06-02,0.9116666666666666,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,25.0
raw,620000,global_point,13,563,2024-05-17,0.9116388888888889,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,25.0
raw,620000,global_point,14,364,2023-10-31,0.9001944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,2.0
raw,620000,global_point,15,184,2023-05-04,0.9000277777777779,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,6.0
raw,620000,global_point,16,402,2023-12-08,0.8994027777777778,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,6.0
raw,620000,global_point,17,387,2023-11-23,0.8826805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,4.0
raw,620000,global_point,18,338,2023-10-05,0.876,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,8.0
raw,620000,global_point,19,179,2023-04-29,0.8708611111111111,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
raw,620000,global_point,20,585,2024-06-08,0.8694444444444445,3,2,itrans;datamole;gpt4ts,calf;units,1,datamole,23.0
