consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,538,2024-04-22,0.9942638888888888,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,2.0
2,541,2024-04-25,0.9903333333333333,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,1.0
3,584,2024-06-07,0.9899999999999999,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,1.0
4,588,2024-06-11,0.9727777777777779,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,4.0
5,539,2024-04-23,0.9706250000000001,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,3.0
6,531,2024-04-15,0.9701805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,5.0
7,527,2024-04-11,0.9675694444444444,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,7.0
8,563,2024-05-17,0.9640000000000001,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,6.0
9,562,2024-05-16,0.9568750000000001,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;gpt4ts,8.0
10,580,2024-06-03,0.9505555555555555,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,9.0
11,582,2024-06-05,0.9422222222222222,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,16.0
12,573,2024-05-27,0.9284027777777778,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,23.0
13,577,2024-05-31,0.9244444444444445,3,2,itrans;datamole;gpt4ts,calf;units,0,,
14,540,2024-04-24,0.9236805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;datamole,1.0
15,583,2024-06-06,0.9222222222222222,3,2,itrans;datamole;gpt4ts,calf;units,0,,
16,520,2024-04-04,0.9197777777777777,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
17,581,2024-06-04,0.9183333333333333,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,21.0
18,529,2024-04-13,0.9178888888888889,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;datamole,15.0
19,544,2024-04-28,0.9160694444444445,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,9.0
20,533,2024-04-17,0.9124722222222221,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;datamole,7.0
21,184,2023-05-04,0.9109166666666667,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
22,153,2023-04-03,0.9085972222222221,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,12.0
23,561,2024-05-15,0.905375,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,10.0
24,559,2024-05-13,0.9048333333333334,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,21.0
25,505,2024-03-20,0.9043611111111112,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,24.0
