method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
itrans,1,584,2024-06-07,681.4837646484375,1.0,0.9899999999999999,3,3,2,itrans;datamole;gpt4ts,calf;units
itrans,2,541,2024-04-25,408.8232421875,0.9983333333333333,0.9903333333333333,2,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,3,538,2024-04-22,265.1831359863281,0.9966666666666667,0.9942638888888888,1,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,4,588,2024-06-11,133.11265563964844,0.995,0.9727777777777779,4,3,2,itrans;datamole;gpt4ts,calf;units
itrans,5,539,2024-04-23,130.94448852539062,0.9933333333333333,0.9706250000000001,5,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,6,499,2024-03-14,100.77710723876953,0.9916666666666667,0.8317222222222223,70,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,7,527,2024-04-11,90.79134368896484,0.99,0.9675694444444444,7,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,8,517,2024-04-01,76.6320571899414,0.9883333333333333,0.8333055555555555,68,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,9,513,2024-03-28,66.37002563476562,0.9866666666666667,0.8811250000000002,38,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,10,562,2024-05-16,64.9066162109375,0.985,0.9568750000000001,9,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,11,580,2024-06-03,61.42938995361328,0.9833333333333333,0.9505555555555555,10,3,2,itrans;datamole;gpt4ts,calf;units
itrans,12,351,2023-10-18,59.92565155029297,0.9816666666666667,0.6757916666666667,152,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,13,486,2024-03-01,59.87584686279297,0.98,0.8922083333333333,33,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,14,471,2024-02-15,59.537906646728516,0.9783333333333334,0.8278194444444444,75,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,15,598,2024-06-21,57.17256164550781,0.9766666666666667,0.8377777777777778,65,3,2,itrans;datamole;gpt4ts,calf;units
itrans,16,531,2024-04-15,55.1324348449707,0.975,0.9701805555555556,6,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,17,563,2024-05-17,50.81330871582031,0.9733333333333334,0.9640000000000001,8,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,18,120,2023-03-01,50.603275299072266,0.9716666666666667,0.8437222222222223,59,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,19,568,2024-05-22,48.12455368041992,0.97,0.8894305555555556,35,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,20,533,2024-04-17,47.85273742675781,0.9683333333333334,0.9124722222222221,20,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,21,581,2024-06-04,46.584957122802734,0.9666666666666667,0.9183333333333333,17,3,2,itrans;datamole;gpt4ts,calf;units
itrans,22,582,2024-06-05,45.8379020690918,0.965,0.9422222222222222,11,3,2,itrans;datamole;gpt4ts,calf;units
itrans,23,540,2024-04-24,44.59052658081055,0.9633333333333334,0.9236805555555556,14,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,24,591,2024-06-14,44.39700698852539,0.9616666666666667,0.7422222222222222,118,3,2,itrans;datamole;gpt4ts,calf;units
itrans,25,529,2024-04-13,43.54664993286133,0.96,0.9178888888888889,18,5,0,itrans;calf;units;datamole;gpt4ts,
calf,1,541,2024-04-25,518.744140625,1.0,0.9903333333333333,2,5,0,itrans;calf;units;datamole;gpt4ts,
calf,2,538,2024-04-22,276.6609802246094,0.9982638888888888,0.9942638888888888,1,5,0,itrans;calf;units;datamole;gpt4ts,
calf,3,539,2024-04-23,203.68846130371094,0.9965277777777778,0.9706250000000001,5,5,0,itrans;calf;units;datamole;gpt4ts,
calf,4,486,2024-03-01,100.54781341552734,0.9947916666666666,0.8922083333333333,33,5,0,itrans;calf;units;datamole;gpt4ts,
calf,5,531,2024-04-15,70.91389465332031,0.9930555555555556,0.9701805555555556,6,5,0,itrans;calf;units;datamole;gpt4ts,
calf,6,481,2024-02-25,68.91654205322266,0.9913194444444444,0.5250555555555556,251,5,0,itrans;calf;units;datamole;gpt4ts,
calf,7,514,2024-03-29,63.57917022705078,0.9895833333333334,0.8643333333333334,49,5,0,itrans;calf;units;datamole;gpt4ts,
calf,8,513,2024-03-28,63.2504997253418,0.9878472222222222,0.8811250000000002,38,5,0,itrans;calf;units;datamole;gpt4ts,
calf,9,471,2024-02-15,57.97767639160156,0.9861111111111112,0.8278194444444444,75,5,0,itrans;calf;units;datamole;gpt4ts,
calf,10,120,2023-03-01,57.40336608886719,0.984375,0.8437222222222223,59,5,0,itrans;calf;units;datamole;gpt4ts,
calf,11,499,2024-03-14,55.54014587402344,0.9826388888888888,0.8317222222222223,70,5,0,itrans;calf;units;datamole;gpt4ts,
calf,12,563,2024-05-17,52.78767013549805,0.9809027777777778,0.9640000000000001,8,5,0,itrans;calf;units;datamole;gpt4ts,
calf,13,551,2024-05-05,43.409324645996094,0.9791666666666666,0.8227638888888891,84,5,0,itrans;calf;units;datamole;gpt4ts,
calf,14,562,2024-05-16,40.076698303222656,0.9774305555555556,0.9568750000000001,9,5,0,itrans;calf;units;datamole;gpt4ts,
calf,15,527,2024-04-11,39.86647033691406,0.9756944444444444,0.9675694444444444,7,5,0,itrans;calf;units;datamole;gpt4ts,
calf,16,370,2023-11-06,39.687286376953125,0.9739583333333334,0.8009999999999999,93,5,0,itrans;calf;units;datamole;gpt4ts,
calf,17,560,2024-05-14,35.89619827270508,0.9722222222222222,0.807236111111111,90,5,0,itrans;calf;units;datamole;gpt4ts,
calf,18,561,2024-05-15,33.58674621582031,0.9704861111111112,0.905375,23,5,0,itrans;calf;units;datamole;gpt4ts,
calf,19,153,2023-04-03,33.035587310791016,0.96875,0.9085972222222221,22,5,0,itrans;calf;units;datamole;gpt4ts,
calf,20,534,2024-04-18,29.984966278076172,0.9670138888888888,0.8460416666666667,57,5,0,itrans;calf;units;datamole;gpt4ts,
calf,21,559,2024-05-13,28.99299430847168,0.9652777777777778,0.9048333333333334,24,5,0,itrans;calf;units;datamole;gpt4ts,
calf,22,314,2023-09-11,28.10126495361328,0.9635416666666666,0.8301111111111112,72,5,0,itrans;calf;units;datamole;gpt4ts,
calf,23,337,2023-10-04,27.336708068847656,0.9618055555555556,0.7854861111111111,98,5,0,itrans;calf;units;datamole;gpt4ts,
calf,24,505,2024-03-20,27.12579917907715,0.9600694444444444,0.9043611111111112,25,5,0,itrans;calf;units;datamole;gpt4ts,
calf,25,536,2024-04-20,26.948545455932617,0.9583333333333334,0.8951111111111111,32,5,0,itrans;calf;units;datamole;gpt4ts,
units,1,541,2024-04-25,126.39666748046875,1.0,0.9903333333333333,2,5,0,itrans;calf;units;datamole;gpt4ts,
units,2,540,2024-04-24,55.86977005004883,0.9982638888888888,0.9236805555555556,14,5,0,itrans;calf;units;datamole;gpt4ts,
units,3,542,2024-04-26,43.77427291870117,0.9965277777777778,0.8738194444444444,42,5,0,itrans;calf;units;datamole;gpt4ts,
units,4,537,2024-04-21,35.22794723510742,0.9947916666666666,0.8012083333333333,92,5,0,itrans;calf;units;datamole;gpt4ts,
units,5,538,2024-04-22,30.735445022583008,0.9930555555555556,0.9942638888888888,1,5,0,itrans;calf;units;datamole;gpt4ts,
units,6,471,2024-02-15,16.674760818481445,0.9913194444444444,0.8278194444444444,75,5,0,itrans;calf;units;datamole;gpt4ts,
units,7,486,2024-03-01,16.110580444335938,0.9895833333333334,0.8922083333333333,33,5,0,itrans;calf;units;datamole;gpt4ts,
units,8,531,2024-04-15,14.271827697753906,0.9878472222222222,0.9701805555555556,6,5,0,itrans;calf;units;datamole;gpt4ts,
units,9,513,2024-03-28,13.966070175170898,0.9861111111111112,0.8811250000000002,38,5,0,itrans;calf;units;datamole;gpt4ts,
units,10,370,2023-11-06,12.742408752441406,0.984375,0.8009999999999999,93,5,0,itrans;calf;units;datamole;gpt4ts,
units,11,499,2024-03-14,10.812860488891602,0.9826388888888888,0.8317222222222223,70,5,0,itrans;calf;units;datamole;gpt4ts,
units,12,153,2023-04-03,9.652880668640137,0.9809027777777778,0.9085972222222221,22,5,0,itrans;calf;units;datamole;gpt4ts,
