consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,562,2024-05-16,0.9739311029009304,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
2,541,2024-04-25,0.9710952380952381,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
3,563,2024-05-17,0.9708143814997264,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
4,539,2024-04-23,0.9680871647509578,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,3.0
5,538,2024-04-22,0.9677874247400109,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,2.0
6,561,2024-05-15,0.9652335112205803,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1.0
7,584,2024-06-07,0.9626436781609196,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,1.0
8,580,2024-06-03,0.9562192118226601,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,11.0
9,588,2024-06-11,0.9540045155993433,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,4.0
10,531,2024-04-15,0.9491119321291736,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,2.0
11,581,2024-06-04,0.9475369458128079,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,21.0
12,576,2024-05-30,0.9463444170771758,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,7.0
13,566,2024-05-20,0.9449956212370004,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;ocsvm,1.0
14,582,2024-06-05,0.9440414614121511,4,1,kmeans;dwt;itrans;ocsvm,calf,1,itrans,22.0
15,583,2024-06-06,0.9383949096880131,4,1,kmeans;dwt;itrans;ocsvm,calf,0,,
16,577,2024-05-31,0.9342220853858785,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,22.0
17,573,2024-05-27,0.9286507252326217,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,kmeans,20.0
18,559,2024-05-13,0.9282591680350301,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,21.0
19,574,2024-05-28,0.9265519978106186,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;ocsvm,9.0
20,528,2024-04-12,0.9214080459770116,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,9.0
21,587,2024-06-10,0.9181342364532019,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,12.0
22,540,2024-04-24,0.916513820470717,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;itrans,9.0
23,560,2024-05-14,0.9142194854953477,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,1.0
24,547,2024-05-01,0.9098683634373289,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
25,553,2024-05-07,0.9091623563218392,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
