method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
kmeans,1,607,2024-06-30,18.55199284924015,1.0,0.6948549534756432,144,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,2,608,2024-07-01,18.27507698365376,0.9983579638752053,0.7818828680897646,91,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,3,605,2024-06-28,14.7554056159012,0.9967159277504105,0.7586206896551723,109,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,4,606,2024-06-29,14.691394494551774,0.9950738916256158,0.6932129173508484,145,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,5,604,2024-06-27,14.606805732885187,0.993431855500821,0.8196496989600438,61,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,6,593,2024-06-16,14.125465654306502,0.9917898193760263,0.7688669950738917,101,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,7,592,2024-06-15,14.122180960900112,0.9901477832512315,0.7476231527093596,114,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,8,594,2024-06-17,14.09760224130006,0.9885057471264368,0.8528920361247947,46,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,9,585,2024-06-08,14.081969711655864,0.986863711001642,0.7956814449917898,80,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,10,586,2024-06-09,14.065089111745863,0.9852216748768473,0.7879577175697865,84,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,11,595,2024-06-18,14.06322971196152,0.9835796387520526,0.6926416256157636,146,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,12,587,2024-06-10,14.043701666283471,0.9819376026272578,0.9181342364532019,21,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,13,591,2024-06-14,14.040375426063003,0.9802955665024631,0.8268288177339902,57,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,14,579,2024-06-02,14.038997009865609,0.9786535303776683,0.7296490147783251,127,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,15,584,2024-06-07,14.0386505968027,0.9770114942528736,0.9626436781609196,7,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,16,596,2024-06-19,14.038518266610462,0.9753694581280788,0.9050082101806239,28,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,17,580,2024-06-03,14.028666942267371,0.9737274220032841,0.9562192118226601,8,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,18,576,2024-05-30,14.024793375982687,0.9720853858784894,0.9463444170771758,12,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,19,574,2024-05-28,14.023498153166388,0.9704433497536946,0.9265519978106186,19,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,20,573,2024-05-27,14.022099982887132,0.9688013136288999,0.9286507252326217,17,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,21,578,2024-06-01,14.021170551503266,0.9671592775041051,0.7705254515599343,100,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,22,577,2024-05-31,14.019917476890885,0.9655172413793104,0.9342220853858785,16,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,23,588,2024-06-11,14.01918913329483,0.9638752052545156,0.9540045155993433,9,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,24,575,2024-05-29,14.018770856589393,0.9622331691297209,0.8945593185550083,32,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,25,572,2024-05-26,14.017553579950636,0.9605911330049262,0.7209539545703338,133,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,560,2024-05-14,11.0,0.9942528735632183,0.9142194854953477,23,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,561,2024-05-15,11.0,0.9942528735632183,0.9652335112205803,6,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,562,2024-05-16,11.0,0.9942528735632183,0.9739311029009304,1,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,563,2024-05-17,11.0,0.9942528735632183,0.9708143814997264,3,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,564,2024-05-18,11.0,0.9942528735632183,0.7850396141215107,88,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,565,2024-05-19,11.0,0.9942528735632183,0.8127340585659552,66,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,566,2024-05-20,11.0,0.9942528735632183,0.9449956212370004,13,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,567,2024-05-21,11.0,0.9942528735632183,0.8883339490968801,36,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,440,2024-01-15,10.0,0.9614121510673235,0.6419295292829775,178,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,441,2024-01-16,10.0,0.9614121510673235,0.533623015873016,273,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,442,2024-01-17,10.0,0.9614121510673235,0.6501387520525451,173,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,443,2024-01-18,10.0,0.9614121510673235,0.5821581828133552,221,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,444,2024-01-19,10.0,0.9614121510673235,0.578766899288451,224,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,445,2024-01-20,10.0,0.9614121510673235,0.5776786398467433,227,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,446,2024-01-21,10.0,0.9614121510673235,0.48211815818281334,318,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,447,2024-01-22,10.0,0.9614121510673235,0.5812352216748768,223,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,536,2024-04-20,10.0,0.9614121510673235,0.8244597701149425,58,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,537,2024-04-21,10.0,0.9614121510673235,0.6636851395730707,167,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,538,2024-04-22,10.0,0.9614121510673235,0.9677874247400109,5,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,539,2024-04-23,10.0,0.9614121510673235,0.9680871647509578,4,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,540,2024-04-24,10.0,0.9614121510673235,0.916513820470717,22,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,541,2024-04-25,10.0,0.9614121510673235,0.9710952380952381,2,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,542,2024-04-26,10.0,0.9614121510673235,0.9026567460317461,31,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,543,2024-04-27,10.0,0.9614121510673235,0.8100525451559933,68,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,9,544,2024-04-28,10.0,0.9614121510673235,0.8163630268199235,65,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,1,541,2024-04-25,518.744140625,1.0,0.9710952380952381,2,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,2,538,2024-04-22,276.6609802246094,0.9982638888888888,0.9677874247400109,5,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,3,539,2024-04-23,203.68846130371094,0.9965277777777778,0.9680871647509578,4,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,4,486,2024-03-01,100.54781341552734,0.9947916666666666,0.8588335385878489,44,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,5,531,2024-04-15,70.91389465332031,0.9930555555555556,0.9491119321291736,10,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,6,481,2024-02-25,68.91654205322266,0.9913194444444444,0.5977762041598249,205,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,7,514,2024-03-29,63.57917022705078,0.9895833333333334,0.7416211001642037,118,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,8,513,2024-03-28,63.2504997253418,0.9878472222222222,0.9040981800766283,29,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,9,471,2024-02-15,57.97767639160156,0.9861111111111112,0.9040547345374932,30,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,10,120,2023-03-01,57.40336608886719,0.984375,0.686610632183908,152,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,11,499,2024-03-14,55.54014587402344,0.9826388888888888,0.8695737547892721,40,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,12,563,2024-05-17,52.78767013549805,0.9809027777777778,0.9708143814997264,3,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,13,551,2024-05-05,43.409324645996094,0.9791666666666666,0.7749696223316913,95,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,14,562,2024-05-16,40.076698303222656,0.9774305555555556,0.9739311029009304,1,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,15,527,2024-04-11,39.86647033691406,0.9756944444444444,0.9061109742747673,27,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,16,370,2023-11-06,39.687286376953125,0.9739583333333334,0.7992366584564861,78,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,17,560,2024-05-14,35.89619827270508,0.9722222222222222,0.9142194854953477,23,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,18,561,2024-05-15,33.58674621582031,0.9704861111111112,0.9652335112205803,6,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,19,153,2023-04-03,33.035587310791016,0.96875,0.7092015599343185,136,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,20,534,2024-04-18,29.984966278076172,0.9670138888888888,0.835442186644773,55,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,21,559,2024-05-13,28.99299430847168,0.9652777777777778,0.9282591680350301,18,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,22,314,2023-09-11,28.10126495361328,0.9635416666666666,0.6958199917898195,142,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,23,337,2023-10-04,27.336708068847656,0.9618055555555556,0.7268290914066775,130,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,24,505,2024-03-20,27.12579917907715,0.9600694444444444,0.8506362205801862,48,5,0,kmeans;dwt;calf;itrans;ocsvm,
calf,25,536,2024-04-20,26.948545455932617,0.9583333333333334,0.8244597701149425,58,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,1,584,2024-06-07,681.4837646484375,1.0,0.9626436781609196,7,4,1,kmeans;dwt;itrans;ocsvm,calf
itrans,2,541,2024-04-25,408.8232421875,0.9983333333333333,0.9710952380952381,2,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,3,538,2024-04-22,265.1831359863281,0.9966666666666667,0.9677874247400109,5,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,4,588,2024-06-11,133.11265563964844,0.995,0.9540045155993433,9,4,1,kmeans;dwt;itrans;ocsvm,calf
itrans,5,539,2024-04-23,130.94448852539062,0.9933333333333333,0.9680871647509578,4,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,6,499,2024-03-14,100.77710723876953,0.9916666666666667,0.8695737547892721,40,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,7,527,2024-04-11,90.79134368896484,0.99,0.9061109742747673,27,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,8,517,2024-04-01,76.6320571899414,0.9883333333333333,0.7301618773946361,126,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,9,513,2024-03-28,66.37002563476562,0.9866666666666667,0.9040981800766283,29,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,10,562,2024-05-16,64.9066162109375,0.985,0.9739311029009304,1,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,11,580,2024-06-03,61.42938995361328,0.9833333333333333,0.9562192118226601,8,4,1,kmeans;dwt;itrans;ocsvm,calf
itrans,12,351,2023-10-18,59.92565155029297,0.9816666666666667,0.7893923097974823,83,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,13,486,2024-03-01,59.87584686279297,0.98,0.8588335385878489,44,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,14,471,2024-02-15,59.537906646728516,0.9783333333333334,0.9040547345374932,30,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,15,598,2024-06-21,57.17256164550781,0.9766666666666667,0.8096428571428571,69,4,1,kmeans;dwt;itrans;ocsvm,calf
itrans,16,531,2024-04-15,55.1324348449707,0.975,0.9491119321291736,10,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,17,563,2024-05-17,50.81330871582031,0.9733333333333334,0.9708143814997264,3,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,18,120,2023-03-01,50.603275299072266,0.9716666666666667,0.686610632183908,152,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,19,568,2024-05-22,48.12455368041992,0.97,0.846185960591133,51,5,0,kmeans;dwt;calf;itrans;ocsvm,
itrans,20,533,2024-04-17,47.85273742675781,0.9683333333333334,0.8809648330596606,38,5,0,kmeans;dwt;calf;itrans;ocsvm,
