customer,sum_events,active_days,zero_days,mean,median,active_median,max,p75,p90,p95,p99,MAD,activity_stratum
13400000,14592.0,388,221,23.960591133004925,22.0,32.0,145.0,36.0,55.0,70.60000000000002,100.51999999999975,22.0,high_activity
13401000,2921.0,364,245,4.796387520525451,4.0,7.0,45.0,8.0,12.0,16.0,23.0,4.0,medium_activity
161832000,5809.0,390,219,9.538587848932677,8.0,11.0,108.0,12.0,22.0,32.60000000000002,66.71999999999935,8.0,medium_activity
161835000,1950.0,390,219,3.2019704433497536,2.0,3.0,68.0,4.0,7.0,10.600000000000023,24.91999999999996,2.0,low_activity
161836000,1344.0,356,253,2.206896551724138,2.0,3.0,49.0,3.0,5.0,7.0,17.0,2.0,low_activity
161838000,845.0,319,290,1.38752052545156,1.0,2.0,13.0,2.0,4.0,4.0,7.0,1.0,low_activity
2968000,6586.0,384,225,10.814449917898195,4.0,11.0,186.0,15.0,28.0,41.200000000000045,92.5999999999998,4.0,medium_activity
3296000,2341.0,386,223,3.8440065681444993,3.0,5.0,40.0,6.0,9.0,12.0,23.839999999999918,3.0,medium_activity
330387000,11226.0,399,210,18.43349753694581,11.0,18.0,216.0,23.0,45.200000000000045,68.60000000000002,130.83999999999992,11.0,high_activity
620000,23203.0,580,29,38.10016420361248,39.0,40.0,173.0,53.0,72.0,80.60000000000002,112.75999999999988,20.0,high_activity
633000,29735.0,400,209,48.825944170771756,49.0,64.5,329.0,77.0,108.0,133.20000000000005,179.83999999999992,48.0,high_activity
