date,is_edge_excluded,is_candidate_excluded,is_phase_excluded,excluded_reason,nearest_candidate_date,nearest_candidate_distance_days
2023-01-01,False,False,False,,2022-12-26,6
2023-01-02,False,False,False,,2022-12-26,7
2023-01-03,False,False,False,,2022-12-26,8
2023-01-04,False,False,False,,2022-12-26,9
2023-01-05,False,False,False,,2022-12-26,10
2023-01-06,False,False,False,,2022-12-26,11
2023-01-07,False,False,False,,2022-12-26,12
2023-01-08,False,False,False,,2022-12-26,13
2023-01-09,False,False,False,,2022-12-26,14
2023-01-10,False,False,False,,2022-12-26,15
2023-01-11,False,False,False,,2022-12-26,16
2023-01-12,False,False,False,,2022-12-26,17
2023-01-13,False,False,False,,2022-12-26,18
2023-01-14,False,False,False,,2022-12-26,19
2023-01-15,False,False,False,,2022-12-26,20
2023-01-16,False,False,False,,2022-12-26,21
2023-01-17,False,False,False,,2023-02-06,20
2023-01-18,False,False,False,,2023-02-06,19
2023-01-19,False,False,False,,2023-02-06,18
2023-01-20,False,False,False,,2023-02-06,17
2023-01-21,False,False,False,,2023-02-06,16
2023-01-22,False,False,False,,2023-02-06,15
2023-01-23,False,False,False,,2023-02-06,14
2023-01-24,False,False,False,,2023-02-06,13
2023-01-25,False,False,False,,2023-02-06,12
2023-01-26,False,False,False,,2023-02-06,11
2023-01-27,False,False,False,,2023-02-06,10
2023-01-28,False,False,False,,2023-02-06,9
2023-01-29,False,False,False,,2023-02-06,8
2023-01-30,False,False,False,,2023-02-06,7
2023-01-31,False,False,False,,2023-02-06,6
2023-02-26,False,False,False,,2023-02-20,6
2023-02-27,False,False,False,,2023-02-20,7
2023-02-28,False,False,False,,2023-02-20,8
2023-03-01,False,False,False,,2023-02-20,9
2023-03-02,False,False,False,,2023-02-20,10
2023-03-03,False,False,False,,2023-02-20,11
2023-03-04,False,False,False,,2023-03-15,11
2023-03-05,False,False,False,,2023-03-15,10
2023-03-06,False,False,False,,2023-03-15,9
2023-03-07,False,False,False,,2023-03-15,8
2023-03-08,False,False,False,,2023-03-15,7
2023-03-09,False,False,False,,2023-03-15,6
2023-04-09,False,False,False,,2023-04-03,6
2023-04-10,False,False,False,,2023-04-03,7
2023-04-11,False,False,False,,2023-04-03,8
2023-04-12,False,False,False,,2023-04-03,9
2023-04-13,False,False,False,,2023-04-21,8
2023-04-14,False,False,False,,2023-04-21,7
2023-04-15,False,False,False,,2023-04-21,6
2023-05-28,False,False,False,,2023-05-22,6
2023-05-29,False,False,False,,2023-05-22,7
2023-05-30,False,False,False,,2023-05-22,8
2023-05-31,False,False,False,,2023-05-22,9
2023-06-01,False,False,False,,2023-05-22,10
2023-06-02,False,False,False,,2023-05-22,11
2023-06-03,False,False,False,,2023-05-22,12
2023-06-04,False,False,False,,2023-05-22,13
2023-06-05,False,False,False,,2023-05-22,14
2023-06-06,False,False,False,,2023-05-22,15
2023-06-07,False,False,False,,2023-05-22,16
2023-06-08,False,False,False,,2023-05-22,17
2023-06-09,False,False,False,,2023-05-22,18
2023-06-10,False,False,False,,2023-05-22,19
2023-06-11,False,False,False,,2023-05-22,20
2023-06-12,False,False,False,,2023-05-22,21
2023-06-13,False,False,False,,2023-05-22,22
2023-06-14,False,False,False,,2023-05-22,23
2023-06-15,False,False,False,,2023-05-22,24
2023-06-16,False,False,False,,2023-05-22,25
2023-06-17,False,False,False,,2023-05-22,26
2023-06-18,False,False,False,,2023-05-22,27
2023-06-19,False,False,False,,2023-05-22,28
2023-06-20,False,False,False,,2023-05-22,29
2023-06-21,False,False,False,,2023-07-19,28
2023-06-22,False,False,False,,2023-07-19,27
2023-06-23,False,False,False,,2023-07-19,26
2023-06-24,False,False,False,,2023-07-19,25
2023-06-25,False,False,False,,2023-07-19,24
2023-06-26,False,False,False,,2023-07-19,23
2023-06-27,False,False,False,,2023-07-19,22
2023-06-28,False,False,False,,2023-07-19,21
2023-06-29,False,False,False,,2023-07-19,20
2023-06-30,False,False,False,,2023-07-19,19
2023-07-01,False,False,False,,2023-07-19,18
2023-07-02,False,False,False,,2023-07-19,17
2023-07-03,False,False,False,,2023-07-19,16
2023-07-04,False,False,False,,2023-07-19,15
2023-07-05,False,False,False,,2023-07-19,14
2023-07-06,False,False,False,,2023-07-19,13
2023-07-07,False,False,False,,2023-07-19,12
2023-07-08,False,False,False,,2023-07-19,11
2023-07-09,False,False,False,,2023-07-19,10
2023-07-10,False,False,False,,2023-07-19,9
2023-07-11,False,False,False,,2023-07-19,8
2023-07-12,False,False,False,,2023-07-19,7
2023-07-13,False,False,False,,2023-07-19,6
2023-07-30,False,False,False,,2023-07-24,6
2023-07-31,False,False,False,,2023-07-24,7
2023-08-01,False,False,False,,2023-08-07,6
2023-08-13,False,False,False,,2023-08-07,6
2023-08-14,False,False,False,,2023-08-07,7
2023-08-15,False,False,False,,2023-08-07,8
2023-08-16,False,False,False,,2023-08-07,9
2023-08-17,False,False,False,,2023-08-07,10
2023-08-18,False,False,False,,2023-08-07,11
2023-08-19,False,False,False,,2023-08-29,10
2023-08-20,False,False,False,,2023-08-29,9
2023-08-21,False,False,False,,2023-08-29,8
2023-08-22,False,False,False,,2023-08-29,7
2023-08-23,False,False,False,,2023-08-29,6
2023-09-26,False,False,False,,2023-09-20,6
2023-09-27,False,False,False,,2023-09-20,7
2023-09-28,False,False,False,,2023-10-04,6
2023-10-10,False,False,False,,2023-10-04,6
2023-10-11,False,False,False,,2023-10-04,7
2023-10-12,False,False,False,,2023-10-04,8
2023-10-13,False,False,False,,2023-10-04,9
2023-10-14,False,False,False,,2023-10-23,9
2023-10-15,False,False,False,,2023-10-23,8
2023-10-16,False,False,False,,2023-10-23,7
2023-10-17,False,False,False,,2023-10-23,6
2023-11-14,False,False,False,,2023-11-06,8
2023-11-15,False,False,False,,2023-11-23,8
2023-12-29,False,False,False,,2023-12-21,8
2023-12-30,False,False,False,,2023-12-21,9
2023-12-31,False,False,False,,2023-12-21,10
2024-01-01,False,False,False,,2023-12-21,11
2024-01-02,False,False,False,,2023-12-21,12
2024-01-03,False,False,False,,2023-12-21,13
2024-01-04,False,False,False,,2023-12-21,14
2024-01-05,False,False,False,,2023-12-21,15
