run_id,anomaly_id,anomaly_type,intensity,scope,customer,customers,start_date,end_date,date,duration_days,original_values,injected_values,seed
run_004,run_004_a001,global_peak,medium,point,3296000,"[""3296000""]",2024-01-05,2024-01-05,2024-01-05,1,"{""3296000"": {""2024-01-05"": 0.0}}","{""3296000"": {""2024-01-05"": 21.0}}",45
run_004,run_004_a002,global_peak,strong,point,620000,"[""620000""]",2023-06-19,2023-06-19,2023-06-19,1,"{""620000"": {""2023-06-19"": 49.0}}","{""620000"": {""2023-06-19"": 199.0}}",45
run_004,run_004_a003,contextual_peak,medium,point,161838000,"[""161838000""]",2023-07-08,2023-07-08,2023-07-08,1,"{""161838000"": {""2023-07-08"": 0.0}}","{""161838000"": {""2023-07-08"": 6.0}}",45
run_004,run_004_a004,contextual_peak,strong,point,330387000,"[""330387000""]",2023-04-15,2023-04-15,2023-04-15,1,"{""330387000"": {""2023-04-15"": 0.0}}","{""330387000"": {""2023-04-15"": 21.0}}",45
run_004,run_004_a005,drop_to_zero,medium,segment,161838000,"[""161838000""]",2023-06-05,2023-06-07,2023-06-05,3,"{""161838000"": {""2023-06-05"": 1.0, ""2023-06-06"": 2.0, ""2023-06-07"": 3.0}}","{""161838000"": {""2023-06-05"": 0.0, ""2023-06-06"": 0.0, ""2023-06-07"": 0.0}}",45
run_004,run_004_a006,drop_to_zero,strong,segment,13400000,"[""13400000""]",2023-06-26,2023-06-30,2023-06-26,5,"{""13400000"": {""2023-06-26"": 22.0, ""2023-06-27"": 45.0, ""2023-06-28"": 23.0, ""2023-06-29"": 47.0, ""2023-06-30"": 26.0}}","{""13400000"": {""2023-06-26"": 0.0, ""2023-06-27"": 0.0, ""2023-06-28"": 0.0, ""2023-06-29"": 0.0, ""2023-06-30"": 0.0}}",45
run_004,run_004_a007,activity_block,medium,segment,161835000,"[""161835000""]",2023-08-14,2023-08-18,2023-08-14,5,"{""161835000"": {""2023-08-14"": 2.0, ""2023-08-15"": 2.0, ""2023-08-16"": 1.0, ""2023-08-17"": 2.0, ""2023-08-18"": 4.0}}","{""161835000"": {""2023-08-14"": 7.0, ""2023-08-15"": 7.0, ""2023-08-16"": 7.0, ""2023-08-17"": 7.0, ""2023-08-18"": 7.0}}",45
run_004,run_004_a008,activity_block,strong,segment,161832000,"[""161832000""]",2023-03-02,2023-03-08,2023-03-02,7,"{""161832000"": {""2023-03-02"": 16.0, ""2023-03-03"": 11.0, ""2023-03-04"": 0.0, ""2023-03-05"": 0.0, ""2023-03-06"": 11.0, ""2023-03-07"": 10.0, ""2023-03-08"": 12.0}}","{""161832000"": {""2023-03-02"": 32.0, ""2023-03-03"": 22.0, ""2023-03-04"": 22.0, ""2023-03-05"": 22.0, ""2023-03-06"": 22.0, ""2023-03-07"": 22.0, ""2023-03-08"": 24.0}}",45
run_004,run_004_a009,multivariate_group_peak,medium,multivariate_point,,"[""13400000"", ""13401000"", ""161832000"", ""161835000"", ""330387000""]",2023-01-29,2023-01-29,2023-01-29,1,"{""13400000"": {""2023-01-29"": 0.0}, ""13401000"": {""2023-01-29"": 0.0}, ""161832000"": {""2023-01-29"": 0.0}, ""161835000"": {""2023-01-29"": 0.0}, ""330387000"": {""2023-01-29"": 0.0}}","{""13400000"": {""2023-01-29"": 154.0}, ""13401000"": {""2023-01-29"": 28.0}, ""161832000"": {""2023-01-29"": 56.0}, ""161835000"": {""2023-01-29"": 14.0}, ""330387000"": {""2023-01-29"": 77.0}}",45
run_004,run_004_a010,multivariate_group_peak,strong,multivariate_point,,"[""13400000"", ""161835000"", ""2968000""]",2023-01-21,2023-01-21,2023-01-21,1,"{""13400000"": {""2023-01-21"": 0.0}, ""161835000"": {""2023-01-21"": 0.0}, ""2968000"": {""2023-01-21"": 0.0}}","{""13400000"": {""2023-01-21"": 198.0}, ""161835000"": {""2023-01-21"": 18.0}, ""2968000"": {""2023-01-21"": 42.0}}",45
