date,data,cols
2022-11-01,30,13400000
2022-11-01,12,13401000
2022-11-01,10,161832000
2022-11-01,6,161835000
2022-11-01,0,161836000
2022-11-01,0,161838000
2022-11-01,0,2968000
2022-11-01,2,3296000
2022-11-01,12,330387000
2022-11-01,45,620000
2022-11-01,53,633000
2022-11-02,32,13400000
2022-11-02,9,13401000
2022-11-02,7,161832000
2022-11-02,2,161835000
2022-11-02,0,161836000
2022-11-02,0,161838000
2022-11-02,0,2968000
2022-11-02,2,3296000
2022-11-02,11,330387000
2022-11-02,59,620000
2022-11-02,42,633000
2022-11-03,47,13400000
2022-11-03,5,13401000
2022-11-03,21,161832000
2022-11-03,7,161835000
2022-11-03,4,161836000
2022-11-03,4,161838000
2022-11-03,0,2968000
2022-11-03,5,3296000
2022-11-03,28,330387000
2022-11-03,98,620000
2022-11-03,102,633000
2022-11-04,11,13400000
2022-11-04,2,13401000
2022-11-04,4,161832000
2022-11-04,1,161835000
2022-11-04,1,161836000
2022-11-04,1,161838000
2022-11-04,0,2968000
2022-11-04,1,3296000
2022-11-04,8,330387000
2022-11-04,43,620000
2022-11-04,38,633000
2022-11-05,0,13400000
2022-11-05,0,13401000
2022-11-05,0,161832000
2022-11-05,0,161835000
2022-11-05,0,161836000
2022-11-05,0,161838000
2022-11-05,0,2968000
2022-11-05,0,3296000
2022-11-05,0,330387000
2022-11-05,19,620000
2022-11-05,0,633000
2022-11-06,0,13400000
2022-11-06,0,13401000
2022-11-06,0,161832000
2022-11-06,0,161835000
2022-11-06,0,161836000
2022-11-06,0,161838000
2022-11-06,0,2968000
2022-11-06,0,3296000
2022-11-06,0,330387000
2022-11-06,18,620000
2022-11-06,0,633000
2022-11-07,0,13400000
2022-11-07,0,13401000
2022-11-07,0,161832000
2022-11-07,0,161835000
2022-11-07,0,161836000
2022-11-07,0,161838000
2022-11-07,0,2968000
2022-11-07,0,3296000
2022-11-07,0,330387000
2022-11-07,39,620000
2022-11-07,0,633000
2022-11-08,42,13400000
2022-11-08,5,13401000
2022-11-08,18,161832000
2022-11-08,4,161835000
2022-11-08,4,161836000
2022-11-08,4,161838000
2022-11-08,0,2968000
2022-11-08,8,3296000
2022-11-08,34,330387000
2022-11-08,88,620000
2022-11-08,104,633000
2022-11-09,32,13400000
2022-11-09,7,13401000
2022-11-09,14,161832000
2022-11-09,4,161835000
2022-11-09,4,161836000
2022-11-09,4,161838000
2022-11-09,0,2968000
2022-11-09,9,3296000
2022-11-09,20,330387000
2022-11-09,79,620000
2022-11-09,116,633000
2022-11-10,37,13400000
2022-11-10,6,13401000
2022-11-10,12,161832000
2022-11-10,5,161835000
2022-11-10,3,161836000
2022-11-10,2,161838000
2022-11-10,1,2968000
2022-11-10,9,3296000
2022-11-10,15,330387000
2022-11-10,57,620000
2022-11-10,77,633000
2022-11-11,42,13400000
2022-11-11,8,13401000
2022-11-11,22,161832000
2022-11-11,4,161835000
2022-11-11,4,161836000
2022-11-11,4,161838000
2022-11-11,0,2968000
2022-11-11,11,3296000
2022-11-11,24,330387000
2022-11-11,76,620000
2022-11-11,104,633000
2022-11-12,0,13400000
2022-11-12,0,13401000
2022-11-12,0,161832000
2022-11-12,0,161835000
2022-11-12,0,161836000
2022-11-12,0,161838000
2022-11-12,0,2968000
2022-11-12,0,3296000
2022-11-12,0,330387000
2022-11-12,18,620000
2022-11-12,0,633000
2022-11-13,0,13400000
2022-11-13,0,13401000
2022-11-13,0,161832000
2022-11-13,0,161835000
2022-11-13,0,161836000
2022-11-13,0,161838000
2022-11-13,0,2968000
2022-11-13,0,3296000
2022-11-13,0,330387000
