consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
1,541,2024-04-25,0.9993431855500822,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,9,541,0.9501659140667762,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,1.0
3,538,2024-04-22,0.9880832649151614,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,3.0,2,538,0.9883449644225506,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0
4,531,2024-04-15,0.9875667077175698,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0,6,531,0.9701679666119322,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0
5,486,2024-03-01,0.9827346743295019,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0,17,486,0.8972769567597154,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;isolation_forest,16.0
8,499,2024-03-14,0.9737257115489873,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0,14,499,0.9076713875205253,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,28.0
9,117,2023-02-26,0.9716150109469076,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,13.0,4,117,0.979286398467433,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0
11,370,2023-11-06,0.9680401614668857,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,10.0,7,370,0.9684711959496444,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,9.0
12,513,2024-03-28,0.9580476874657909,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,4.0,40,513,0.8163348385331144,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,4.0
13,561,2024-05-15,0.9575106048166393,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,13.0,21,561,0.8665212780514505,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,38.0
14,580,2024-06-03,0.9512862616310892,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,20.0,3,580,0.9824849480021894,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
16,330,2023-09-27,0.944911398467433,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,6.0,8,330,0.9650383141762452,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,3.0
17,314,2023-09-11,0.9383415435139574,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,22.0,24,314,0.8561525041050903,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,18.0
19,539,2024-04-23,0.9347564313081556,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,2.0,11,539,0.9301758347016967,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,6.0
21,153,2023-04-03,0.9327671729611385,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,21.0,13,153,0.9125359195402298,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,7.0
30,364,2023-10-31,0.9151990968801312,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,34.0,41,364,0.8111059797482211,5,0,dp;zms;units;isolation_forest;calf,,1,units,28.0
31,321,2023-09-18,0.913746921182266,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,23.0,20,321,0.8786945812807883,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,22.0
36,573,2024-05-27,0.9073104816639299,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,27.0,27,573,0.8460180623973728,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,11.0
38,596,2024-06-19,0.9036672140120415,3,2,dp;zms;isolation_forest,units;calf,1,zms,48.0,1,596,0.9939792008757525,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,3.0
39,100,2023-02-09,0.8993722632731254,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,31.0,37,100,0.821743295019157,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,41.0
41,154,2023-04-04,0.8873956622879037,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,41.0,42,154,0.8092398741105636,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,19.0
42,559,2024-05-13,0.884753010399562,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,38.0,43,559,0.8089542282430214,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,14.0
43,356,2023-10-23,0.8753762999452654,5,0,dp;zms;units;isolation_forest;calf,,1,zms,49.0,15,356,0.9074781061850027,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,34.0
45,519,2024-04-03,0.873742816091954,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,32.0,48,519,0.7939552545155992,5,0,dp;zms;units;isolation_forest;calf,,1,units,23.0
47,588,2024-06-11,0.873015873015873,3,2,dp;zms;isolation_forest,units;calf,1,zms,36.0,5,588,0.9709906951286262,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,13.0
50,279,2023-08-07,0.862722359058566,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,34.0,25,279,0.8555093732895458,5,0,dp;zms;units;isolation_forest;calf,,1,units,31.0
