consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,541,2024-04-25,0.9993431855500822,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
2,584,2024-06-07,0.9885057471264368,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
3,538,2024-04-22,0.9880832649151614,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,3.0
4,531,2024-04-15,0.9875667077175698,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0
5,486,2024-03-01,0.9827346743295019,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0
6,471,2024-02-15,0.9761288998357964,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,6.0
7,527,2024-04-11,0.9746442255062944,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,3.0
8,499,2024-03-14,0.9737257115489873,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0
9,117,2023-02-26,0.9716150109469076,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,13.0
10,563,2024-05-17,0.9705921592775042,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,10.0
11,370,2023-11-06,0.9680401614668857,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,10.0
12,513,2024-03-28,0.9580476874657909,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,4.0
13,561,2024-05-15,0.9575106048166393,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,13.0
14,580,2024-06-03,0.9512862616310892,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,20.0
15,472,2024-02-16,0.9486983442802408,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,15.0
16,330,2023-09-27,0.944911398467433,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,6.0
17,314,2023-09-11,0.9383415435139574,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,22.0
18,540,2024-04-24,0.9365951696770661,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;isolation_forest,2.0
19,539,2024-04-23,0.9347564313081556,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,2.0
20,86,2023-01-26,0.9340397509578544,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,11.0
21,153,2023-04-03,0.9327671729611385,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,21.0
22,500,2024-03-15,0.9278564586754243,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,17.0
23,577,2024-05-31,0.926655719759168,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,21.0
24,562,2024-05-16,0.925297619047619,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,5.0
25,532,2024-04-16,0.9238899151614669,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;isolation_forest,3.0
26,469,2024-02-13,0.9183172550629447,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,19.0
27,505,2024-03-20,0.9172670361247948,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,16.0
28,528,2024-04-12,0.9165606185002737,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,6.0
29,387,2023-11-23,0.9152025177887246,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,24.0
30,364,2023-10-31,0.9151990968801312,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,34.0
31,321,2023-09-18,0.913746921182266,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,23.0
32,184,2023-05-04,0.9127428845101259,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,15.0
33,388,2023-11-24,0.9106681034482758,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,19.0
34,367,2023-11-03,0.9102644362342639,5,0,dp;zms;units;isolation_forest;calf,,2,zms;calf,33.0
35,276,2023-08-04,0.908521483305966,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,22.0
36,573,2024-05-27,0.9073104816639299,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,27.0
37,581,2024-06-04,0.9058565955117679,3,2,dp;zms;isolation_forest,units;calf,1,isolation_forest,31.0
38,596,2024-06-19,0.9036672140120415,3,2,dp;zms;isolation_forest,units;calf,1,zms,48.0
39,100,2023-02-09,0.8993722632731254,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,31.0
40,542,2024-04-26,0.8972478790366722,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;isolation_forest,2.0
41,154,2023-04-04,0.8873956622879037,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,41.0
42,559,2024-05-13,0.884753010399562,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,38.0
43,356,2023-10-23,0.8753762999452654,5,0,dp;zms;units;isolation_forest;calf,,1,zms,49.0
44,337,2023-10-04,0.8737804460864806,5,0,dp;zms;units;isolation_forest;calf,,2,zms;calf,25.0
