consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,562,2024-05-16,0.9850386562671044,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0
2,561,2024-05-15,0.9807021756978653,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0
3,563,2024-05-17,0.9759824165298303,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0
4,576,2024-05-30,0.9706876026272578,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,7.0
5,575,2024-05-29,0.957674192665572,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;itrans;ocsvm,4.0
6,531,2024-04-15,0.9551298576902024,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,2.0
7,573,2024-05-27,0.953863711001642,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;itrans;ocsvm,3.0
8,566,2024-05-20,0.9518262862616311,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;ocsvm,1.0
9,513,2024-03-28,0.9398916256157636,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
10,521,2024-04-05,0.9389478653530376,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,5.0
11,574,2024-05-28,0.9105431718664476,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;ocsvm,2.0
12,596,2024-06-19,0.9009010673234811,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,9.0
13,535,2024-04-19,0.893153735632184,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,21.0
14,602,2024-06-25,0.8875205254515599,3,2,kmeans;dwt;ocsvm,calf;itrans,1,kmeans,28.0
15,528,2024-04-12,0.8726849343185549,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,9.0
