variant,customer,anomaly_type,consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
raw,620000,global_point,1,584,2024-06-07,0.9994444444444444,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,1.0
raw,620000,global_point,2,531,2024-04-15,0.9976666666666667,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0
raw,620000,global_point,3,580,2024-06-03,0.9911111111111112,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,2.0
raw,620000,global_point,4,527,2024-04-11,0.9723194444444445,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,2.0
raw,620000,global_point,5,175,2023-04-25,0.9657777777777777,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,3.0
raw,620000,global_point,6,364,2023-10-31,0.9631527777777779,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,5.0
raw,620000,global_point,7,563,2024-05-17,0.9586666666666668,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,11.0
raw,620000,global_point,8,97,2023-02-06,0.9569027777777777,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,7.0
raw,620000,global_point,9,184,2023-05-04,0.9498888888888889,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,6.0
raw,620000,global_point,10,358,2023-10-25,0.9409444444444445,5,0,itrans;calf;units;datamole;gpt4ts,,4,calf;units;datamole;gpt4ts,11.0
raw,620000,global_point,11,379,2023-11-15,0.9337777777777777,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,13.0
raw,620000,global_point,12,391,2023-11-27,0.9327222222222222,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,11.0
raw,620000,global_point,13,338,2023-10-05,0.9209861111111112,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,9.0
raw,620000,global_point,14,153,2023-04-03,0.9171250000000001,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,4.0
raw,620000,global_point,15,387,2023-11-23,0.9027083333333333,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;gpt4ts,4.0
raw,620000,global_point,16,521,2024-04-05,0.9019027777777777,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,3.0
raw,620000,global_point,17,122,2023-03-03,0.8974305555555556,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,16.0
raw,620000,global_point,18,582,2024-06-05,0.8894444444444445,3,2,itrans;datamole;gpt4ts,calf;units,2,datamole;gpt4ts,3.0
raw,620000,global_point,19,29,2022-11-30,0.8772638888888888,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,16.0
raw,620000,global_point,20,489,2024-03-04,0.8708888888888889,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,19.0
raw,620000,global_point,21,402,2023-12-08,0.8615833333333335,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,6.0
raw,620000,global_point,22,561,2024-05-15,0.8588888888888888,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,14.0
raw,620000,global_point,23,461,2024-02-05,0.8585277777777776,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,13.0
raw,620000,global_point,24,2,2022-11-03,0.8404583333333333,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,26.0
raw,620000,global_point,25,356,2023-10-23,0.8328194444444446,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
raw,620000,global_point,26,85,2023-01-25,0.8299305555555556,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,5.0
raw,620000,global_point,27,55,2022-12-26,0.8210138888888888,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,3.0
raw,620000,global_point,28,583,2024-06-06,0.8177777777777777,3,2,itrans;datamole;gpt4ts,calf;units,1,datamole,7.0
raw,620000,global_point,29,148,2023-03-29,0.8175138888888889,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
raw,620000,global_point,30,541,2024-04-25,0.8169027777777778,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,7.0
raw,620000,global_point,31,170,2023-04-20,0.8024166666666666,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,32.0
raw,620000,global_point,32,7,2022-11-08,0.8014861111111111,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,30.0
raw,620000,global_point,33,260,2023-07-19,0.8013194444444445,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,34.0
raw,620000,global_point,34,111,2023-02-20,0.7850833333333334,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,50.0
raw,620000,global_point,35,482,2024-02-26,0.7840277777777778,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,22.0
raw,620000,global_point,36,493,2024-03-08,0.784,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,47.0
raw,620000,global_point,37,532,2024-04-16,0.7801944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,8.0
raw,620000,global_point,38,355,2023-10-22,0.7758888888888889,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,17.0
raw,620000,global_point,39,357,2023-10-24,0.7718333333333333,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,40.0
raw,620000,global_point,40,550,2024-05-04,0.7706666666666666,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;datamole,23.0
raw,620000,global_point,41,34,2022-12-05,0.7688888888888888,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
raw,620000,global_point,42,171,2023-04-21,0.7660138888888889,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,22.0
raw,620000,global_point,43,295,2023-08-23,0.7573194444444444,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,38.0
raw,620000,global_point,44,10,2022-11-11,0.7567777777777779,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,44.0
raw,620000,global_point,45,538,2024-04-22,0.7552361111111111,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,14.0
raw,620000,global_point,46,597,2024-06-20,0.7544444444444446,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,41.0
raw,620000,global_point,47,83,2023-01-23,0.7482083333333334,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,7.0
raw,620000,global_point,48,537,2024-04-21,0.7444861111111111,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;units,12.0
raw,620000,global_point,49,386,2023-11-22,0.7441388888888889,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,27.0
raw,620000,global_point,50,478,2024-02-22,0.7433194444444444,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
raw,620000,contextual_point,1,531,2024-04-15,0.9977011494252874,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
raw,620000,contextual_point,2,584,2024-06-07,0.9967159277504104,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
raw,620000,contextual_point,3,580,2024-06-03,0.9939792008757525,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,3.0
raw,620000,contextual_point,4,364,2023-10-31,0.9823498221127531,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0
raw,620000,contextual_point,5,97,2023-02-06,0.9757714148877941,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0
raw,620000,contextual_point,6,391,2023-11-27,0.9717090859332238,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,11.0
raw,620000,contextual_point,7,175,2023-04-25,0.9708812260536398,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,5.0
raw,620000,contextual_point,8,527,2024-04-11,0.9605312671045428,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,2.0
raw,620000,contextual_point,9,379,2023-11-15,0.9565544608648058,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,12.0
raw,620000,contextual_point,10,581,2024-06-04,0.9507389162561576,3,2,dp;zms;isolation_forest,units;calf,2,dp;isolation_forest,5.0
raw,620000,contextual_point,11,561,2024-05-15,0.9411877394636015,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,15.0
raw,620000,contextual_point,12,153,2023-04-03,0.9391266420361248,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,4.0
raw,620000,contextual_point,13,55,2022-12-26,0.9362257115489874,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,3.0
raw,620000,contextual_point,14,85,2023-01-25,0.935702312534209,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,5.0
raw,620000,contextual_point,15,489,2024-03-04,0.9355637657361795,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,19.0
raw,620000,contextual_point,16,184,2023-05-04,0.9311302681992337,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,10.0
raw,620000,contextual_point,17,461,2024-02-05,0.9257970717022441,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,13.0
raw,620000,contextual_point,18,532,2024-04-16,0.9159448549534757,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;isolation_forest,3.0
raw,620000,contextual_point,19,538,2024-04-22,0.9069290503557745,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,14.0
raw,620000,contextual_point,20,356,2023-10-23,0.9020542556102902,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,28.0
raw,620000,contextual_point,21,111,2023-02-20,0.8945299671592775,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,26.0
