variant,customer,anomaly_type,method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
raw,620000,global_point,itrans,1,531,2024-04-15,30.93534278869629,1.0,0.9976666666666667,2,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,2,584,2024-06-07,25.738332748413086,0.9983333333333333,0.9994444444444444,1,3,2,itrans;datamole;gpt4ts,calf;units
raw,620000,global_point,itrans,3,175,2023-04-25,18.81916046142578,0.9966666666666667,0.9657777777777777,5,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,4,527,2024-04-11,17.835296630859375,0.995,0.9723194444444445,4,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,5,580,2024-06-03,16.21951675415039,0.9933333333333333,0.9911111111111112,3,3,2,itrans;datamole;gpt4ts,calf;units
raw,620000,global_point,itrans,6,184,2023-05-04,10.052188873291016,0.9916666666666667,0.9498888888888889,9,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,7,520,2024-04-04,8.200485229492188,0.99,0.7394305555555555,54,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,8,97,2023-02-06,8.092129707336426,0.9883333333333333,0.9569027777777777,8,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,9,559,2024-05-13,7.1334333419799805,0.9866666666666667,0.5522638888888889,205,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,10,55,2022-12-26,6.986683368682861,0.985,0.8210138888888888,27,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,11,563,2024-05-17,6.923739433288574,0.9833333333333333,0.9586666666666668,7,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,12,31,2022-12-02,6.674598693847656,0.9816666666666667,0.6699166666666667,85,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,13,517,2024-04-01,6.548600673675537,0.98,0.646361111111111,103,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,14,338,2023-10-05,6.258316516876221,0.9783333333333334,0.9209861111111112,13,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,15,501,2024-03-16,5.936239719390869,0.9766666666666667,0.6854722222222221,76,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,16,29,2022-11-30,5.822498321533203,0.975,0.8772638888888888,19,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,17,387,2023-11-23,5.8145856857299805,0.9733333333333334,0.9027083333333333,15,5,0,itrans;calf;units;datamole;gpt4ts,
