consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,584,2024-06-07,0.985632183908046,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0
2,541,2024-04-25,0.9796338259441708,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,1.0
3,580,2024-06-03,0.9781876026272578,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0
4,562,2024-05-16,0.9775684181718665,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,1.0
5,538,2024-04-22,0.9730419403393542,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
6,539,2024-04-23,0.9730181992337166,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
7,531,2024-04-15,0.9703672003284071,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
8,527,2024-04-11,0.9627663519430761,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,2.0
9,513,2024-03-28,0.9574880952380953,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
10,563,2024-05-17,0.9568718527640941,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,12.0
11,499,2024-03-14,0.9541802818828682,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,4.0
12,561,2024-05-15,0.9536540777230431,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;knn;kmeans,9.0
13,582,2024-06-05,0.9526498357963875,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,20.0
14,577,2024-05-31,0.9522454844006569,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,22.0
15,528,2024-04-12,0.9519921319102354,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,9.0
16,486,2024-03-01,0.9498635057471265,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
17,581,2024-06-04,0.9403037766830871,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;dagmm;kmeans,19.0
18,596,2024-06-19,0.9373501642036125,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;knn;kmeans,13.0
19,521,2024-04-05,0.9349328817733988,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,16.0
20,588,2024-06-11,0.9333435960591134,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;dagmm;knn,16.0
21,471,2024-02-15,0.933028735632184,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,13.0
22,583,2024-06-06,0.9246366995073891,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;dagmm;kmeans,28.0
23,520,2024-04-04,0.9212245484400656,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,32.0
24,526,2024-04-10,0.9210032156540778,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;dagmm,25.0
25,364,2023-10-31,0.9169228927203065,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,8.0
26,559,2024-05-13,0.9130812123700055,5,0,catch;tsnet;dagmm;knn;kmeans,,3,tsnet;dagmm;kmeans,15.0
27,573,2024-05-27,0.9021612616310893,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,29.0
28,570,2024-05-24,0.9013280651340996,5,0,catch;tsnet;dagmm;knn;kmeans,,1,dagmm,36.0
29,500,2024-03-15,0.8992056650246305,5,0,catch;tsnet;dagmm;knn;kmeans,,2,tsnet;knn,31.0
30,370,2023-11-06,0.8985617131910235,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,27.0
31,387,2023-11-23,0.8957498631636561,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,16.0
