customer,anomaly_type,top_k,raw_count,log1p_count,intersection,union,jaccard
620000,contextual_point,50,50,50,21,79,0.26582278481012656
620000,global_point,50,50,50,8,92,0.08695652173913043
620000,subsequence_pattern,50,50,50,15,85,0.17647058823529413
633000,contextual_point,50,50,50,26,74,0.35135135135135137
633000,global_point,50,50,50,14,86,0.16279069767441862
633000,subsequence_pattern,50,50,50,12,88,0.13636363636363635
2968000,contextual_point,50,50,50,22,78,0.28205128205128205
2968000,global_point,50,50,50,8,92,0.08695652173913043
2968000,subsequence_pattern,50,50,50,22,78,0.28205128205128205
3296000,contextual_point,50,50,50,29,71,0.4084507042253521
3296000,global_point,50,50,50,20,80,0.25
3296000,subsequence_pattern,50,50,50,19,81,0.2345679012345679
13400000,contextual_point,50,50,50,24,76,0.3157894736842105
13400000,global_point,50,50,50,5,95,0.05263157894736842
13400000,subsequence_pattern,50,50,50,20,80,0.25
13401000,contextual_point,50,50,50,23,77,0.2987012987012987
13401000,global_point,50,50,50,14,86,0.16279069767441862
13401000,subsequence_pattern,50,50,50,24,76,0.3157894736842105
161832000,contextual_point,50,50,50,30,70,0.42857142857142855
161832000,global_point,50,50,50,19,81,0.2345679012345679
161832000,subsequence_pattern,50,50,50,21,79,0.26582278481012656
161835000,contextual_point,50,50,50,31,69,0.4492753623188406
161835000,global_point,50,50,50,25,75,0.3333333333333333
161835000,subsequence_pattern,50,50,50,28,72,0.3888888888888889
161836000,contextual_point,50,50,50,28,72,0.3888888888888889
161836000,global_point,50,50,50,23,77,0.2987012987012987
161836000,subsequence_pattern,50,50,50,26,74,0.35135135135135137
161838000,contextual_point,50,50,50,33,67,0.4925373134328358
161838000,global_point,50,50,50,22,78,0.28205128205128205
161838000,subsequence_pattern,50,50,50,27,73,0.3698630136986301
330387000,contextual_point,50,50,50,26,74,0.35135135135135137
330387000,global_point,50,50,50,20,80,0.25
330387000,subsequence_pattern,50,50,50,23,77,0.2987012987012987
