method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
itrans,1,401,2023-12-07,7.063331604003906,1.0,0.5349027777777777,244,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,2,176,2023-04-26,7.057638645172119,0.9983333333333333,0.5079166666666668,284,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,3,184,2023-05-04,6.850138187408447,0.9966666666666667,0.7799305555555555,28,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,4,493,2024-03-08,5.695001602172852,0.995,0.8093194444444445,18,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,5,175,2023-04-25,5.346611022949219,0.9933333333333333,0.4655277777777778,335,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,6,301,2023-08-29,5.257108688354492,0.9916666666666667,0.9169444444444445,2,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,7,501,2024-03-16,4.793400287628174,0.99,0.6528055555555555,112,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,8,157,2023-04-07,4.681424617767334,0.9883333333333333,0.6277916666666667,142,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,9,167,2023-04-17,4.659094333648682,0.9866666666666667,0.5846666666666666,196,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,10,531,2024-04-15,4.655093193054199,0.985,0.877611111111111,7,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,11,513,2024-03-28,4.381788730621338,0.9833333333333333,0.6458611111111111,121,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,12,289,2023-08-17,4.338070392608643,0.9816666666666667,0.8381527777777779,12,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,13,429,2024-01-04,4.014297008514404,0.98,0.7075555555555556,65,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,14,518,2024-04-02,3.9832239151000977,0.9783333333333334,0.7999444444444445,24,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,15,595,2024-06-18,3.9097259044647217,0.9766666666666667,0.8905555555555557,5,3,2,itrans;datamole;gpt4ts,calf;units
itrans,16,125,2023-03-06,3.714188814163208,0.975,0.5721944444444444,210,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,17,359,2023-10-26,3.6179492473602295,0.9733333333333334,0.44698611111111114,357,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,18,181,2023-05-01,3.5939626693725586,0.9716666666666667,0.6472083333333333,118,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,19,521,2024-04-05,3.480792999267578,0.97,0.6837083333333334,78,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,20,526,2024-04-10,3.43601655960083,0.9683333333333334,0.5961944444444445,175,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,21,423,2023-12-29,3.389197826385498,0.9666666666666667,0.7556388888888889,40,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,22,566,2024-05-20,3.3508524894714355,0.965,0.5829583333333334,199,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,23,442,2024-01-17,3.29569149017334,0.9633333333333334,0.7020694444444444,68,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,24,587,2024-06-10,3.2476816177368164,0.9616666666666667,0.735,53,3,2,itrans;datamole;gpt4ts,calf;units
itrans,25,284,2023-08-12,3.2285268306732178,0.96,0.730388888888889,54,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,26,149,2023-03-30,3.1953954696655273,0.9583333333333334,0.514625,274,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,27,310,2023-09-07,3.1226723194122314,0.9566666666666667,0.9494027777777779,1,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,28,458,2024-02-02,3.118338108062744,0.955,0.7411666666666666,50,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,29,376,2023-11-12,3.0925304889678955,0.9533333333333334,0.7404861111111111,51,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,30,122,2023-03-03,3.0103585720062256,0.9516666666666667,0.6946944444444445,71,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,31,580,2024-06-03,2.9367384910583496,0.95,0.6744444444444445,90,3,2,itrans;datamole;gpt4ts,calf;units
itrans,32,578,2024-06-01,2.9095993041992188,0.9483333333333334,0.6127777777777778,162,3,2,itrans;datamole;gpt4ts,calf;units
itrans,33,183,2023-05-03,2.8708667755126953,0.9466666666666667,0.6229166666666667,147,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,34,162,2023-04-12,2.8656442165374756,0.945,0.5644444444444444,218,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,35,304,2023-09-01,2.7876851558685303,0.9433333333333334,0.4529027777777778,348,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,36,550,2024-05-04,2.779930591583252,0.9416666666666667,0.7572500000000001,37,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,37,420,2023-12-26,2.712855100631714,0.94,0.8347222222222224,13,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,38,522,2024-04-06,2.7107160091400146,0.9383333333333334,0.7462222222222221,47,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,39,92,2023-02-01,2.6305220127105713,0.9366666666666666,0.6745555555555555,89,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,40,212,2023-06-01,2.6291825771331787,0.935,0.8859999999999999,6,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,41,471,2024-02-15,2.5674185752868652,0.9333333333333333,0.7229305555555556,57,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,42,551,2024-05-05,2.5599470138549805,0.9316666666666666,0.6640277777777778,99,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,43,517,2024-04-01,2.552661657333374,0.93,0.7283194444444445,55,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,44,323,2023-09-20,2.514496088027954,0.9283333333333333,0.6777361111111111,83,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,45,164,2023-04-14,2.507197380065918,0.9266666666666666,0.5265833333333332,261,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,46,569,2024-05-23,2.5070698261260986,0.925,0.8112916666666667,17,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,47,402,2023-12-08,2.495070457458496,0.9233333333333333,0.7697222222222223,33,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,48,426,2024-01-01,2.4341745376586914,0.9216666666666666,0.5907777777777777,184,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,49,379,2023-11-15,2.4237401485443115,0.92,0.6217083333333333,150,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,50,253,2023-07-12,2.378833293914795,0.9183333333333333,0.6129027777777779,161,5,0,itrans;calf;units;datamole;gpt4ts,
calf,1,569,2024-05-23,5.3517985343933105,1.0,0.8112916666666667,17,5,0,itrans;calf;units;datamole;gpt4ts,
calf,2,301,2023-08-29,4.786301612854004,0.9982638888888888,0.9169444444444445,2,5,0,itrans;calf;units;datamole;gpt4ts,
calf,3,568,2024-05-22,4.552211284637451,0.9965277777777778,0.6941666666666667,72,5,0,itrans;calf;units;datamole;gpt4ts,
calf,4,436,2024-01-11,4.296047687530518,0.9947916666666666,0.631875,139,5,0,itrans;calf;units;datamole;gpt4ts,
calf,5,190,2023-05-10,4.2390007972717285,0.9930555555555556,0.8678472222222222,9,5,0,itrans;calf;units;datamole;gpt4ts,
calf,6,517,2024-04-01,3.9171032905578613,0.9913194444444444,0.7283194444444445,55,5,0,itrans;calf;units;datamole;gpt4ts,
calf,7,570,2024-05-24,3.805312156677246,0.9895833333333334,0.7965555555555556,25,5,0,itrans;calf;units;datamole;gpt4ts,
calf,8,422,2023-12-28,3.7341227531433105,0.9878472222222222,0.6737777777777778,91,5,0,itrans;calf;units;datamole;gpt4ts,
calf,9,448,2024-01-23,3.694585084915161,0.9861111111111112,0.5656805555555555,216,5,0,itrans;calf;units;datamole;gpt4ts,
calf,10,522,2024-04-06,3.4850523471832275,0.984375,0.7462222222222221,47,5,0,itrans;calf;units;datamole;gpt4ts,
calf,11,153,2023-04-03,3.4383625984191895,0.9826388888888888,0.8257361111111111,15,5,0,itrans;calf;units;datamole;gpt4ts,
calf,12,443,2024-01-18,3.4374923706054688,0.9809027777777778,0.4913888888888889,310,5,0,itrans;calf;units;datamole;gpt4ts,
calf,13,435,2024-01-10,3.3536720275878906,0.9791666666666666,0.6755694444444444,88,5,0,itrans;calf;units;datamole;gpt4ts,
calf,14,493,2024-03-08,3.3030436038970947,0.9774305555555556,0.8093194444444445,18,5,0,itrans;calf;units;datamole;gpt4ts,
calf,15,518,2024-04-02,3.3008830547332764,0.9756944444444444,0.7999444444444445,24,5,0,itrans;calf;units;datamole;gpt4ts,
calf,16,402,2023-12-08,3.2178895473480225,0.9739583333333334,0.7697222222222223,33,5,0,itrans;calf;units;datamole;gpt4ts,
calf,17,542,2024-04-26,3.052399158477783,0.9722222222222222,0.6499027777777778,115,5,0,itrans;calf;units;datamole;gpt4ts,
calf,18,531,2024-04-15,2.991877555847168,0.9704861111111112,0.877611111111111,7,5,0,itrans;calf;units;datamole;gpt4ts,
