consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,596,2024-06-19,0.9852216748768473,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,6.0
2,314,2023-09-11,0.9800116310892173,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,1.0
3,279,2023-08-07,0.9655702654625067,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,4.0
4,100,2023-02-09,0.964792008757526,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,12.0
5,356,2023-10-23,0.9644636015325669,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0
6,587,2024-06-10,0.9589490968801314,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,16.0
7,502,2024-03-17,0.9563235495347564,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,1.0
8,153,2023-04-03,0.9549038724685277,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,7.0
9,580,2024-06-03,0.9545703338806787,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,6.0
10,22,2022-11-23,0.9472615626710456,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,5.0
11,538,2024-04-22,0.943320675971538,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,3.0
12,342,2023-10-09,0.9370108100711547,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,20.0
13,461,2024-02-05,0.911304392446634,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,11.0
14,573,2024-05-27,0.8851703612479473,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,10.0
15,531,2024-04-15,0.884874452654625,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,2.0
16,486,2024-03-01,0.8779813218390805,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,3.0
17,561,2024-05-15,0.8626659140667761,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,35.0
18,489,2024-03-04,0.8625889436234264,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,23.0
19,188,2023-05-08,0.8597957717569787,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,14.0
20,265,2023-07-24,0.8593510536398468,5,0,dp;zms;units;isolation_forest;calf,,1,zms,37.0
21,514,2024-03-29,0.8483305966064588,5,0,dp;zms;units;isolation_forest;calf,,4,dp;units;isolation_forest;calf,2.0
22,524,2024-04-08,0.8459034619594965,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,21.0
23,293,2023-08-21,0.8431376573617954,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,10.0
24,202,2023-05-22,0.8424551860974274,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,17.0
25,384,2023-11-20,0.8381636562671047,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,14.0
26,184,2023-05-04,0.8366191160372194,5,0,dp;zms;units;isolation_forest;calf,,0,,
27,276,2023-08-04,0.8227268062397373,5,0,dp;zms;units;isolation_forest;calf,,1,zms,41.0
28,328,2023-09-25,0.8215551450465244,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,27.0
29,594,2024-06-17,0.8166392993979201,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,30.0
30,519,2024-04-03,0.8151272577996715,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,14.0
31,311,2023-09-08,0.8143079501915708,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;isolation_forest,6.0
32,387,2023-11-23,0.8108630952380953,5,0,dp;zms;units;isolation_forest;calf,,2,zms;calf,23.0
33,482,2024-02-26,0.8050201833607005,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,23.0
34,391,2023-11-27,0.8025280514504652,5,0,dp;zms;units;isolation_forest;calf,,1,zms,38.0
35,302,2023-08-30,0.7904898741105637,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,29.0
36,568,2024-05-22,0.7888238916256157,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;calf,9.0
37,562,2024-05-16,0.7825431034482758,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,42.0
38,301,2023-08-29,0.781123426382047,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,6.0
39,405,2023-12-11,0.7749589490968802,5,0,dp;zms;units;isolation_forest;calf,,0,,
40,191,2023-05-11,0.7698600848385332,5,0,dp;zms;units;isolation_forest;calf,,2,zms;isolation_forest,38.0
41,500,2024-03-15,0.7676655719759168,5,0,dp;zms;units;isolation_forest;calf,,1,zms,46.0
42,278,2023-08-06,0.7670600711548987,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,20.0
43,277,2023-08-05,0.7637674466338259,5,0,dp;zms;units;isolation_forest;calf,,1,calf,22.0
44,7,2022-11-08,0.7592775041050903,5,0,dp;zms;units;isolation_forest;calf,,1,zms,31.0
45,588,2024-06-11,0.7553366174055829,3,2,dp;zms;isolation_forest,units;calf,1,isolation_forest,49.0
46,566,2024-05-20,0.754604542966612,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,12.0
47,223,2023-06-12,0.7532276272577996,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,23.0
48,219,2023-06-08,0.7473282703886153,5,0,dp;zms;units;isolation_forest;calf,,1,calf,26.0
49,177,2023-04-27,0.747076833607006,5,0,dp;zms;units;isolation_forest;calf,,1,calf,44.0
50,218,2023-06-07,0.7460950328407225,5,0,dp;zms;units;isolation_forest;calf,,1,units,45.0
