consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,442,2024-01-17,0.8982247536945813,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
2,437,2024-01-12,0.8950920908593323,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
3,439,2024-01-14,0.8935419403393542,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
4,441,2024-01-16,0.8878963464696223,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
5,433,2024-01-08,0.8858685002736726,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
6,435,2024-01-10,0.8834272030651341,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
7,422,2023-12-28,0.8797496579091406,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,2.0
8,434,2024-01-09,0.8782148330596607,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
9,425,2023-12-31,0.8758706212370007,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0
10,432,2024-01-07,0.8756512041598249,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1.0
11,440,2024-01-15,0.8718882731253421,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1.0
12,509,2024-03-24,0.8703099343185551,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,19.0
13,436,2024-01-11,0.8691346469622332,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1.0
14,438,2024-01-13,0.854812534209086,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;ocsvm,1.0
15,418,2023-12-24,0.8545946223316913,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,5.0
16,429,2024-01-04,0.8492980979748221,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,5.0
17,421,2023-12-27,0.8449611384783798,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,5.0
18,420,2023-12-26,0.8321923234811166,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,5.0
19,419,2023-12-25,0.827915435139573,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,5.0
