method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
itrans,1,568,2024-05-22,21.16646957397461,1.0,0.8653472222222222,15,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,2,581,2024-06-04,19.413694381713867,0.9983333333333333,0.8294444444444444,27,3,2,itrans;datamole;gpt4ts,calf;units
itrans,3,584,2024-06-07,17.794681549072266,0.9966666666666667,0.7338888888888889,59,3,2,itrans;datamole;gpt4ts,calf;units
itrans,4,425,2023-12-31,17.50638198852539,0.995,0.8609583333333333,16,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,5,222,2023-06-11,13.068228721618652,0.9933333333333333,0.7641527777777777,46,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,6,517,2024-04-01,12.728720664978027,0.9916666666666667,0.697625,79,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,7,539,2024-04-23,12.527484893798828,0.99,0.8530972222222222,21,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,8,586,2024-06-09,11.99213981628418,0.9883333333333333,0.8533333333333334,20,3,2,itrans;datamole;gpt4ts,calf;units
itrans,9,541,2024-04-25,11.949591636657715,0.9866666666666667,0.9864444444444445,1,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,10,439,2024-01-14,11.81937026977539,0.985,0.4628333333333333,338,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,11,419,2023-12-25,11.383493423461914,0.9833333333333333,0.5197638888888888,273,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,12,518,2024-04-02,11.059135437011719,0.9816666666666667,0.7925138888888889,39,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,13,120,2023-03-01,11.034941673278809,0.98,0.657375,113,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,14,486,2024-03-01,10.555706024169922,0.9783333333333334,0.8894444444444444,10,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,15,582,2024-06-05,10.35762882232666,0.9766666666666667,0.8450000000000001,24,3,2,itrans;datamole;gpt4ts,calf;units
itrans,16,562,2024-05-16,10.141429901123047,0.975,0.9477222222222222,4,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,17,458,2024-02-02,9.856152534484863,0.9733333333333334,0.687125,83,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,18,538,2024-04-22,9.62977123260498,0.9716666666666667,0.9786250000000001,2,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,19,527,2024-04-11,9.619926452636719,0.97,0.858486111111111,17,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,20,525,2024-04-09,9.589947700500488,0.9683333333333334,0.7773333333333333,43,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,21,521,2024-04-05,9.528664588928223,0.9666666666666667,0.9101250000000001,7,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,22,84,2023-01-24,9.264240264892578,0.965,0.6229027777777777,141,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,23,422,2023-12-28,8.729446411132812,0.9633333333333334,0.5490972222222222,219,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,24,543,2024-04-27,8.496620178222656,0.9616666666666667,0.6456388888888889,123,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,25,531,2024-04-15,8.413737297058105,0.96,0.9676388888888889,3,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,26,430,2024-01-05,8.256908416748047,0.9583333333333334,0.5401944444444445,243,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,27,229,2023-06-18,8.210114479064941,0.9566666666666667,0.6652083333333334,107,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,28,351,2023-10-18,8.156387329101562,0.955,0.6901527777777777,82,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,29,418,2023-12-24,8.076539993286133,0.9533333333333334,0.48656944444444444,313,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,30,85,2023-01-25,8.005672454833984,0.9516666666666667,0.6179583333333334,145,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,31,171,2023-04-21,7.768063545227051,0.95,0.8561388888888889,18,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,32,119,2023-02-28,7.676524639129639,0.9483333333333334,0.6413055555555556,129,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,33,547,2024-05-01,7.4948811531066895,0.9466666666666667,0.8205972222222222,32,5,0,itrans;calf;units;datamole;gpt4ts,
