consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,254,2023-07-13,0.9924090038314176,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
2,531,2024-04-15,0.9914237821565408,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
3,513,2024-03-28,0.9904385604816639,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0
4,584,2024-06-07,0.9896004378762999,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
5,538,2024-04-22,0.9866841133004925,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,3.0
6,580,2024-06-03,0.9742747673782156,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,9.0
7,596,2024-06-19,0.9737274220032841,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,13.0
8,541,2024-04-25,0.9680675287356321,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,8.0
9,503,2024-03-18,0.9660782703886153,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,11.0
10,562,2024-05-16,0.9623631636562671,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,7.0
11,153,2023-04-03,0.958244389709907,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,9.0
12,364,2023-10-31,0.9486436097427478,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,22.0
13,563,2024-05-17,0.9450054734537494,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,4.0
14,519,2024-04-03,0.9438389436234264,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,13.0
15,573,2024-05-27,0.9435567186644773,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,16.0
16,561,2024-05-15,0.9415571975916803,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,12.0
17,184,2023-05-04,0.9311952654625069,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,20.0
18,345,2023-10-12,0.9300133415435139,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,22.0
19,588,2024-06-11,0.9299397920087576,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,21.0
20,55,2022-12-26,0.9260382457580733,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,21.0
21,486,2024-03-01,0.9254635331143952,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,16.0
22,343,2023-10-10,0.9234109879584018,5,0,dp;zms;units;isolation_forest;calf,,2,zms;units,25.0
23,587,2024-06-10,0.921455938697318,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,39.0
24,265,2023-07-24,0.9193777367268746,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,31.0
25,356,2023-10-23,0.9192220853858786,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,35.0
26,532,2024-04-16,0.916589696223317,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,4.0
27,540,2024-04-24,0.9135570607553367,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;isolation_forest,9.0
28,566,2024-05-20,0.9126556513409962,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,24.0
29,597,2024-06-20,0.9088669950738916,3,2,dp;zms;isolation_forest,units;calf,2,dp;isolation_forest,20.0
30,581,2024-06-04,0.9077723043240286,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,22.0
31,323,2023-09-20,0.8998426382047071,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,14.0
32,520,2024-04-04,0.8950670498084291,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,12.0
33,482,2024-02-26,0.8934352764094143,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,40.0
34,524,2024-04-08,0.8904659277504106,5,0,dp;zms;units;isolation_forest;calf,,0,,
