consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,531,2024-04-15,0.9903055555555556,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0
2,538,2024-04-22,0.984625,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,5.0
3,588,2024-06-11,0.9538888888888888,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,10.0
4,562,2024-05-16,0.9532777777777778,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,5.0
5,582,2024-06-05,0.9494444444444445,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,19.0
6,573,2024-05-27,0.9481527777777778,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,16.0
7,521,2024-04-05,0.9473750000000001,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;units;datamole;gpt4ts,6.0
8,581,2024-06-04,0.9355555555555556,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,18.0
9,486,2024-03-01,0.9334027777777779,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,16.0
10,587,2024-06-10,0.9305555555555555,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,39.0
11,576,2024-05-30,0.9172222222222222,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,13.0
12,577,2024-05-31,0.915,3,2,itrans;datamole;gpt4ts,calf;units,2,datamole;gpt4ts,22.0
13,513,2024-03-28,0.9133055555555556,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,2.0
14,561,2024-05-15,0.9118888888888887,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,11.0
15,356,2023-10-23,0.9039166666666667,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,35.0
16,541,2024-04-25,0.903125,5,0,itrans;calf;units;datamole;gpt4ts,,4,calf;units;datamole;gpt4ts,10.0
17,528,2024-04-12,0.9029166666666667,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,11.0
18,482,2024-02-26,0.9026388888888889,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,35.0
19,566,2024-05-20,0.9024027777777779,5,0,itrans;calf;units;datamole;gpt4ts,,2,datamole;gpt4ts,18.0
20,153,2023-04-03,0.8967222222222222,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,9.0
21,476,2024-02-20,0.8961250000000002,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;datamole,40.0
22,563,2024-05-17,0.8832222222222221,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,4.0
23,533,2024-04-17,0.8647777777777778,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,27.0
24,567,2024-05-21,0.8643750000000001,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;datamole;gpt4ts,4.0
25,254,2023-07-13,0.8589722222222221,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,1.0
26,503,2024-03-18,0.8547777777777779,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,14.0
27,323,2023-09-20,0.8539444444444445,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,14.0
28,461,2024-02-05,0.8483750000000001,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,46.0
29,343,2023-10-10,0.8404027777777777,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,32.0
30,532,2024-04-16,0.8391249999999999,5,0,itrans;calf;units;datamole;gpt4ts,,3,units;datamole;gpt4ts,2.0
31,568,2024-05-22,0.8195138888888888,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;datamole,17.0
32,364,2023-10-31,0.8158472222222223,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,16.0
33,519,2024-04-03,0.8076944444444445,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,13.0
34,347,2023-10-14,0.8032083333333334,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,12.0
35,574,2024-05-28,0.8005555555555557,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;gpt4ts,20.0
36,583,2024-06-06,0.8005555555555555,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,20.0
37,171,2023-04-21,0.7987777777777778,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,43.0
38,512,2024-03-27,0.7970555555555555,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,13.0
39,523,2024-04-07,0.7970416666666666,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;datamole,13.0
40,584,2024-06-07,0.7944444444444444,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,1.0
41,402,2023-12-08,0.7918472222222223,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,37.0
42,526,2024-04-10,0.7874166666666665,5,0,itrans;calf;units;datamole;gpt4ts,,2,datamole;gpt4ts,5.0
43,55,2022-12-26,0.7850694444444445,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,21.0
44,345,2023-10-12,0.7824583333333333,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,25.0
45,560,2024-05-14,0.7809444444444444,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,8.0
46,527,2024-04-11,0.774013888888889,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;datamole;gpt4ts,1.0
47,539,2024-04-23,0.7727777777777778,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;gpt4ts,3.0
48,353,2023-10-20,0.7713611111111112,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,41.0
49,559,2024-05-13,0.7705972222222222,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,23.0
50,387,2023-11-23,0.7695,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
