method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
catch,1,541,2024-04-25,78.76776123046875,1.0,0.9724088669950739,4,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,2,538,2024-04-22,52.56340408325195,0.9982638888888888,0.9704146825396824,5,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,3,539,2024-04-23,39.18122482299805,0.9965277777777778,0.9697341269841269,6,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,4,531,2024-04-15,31.540958404541016,0.9947916666666666,0.9693819786535304,7,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,5,562,2024-05-16,25.148988723754883,0.9930555555555556,0.9749411603721949,2,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,6,527,2024-04-11,24.772512435913086,0.9913194444444444,0.9578402435686918,11,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,7,513,2024-03-28,15.798894882202148,0.9895833333333334,0.9564979474548441,12,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,8,425,2023-12-31,14.386279106140137,0.9878472222222222,0.9318436644772852,22,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,9,499,2024-03-14,13.013258934020996,0.9861111111111112,0.9403486590038315,17,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,10,561,2024-05-15,11.584485054016113,0.984375,0.9687469211822659,8,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,11,486,2024-03-01,10.936010360717773,0.9826388888888888,0.948854542966612,15,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,12,120,2023-03-01,9.292608261108398,0.9809027777777778,0.8236830186097427,60,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,13,471,2024-02-15,9.270844459533691,0.9791666666666666,0.92773973727422,23,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,14,364,2023-10-31,8.971102714538574,0.9774305555555556,0.905080528188287,31,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,15,153,2023-04-03,8.88359260559082,0.9756944444444444,0.8587759989053092,47,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,16,387,2023-11-23,8.6541748046875,0.9739583333333334,0.8869213875205254,35,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,17,563,2024-05-17,8.446802139282227,0.9722222222222222,0.9616792556102901,9,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,18,184,2023-05-04,7.939629554748535,0.9704861111111112,0.8504748905309251,53,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,19,528,2024-04-12,7.570693492889404,0.96875,0.94863013136289,16,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,20,351,2023-10-18,7.259839057922363,0.9670138888888888,0.8517164066776136,51,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,21,521,2024-04-05,7.142101764678955,0.9652777777777778,0.937804324028462,20,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,22,254,2023-07-13,6.196683883666992,0.9635416666666666,0.8165835385878489,62,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,23,289,2023-08-17,5.873691082000732,0.9618055555555556,0.8615220306513409,45,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,24,338,2023-10-05,5.566649436950684,0.9600694444444444,0.8391124110563766,57,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,25,175,2023-04-25,5.152534484863281,0.9583333333333334,0.8456912972085385,55,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,26,55,2022-12-26,5.051656246185303,0.9565972222222222,0.7767020388615217,87,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,27,370,2023-11-06,4.72624397277832,0.9548611111111112,0.8798129447181171,37,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,28,276,2023-08-04,4.160303115844727,0.953125,0.7949714696223317,74,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,29,356,2023-10-23,4.017621040344238,0.9513888888888888,0.8093779419813902,65,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,30,516,2024-03-31,3.968816041946411,0.9496527777777778,0.5678927887246853,218,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,31,150,2023-03-31,3.896507501602173,0.9479166666666666,0.8301087848932676,59,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,32,402,2023-12-08,3.7220208644866943,0.9461805555555556,0.8520095101258894,49,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,33,523,2024-04-07,3.6728878021240234,0.9444444444444444,0.5674833059660646,219,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,34,564,2024-05-18,3.6521918773651123,0.9427083333333334,0.6377731937602628,165,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,35,367,2023-11-03,3.6356074810028076,0.9409722222222222,0.8753389436234263,40,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,36,352,2023-10-19,3.618868112564087,0.9392361111111112,0.8231296524356869,61,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,37,323,2023-09-20,3.6106200218200684,0.9375,0.8055755336617405,68,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,38,481,2024-02-25,3.572251558303833,0.9357638888888888,0.5406109058565954,235,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,39,526,2024-04-10,3.5596814155578613,0.9340277777777778,0.9074426655719761,29,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,40,379,2023-11-15,3.5375940799713135,0.9322916666666666,0.8712497947454843,41,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,41,514,2024-03-29,3.4829483032226562,0.9305555555555556,0.6504033935413245,156,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,42,559,2024-05-13,3.4674291610717773,0.9288194444444444,0.9156407361795292,27,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,43,487,2024-03-02,3.4569249153137207,0.9270833333333334,0.440022577996716,322,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,44,505,2024-03-20,3.446195363998413,0.9253472222222222,0.8959233032293377,34,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,45,530,2024-04-14,3.424304246902466,0.9236111111111112,0.5679488232074439,217,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,46,571,2024-05-25,3.421888828277588,0.921875,0.6298741789819375,171,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,47,520,2024-04-04,3.3479409217834473,0.9201388888888888,0.9046993705528189,32,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,48,480,2024-02-24,3.3154077529907227,0.9184027777777778,0.4155081417624521,361,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,49,565,2024-05-19,3.3021583557128906,0.9166666666666666,0.6285287356321839,174,5,0,catch;tsnet;dagmm;knn;kmeans,
catch,50,170,2023-04-20,3.285193681716919,0.9149305555555556,0.7935132047071702,75,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,1,584,2024-06-07,112.95092010498047,1.0,0.9889162561576355,1,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,2,541,2024-04-25,78.36921691894531,0.9983333333333333,0.9724088669950739,4,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,3,538,2024-04-22,52.7994499206543,0.9966666666666667,0.9704146825396824,5,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,4,539,2024-04-23,40.67551040649414,0.995,0.9697341269841269,6,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,5,531,2024-04-15,31.25682830810547,0.9933333333333333,0.9693819786535304,7,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,6,562,2024-05-16,27.195783615112305,0.9916666666666667,0.9749411603721949,2,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,7,527,2024-04-11,27.114654541015625,0.99,0.9578402435686918,11,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,8,580,2024-06-03,21.580068588256836,0.9883333333333333,0.9724527914614122,3,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,9,513,2024-03-28,17.822837829589844,0.9866666666666667,0.9564979474548441,12,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,10,425,2023-12-31,15.457261085510254,0.985,0.9318436644772852,22,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,11,561,2024-05-15,14.4159517288208,0.9833333333333333,0.9687469211822659,8,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,12,486,2024-03-01,14.093276023864746,0.9816666666666667,0.948854542966612,15,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,13,499,2024-03-14,13.710983276367188,0.98,0.9403486590038315,17,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,14,588,2024-06-11,12.078577041625977,0.9783333333333334,0.9605110837438423,10,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,15,582,2024-06-05,10.292254447937012,0.9766666666666667,0.9506527093596059,14,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,16,153,2023-04-03,9.759486198425293,0.975,0.8587759989053092,47,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,17,521,2024-04-05,9.30984115600586,0.9733333333333334,0.937804324028462,20,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,18,120,2023-03-01,9.056319236755371,0.9716666666666667,0.8236830186097427,60,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,19,563,2024-05-17,8.353737831115723,0.97,0.9616792556102901,9,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,20,364,2023-10-31,8.175384521484375,0.9683333333333334,0.905080528188287,31,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,21,254,2023-07-13,8.168706893920898,0.9666666666666667,0.8165835385878489,62,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,22,581,2024-06-04,7.8098955154418945,0.965,0.9391153530377668,19,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,23,184,2023-05-04,7.689199447631836,0.9633333333333334,0.8504748905309251,53,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,24,471,2024-02-15,7.615420341491699,0.9616666666666667,0.92773973727422,23,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,25,576,2024-05-30,7.355669975280762,0.96,0.9321182266009852,21,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,26,596,2024-06-19,7.345281600952148,0.9583333333333334,0.9518165024630543,13,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,27,528,2024-04-12,7.118754863739014,0.9566666666666667,0.94863013136289,16,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,28,289,2023-08-17,6.492772102355957,0.955,0.8615220306513409,45,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,29,577,2024-05-31,6.13584566116333,0.9533333333333334,0.9398932676518883,18,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,30,351,2023-10-18,6.126878261566162,0.9516666666666667,0.8517164066776136,51,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,31,505,2024-03-20,6.006960868835449,0.95,0.8959233032293377,34,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,32,387,2023-11-23,5.7692365646362305,0.9483333333333334,0.8869213875205254,35,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,33,370,2023-11-06,5.510126113891602,0.9466666666666667,0.8798129447181171,37,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,34,175,2023-04-25,5.412740230560303,0.945,0.8456912972085385,55,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,35,55,2022-12-26,5.313593864440918,0.9433333333333334,0.7767020388615217,87,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,36,559,2024-05-13,5.199408531188965,0.9416666666666667,0.9156407361795292,27,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,37,573,2024-05-27,5.186665058135986,0.94,0.9223253968253969,25,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,38,520,2024-04-04,5.121194362640381,0.9383333333333334,0.9046993705528189,32,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,39,569,2024-05-23,5.06465482711792,0.9366666666666666,0.9090629447181172,28,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,40,338,2023-10-05,4.847209453582764,0.935,0.8391124110563766,57,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,41,150,2023-03-31,4.834069728851318,0.9333333333333333,0.8301087848932676,59,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,42,583,2024-06-06,4.804943084716797,0.9316666666666666,0.9160036945812808,26,4,1,tsnet;dagmm;knn;kmeans,catch
tsnet,43,504,2024-03-19,4.685171127319336,0.93,0.8370057471264367,58,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,44,367,2023-11-03,4.617626190185547,0.9283333333333333,0.8753389436234263,40,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,45,526,2024-04-10,4.496676921844482,0.9266666666666666,0.9074426655719761,29,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,46,518,2024-04-02,4.377500534057617,0.925,0.6221630405035578,176,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,47,568,2024-05-22,4.369630813598633,0.9233333333333333,0.6921652983032293,135,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,48,295,2023-08-23,4.331691265106201,0.9216666666666666,0.7865911330049261,81,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,49,503,2024-03-18,4.189189434051514,0.92,0.8838494800218939,36,5,0,catch;tsnet;dagmm;knn;kmeans,
tsnet,50,575,2024-05-29,4.0996785163879395,0.9183333333333333,0.8571460727969349,48,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,254,2023-07-13,13.815510749816895,0.9901477832512315,0.8165835385878489,62,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,289,2023-08-17,13.815510749816895,0.9901477832512315,0.8615220306513409,45,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,425,2023-12-31,13.815510749816895,0.9901477832512315,0.9318436644772852,22,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,486,2024-03-01,13.815510749816895,0.9901477832512315,0.948854542966612,15,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,513,2024-03-28,13.815510749816895,0.9901477832512315,0.9564979474548441,12,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,531,2024-04-15,13.815510749816895,0.9901477832512315,0.9693819786535304,7,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,538,2024-04-22,13.815510749816895,0.9901477832512315,0.9704146825396824,5,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,539,2024-04-23,13.815510749816895,0.9901477832512315,0.9697341269841269,6,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,540,2024-04-24,13.815510749816895,0.9901477832512315,0.8988676108374385,33,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,541,2024-04-25,13.815510749816895,0.9901477832512315,0.9724088669950739,4,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,561,2024-05-15,13.815510749816895,0.9901477832512315,0.9687469211822659,8,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,562,2024-05-16,13.815510749816895,0.9901477832512315,0.9749411603721949,2,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,1,584,2024-06-07,13.815510749816895,0.9901477832512315,0.9889162561576355,1,4,1,tsnet;dagmm;knn;kmeans,catch
dagmm,14,184,2023-05-04,13.815507888793945,0.9786535303776683,0.8504748905309251,53,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,15,563,2024-05-17,13.815479278564453,0.9770114942528736,0.9616792556102901,9,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,16,229,2023-06-18,13.815464973449707,0.9753694581280788,0.7923120552818829,77,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,17,364,2023-10-31,13.815441131591797,0.9737274220032841,0.905080528188287,31,5,0,catch;tsnet;dagmm;knn;kmeans,
dagmm,18,570,2024-05-24,13.815403938293457,0.9720853858784894,0.9225387246852765,24,5,0,catch;tsnet;dagmm;knn;kmeans,
