variant_raw,customer,anomaly_type,consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,variant_log1p,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
raw,620000,contextual_point,1,531,2024-04-15,0.9977011494252874,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,8,531,0.9331982074438973,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,21.0
raw,620000,contextual_point,2,584,2024-06-07,0.9967159277504104,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0,log1p,38,584,0.8264915161466885,3,2,dp;zms;isolation_forest,units;calf,0,,
raw,620000,contextual_point,3,580,2024-06-03,0.9939792008757524,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,3.0,log1p,2,580,0.9917898193760264,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
raw,620000,contextual_point,4,364,2023-10-31,0.9834479337712096,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,4.0,log1p,45,364,0.7951559934318555,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,6,391,2023-11-27,0.9720374931581828,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0,log1p,20,391,0.8753506431308156,5,0,dp;zms;units;isolation_forest;calf,,1,units,39.0
raw,620000,contextual_point,7,97,2023-02-06,0.9703475643130816,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0,log1p,16,97,0.8817186644772852,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,36.0
raw,620000,contextual_point,10,581,2024-06-04,0.9512862616310892,3,2,dp;zms;isolation_forest,units;calf,2,dp;isolation_forest,5.0,log1p,11,581,0.9157088122605364,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,4.0
raw,620000,contextual_point,13,538,2024-04-22,0.9355141625615764,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,9.0,log1p,9,538,0.9256020799124248,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,4.0
raw,620000,contextual_point,14,570,2024-05-24,0.9156865763546798,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,22.0,log1p,34,570,0.8395987274220031,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;isolation_forest,10.0
raw,620000,contextual_point,15,561,2024-05-15,0.9155206622879036,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,8.0,log1p,33,561,0.8411672140120416,5,0,dp;zms;units;isolation_forest;calf,,1,units,16.0
raw,620000,contextual_point,16,461,2024-02-05,0.9114104406130268,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,29.0,log1p,32,461,0.8463635741652983,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,17,111,2023-02-20,0.9105860016420362,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,25.0,log1p,31,111,0.8483665161466885,5,0,dp;zms;units;isolation_forest;calf,,1,dp,48.0
raw,620000,contextual_point,20,489,2024-03-04,0.8990678024083196,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,21.0,log1p,18,489,0.8779334291187739,5,0,dp;zms;units;isolation_forest;calf,,2,dp;units,33.0
raw,620000,contextual_point,21,596,2024-06-19,0.8990147783251231,3,2,dp;zms;isolation_forest,units;calf,1,isolation_forest,38.0,log1p,1,596,0.9961685823754788,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
raw,620000,contextual_point,26,83,2023-01-23,0.8628916940339355,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,6.0,log1p,12,83,0.9144122879036672,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,2.0
raw,620000,contextual_point,41,501,2024-03-16,0.817816091954023,5,0,dp;zms;units;isolation_forest;calf,,2,dp;isolation_forest,21.0,log1p,24,501,0.8647338533114395,5,0,dp;zms;units;isolation_forest;calf,,1,dp,41.0
raw,620000,contextual_point,43,125,2023-03-06,0.808668582375479,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,36.0,log1p,23,125,0.8654402709359605,5,0,dp;zms;units;isolation_forest;calf,,1,units,44.0
raw,620000,contextual_point,49,510,2024-03-25,0.7995518609742748,5,0,dp;zms;units;isolation_forest;calf,,1,zms,43.0,log1p,10,510,0.9167710043787628,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,6.0
raw,620000,contextual_point,50,485,2024-02-29,0.7954022988505747,5,0,dp;zms;units;isolation_forest;calf,,1,units,19.0,log1p,13,485,0.9000564449917899,5,0,dp;zms;units;isolation_forest;calf,,1,units,24.0
raw,620000,global_point,1,582,2024-06-05,0.98,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,1.0,log1p,35,582,0.8472222222222222,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,13.0
raw,620000,global_point,3,531,2024-04-15,0.9523333333333334,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,1.0,log1p,48,531,0.8275972222222222,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,21.0
raw,620000,global_point,21,576,2024-05-30,0.8244444444444444,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,33.0,log1p,41,576,0.8377777777777778,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,40.0
raw,620000,global_point,26,580,2024-06-03,0.8083333333333332,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,2.0,log1p,36,580,0.8427777777777777,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,4.0
raw,620000,global_point,31,541,2024-04-25,0.7971805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,17.0,log1p,46,541,0.8305972222222222,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,46.0
raw,620000,global_point,45,585,2024-06-08,0.7488888888888888,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;datamole,4.0,log1p,18,585,0.8922222222222222,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;datamole,31.0
raw,620000,global_point,49,561,2024-05-15,0.7393055555555555,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,8.0,log1p,14,561,0.9083888888888888,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,14.0
raw,620000,subsequence_pattern,12,501,2024-03-16,0.8545086206896553,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,17.0,log1p,39,501,0.7668341543513957,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,620000,subsequence_pattern,13,489,2024-03-04,0.8432092227695677,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,33.0,log1p,38,489,0.7684484811165845,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,620000,subsequence_pattern,20,443,2024-01-18,0.8086824712643679,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;ocsvm,1.0,log1p,23,443,0.8299703749315818,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,9.0
raw,633000,contextual_point,1,272,2023-07-31,0.9969690749863164,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,5,272,0.9616276683087028,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,1.0
raw,633000,contextual_point,2,531,2024-04-15,0.9957307060755336,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,3,531,0.9626231527093596,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,2.0
raw,633000,contextual_point,3,584,2024-06-07,0.9939792008757524,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,2.0,log1p,34,584,0.7887246852764095,3,2,dp;zms;isolation_forest,units;calf,0,,
raw,633000,contextual_point,5,97,2023-02-06,0.983006636562671,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,4.0,log1p,11,97,0.9205545292829778,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,3.0
raw,633000,contextual_point,6,580,2024-06-03,0.9775588396278052,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,7.0,log1p,2,580,0.9671592775041052,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,3.0
raw,633000,contextual_point,7,265,2023-07-24,0.97603482484948,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,8.0,log1p,8,265,0.9440065681444992,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,6.0
raw,633000,contextual_point,8,356,2023-10-23,0.9706674192665572,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0,log1p,14,356,0.8859178297755884,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,7.0
raw,633000,contextual_point,9,570,2024-05-24,0.964201902025178,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,12.0,log1p,20,570,0.8380268199233717,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,17.0
