consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
1,584,2024-06-07,0.986863711001642,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1,1,584,0.9827586206896551,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0
2,580,2024-06-03,0.9810857963875206,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1,3,580,0.9597023809523809,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,12.0
3,562,2024-05-16,0.9745840859332239,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,1,2,562,0.9722901614668856,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,1.0
4,541,2024-04-25,0.9727372742200329,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1,6,541,0.932971332785988,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,2.0
5,538,2024-04-22,0.9707430897646414,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1,9,538,0.9223960043787629,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,5.0
6,539,2024-04-23,0.970062534209086,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1,5,539,0.9368342911877395,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,3.0
7,561,2024-05-15,0.9693889573070607,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,1,7,561,0.9329643541324575,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;dagmm;knn;kmeans,20.0
8,588,2024-06-11,0.967495894909688,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1,17,588,0.8933025451559935,4,1,tsnet;dagmm;knn;kmeans,catch,2,dagmm;kmeans,14.0
9,563,2024-05-17,0.9633687739463601,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,15,26,563,0.8513026135741653,5,0,catch;tsnet;dagmm;knn;kmeans,,2,tsnet;kmeans,14.0
10,527,2024-04-11,0.9611431308155446,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,3,14,527,0.9017300903119869,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,4.0
11,531,2024-04-15,0.9595297619047619,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,4,4,531,0.9382495894909688,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
12,513,2024-03-28,0.955812465790914,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1,11,513,0.9055571975916804,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,9.0
13,582,2024-06-05,0.9543288177339901,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,18,19,582,0.8906013957307061,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,24.0
14,577,2024-05-31,0.953446223316913,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,26,15,577,0.8972660098522167,4,1,tsnet;dagmm;knn;kmeans,catch,2,knn;kmeans,32.0
15,596,2024-06-19,0.9504310344827587,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,1,28,596,0.8489183087027915,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,10.0
16,581,2024-06-04,0.9496202791461412,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;dagmm;kmeans,14,20,581,0.8822639573070609,4,1,tsnet;dagmm;knn;kmeans,catch,2,dagmm;kmeans,13.0
