method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
dp,1,272,2023-07-31,6.443423271179199,1.0,0.9616276683087028,5,5,0,dp;zms;units;isolation_forest;calf,
dp,2,531,2024-04-15,6.083831787109375,0.9983579638752053,0.9626231527093596,3,5,0,dp;zms;units;isolation_forest;calf,
dp,3,580,2024-06-03,5.289384365081787,0.9967159277504105,0.9671592775041051,2,3,2,dp;zms;isolation_forest,units;calf
dp,4,538,2024-04-22,5.127602577209473,0.9950738916256158,0.944456417624521,7,5,0,dp;zms;units;isolation_forest;calf,
dp,5,97,2023-02-06,5.089145660400391,0.993431855500821,0.9205545292829778,11,5,0,dp;zms;units;isolation_forest;calf,
dp,6,265,2023-07-24,4.896759510040283,0.9917898193760263,0.9440065681444991,8,5,0,dp;zms;units;isolation_forest;calf,
dp,7,356,2023-10-23,4.820487976074219,0.9901477832512315,0.8859178297755884,14,5,0,dp;zms;units;isolation_forest;calf,
dp,8,529,2024-04-13,4.806424140930176,0.9885057471264368,0.5949695539135195,160,5,0,dp;zms;units;isolation_forest;calf,
dp,9,391,2023-11-27,4.64196252822876,0.986863711001642,0.9246202791461412,9,5,0,dp;zms;units;isolation_forest;calf,
dp,10,585,2024-06-08,4.641302108764648,0.9852216748768473,0.6792556102900931,90,3,2,dp;zms;isolation_forest,units;calf
dp,11,564,2024-05-18,4.5155816078186035,0.9835796387520526,0.5729799534756432,183,5,0,dp;zms;units;isolation_forest;calf,
dp,12,172,2023-04-22,4.491046905517578,0.9819376026272578,0.5511374521072796,206,5,0,dp;zms;units;isolation_forest;calf,
dp,13,153,2023-04-03,4.464684963226318,0.9802955665024631,0.8979594280240832,13,5,0,dp;zms;units;isolation_forest;calf,
dp,14,571,2024-05-25,4.421957015991211,0.9786535303776683,0.7734007252326218,45,5,0,dp;zms;units;isolation_forest;calf,
dp,15,489,2024-03-04,4.384573936462402,0.9770114942528736,0.9226310207991244,10,5,0,dp;zms;units;isolation_forest;calf,
dp,16,55,2022-12-26,4.365036487579346,0.9753694581280788,0.7729594280240832,47,5,0,dp;zms;units;isolation_forest;calf,
dp,17,123,2023-03-04,4.254334926605225,0.9737274220032841,0.526337575259989,240,5,0,dp;zms;units;isolation_forest;calf,
dp,18,573,2024-05-27,4.2055745124816895,0.9720853858784894,0.8718271072796935,18,5,0,dp;zms;units;isolation_forest;calf,
dp,19,596,2024-06-19,4.132480144500732,0.9704433497536946,0.9805692391899288,1,3,2,dp;zms;isolation_forest,units;calf
dp,20,311,2023-09-08,4.1141743659973145,0.9688013136288999,0.9616858237547893,4,5,0,dp;zms;units;isolation_forest;calf,
dp,21,384,2023-11-20,4.104548454284668,0.9671592775041051,0.8249110563765736,25,5,0,dp;zms;units;isolation_forest;calf,
dp,22,514,2024-03-29,4.099878787994385,0.9655172413793104,0.7248614532019705,62,5,0,dp;zms;units;isolation_forest;calf,
dp,23,7,2022-11-08,4.089041709899902,0.9638752052545156,0.7805555555555556,40,5,0,dp;zms;units;isolation_forest;calf,
dp,24,519,2024-04-03,4.061369895935059,0.9622331691297209,0.7158097290640394,73,5,0,dp;zms;units;isolation_forest;calf,
dp,25,566,2024-05-20,4.04427433013916,0.9605911330049262,0.7730911330049262,46,5,0,dp;zms;units;isolation_forest;calf,
dp,26,403,2023-12-09,4.039022922515869,0.9589490968801314,0.6809335659551177,89,5,0,dp;zms;units;isolation_forest;calf,
dp,27,277,2023-08-05,3.975498676300049,0.9573070607553367,0.5477746989600438,212,5,0,dp;zms;units;isolation_forest;calf,
dp,28,333,2023-09-30,3.9680593013763428,0.9556650246305419,0.726236658456486,61,5,0,dp;zms;units;isolation_forest;calf,
dp,29,501,2024-03-16,3.967726230621338,0.9540229885057471,0.5438628899835796,216,5,0,dp;zms;units;isolation_forest;calf,
dp,30,354,2023-10-21,3.957473039627075,0.9523809523809523,0.6821821975916803,87,5,0,dp;zms;units;isolation_forest;calf,
dp,31,34,2022-12-05,3.9536478519439697,0.9507389162561576,0.7386408730158729,54,5,0,dp;zms;units;isolation_forest;calf,
dp,32,32,2022-12-03,3.9503731727600098,0.9490968801313628,0.5375,223,5,0,dp;zms;units;isolation_forest;calf,
dp,33,594,2024-06-17,3.9495584964752197,0.9474548440065681,0.8308702791461412,21,3,2,dp;zms;isolation_forest,units;calf
dp,34,116,2023-02-25,3.9430201053619385,0.9458128078817734,0.4925424192665572,289,5,0,dp;zms;units;isolation_forest;calf,
dp,35,11,2022-11-12,3.940680742263794,0.9441707717569786,0.5863899151614669,172,5,0,dp;zms;units;isolation_forest;calf,
dp,36,510,2024-03-25,3.9335625171661377,0.9425287356321839,0.8269379447181171,24,5,0,dp;zms;units;isolation_forest;calf,
dp,37,342,2023-10-09,3.9055354595184326,0.9408866995073891,0.9187534209085934,12,5,0,dp;zms;units;isolation_forest;calf,
dp,38,118,2023-02-27,3.880917549133301,0.9392446633825944,0.8177801724137931,27,5,0,dp;zms;units;isolation_forest;calf,
dp,39,461,2024-02-05,3.878674030303955,0.9376026272577996,0.877801724137931,16,5,0,dp;zms;units;isolation_forest;calf,
dp,40,27,2022-11-28,3.873948097229004,0.9359605911330049,0.7572215380405035,50,5,0,dp;zms;units;isolation_forest;calf,
dp,41,179,2023-04-29,3.8688690662384033,0.9343185550082101,0.5780360563765736,180,5,0,dp;zms;units;isolation_forest;calf,
dp,42,302,2023-08-30,3.857994556427002,0.9326765188834154,0.9458282019704434,6,5,0,dp;zms;units;isolation_forest;calf,
dp,43,151,2023-04-01,3.8298566341400146,0.9310344827586207,0.6204501915708812,135,5,0,dp;zms;units;isolation_forest;calf,
dp,44,312,2023-09-09,3.812891721725464,0.9293924466338259,0.5177117542419267,253,5,0,dp;zms;units;isolation_forest;calf,
dp,45,230,2023-06-19,3.802525281906128,0.9277504105090312,0.7330562397372743,57,5,0,dp;zms;units;isolation_forest;calf,
dp,46,368,2023-11-04,3.8023059368133545,0.9261083743842364,0.4644618910782704,331,5,0,dp;zms;units;isolation_forest;calf,
dp,47,487,2024-03-02,3.790987730026245,0.9244663382594417,0.6337866037219485,123,5,0,dp;zms;units;isolation_forest;calf,
dp,48,228,2023-06-17,3.7854764461517334,0.922824302134647,0.46404796113847835,332,5,0,dp;zms;units;isolation_forest;calf,
dp,49,214,2023-06-03,3.7603166103363037,0.9211822660098522,0.6017703201970444,154,5,0,dp;zms;units;isolation_forest;calf,
dp,50,559,2024-05-13,3.755011796951294,0.9195402298850575,0.7166495621237001,72,5,0,dp;zms;units;isolation_forest;calf,
zms,1,272,2023-07-31,2.508758781795098,1.0,0.9616276683087028,5,5,0,dp;zms;units;isolation_forest;calf,
zms,2,531,2024-04-15,2.4383054943123437,0.9983579638752053,0.9626231527093596,3,5,0,dp;zms;units;isolation_forest;calf,
zms,3,97,2023-02-06,2.262904709524648,0.9967159277504105,0.9205545292829778,11,5,0,dp;zms;units;isolation_forest;calf,
zms,4,580,2024-06-03,2.260643606204087,0.9950738916256158,0.9671592775041051,2,3,2,dp;zms;isolation_forest,units;calf
zms,5,538,2024-04-22,2.234955067470411,0.993431855500821,0.944456417624521,7,5,0,dp;zms;units;isolation_forest;calf,
zms,6,265,2023-07-24,2.183920397087532,0.9917898193760263,0.9440065681444991,8,5,0,dp;zms;units;isolation_forest;calf,
zms,7,356,2023-10-23,2.1559404852375366,0.9901477832512315,0.8859178297755884,14,5,0,dp;zms;units;isolation_forest;calf,
zms,8,153,2023-04-03,2.107009728525948,0.9876847290640394,0.8979594280240832,13,5,0,dp;zms;units;isolation_forest;calf,
zms,8,391,2023-11-27,2.107009728525948,0.9876847290640394,0.9246202791461412,9,5,0,dp;zms;units;isolation_forest;calf,
zms,10,55,2022-12-26,2.0871259278886005,0.9852216748768473,0.7729594280240832,47,5,0,dp;zms;units;isolation_forest;calf,
zms,11,489,2024-03-04,2.0698248394715093,0.9835796387520526,0.9226310207991244,10,5,0,dp;zms;units;isolation_forest;calf,
zms,12,573,2024-05-27,2.013315212631516,0.9819376026272578,0.8718271072796935,18,5,0,dp;zms;units;isolation_forest;calf,
zms,13,7,2022-11-08,2.0051878169205084,0.9802955665024631,0.7805555555555556,40,5,0,dp;zms;units;isolation_forest;calf,
zms,14,311,2023-09-08,1.9927017486674472,0.9786535303776683,0.9616858237547893,4,5,0,dp;zms;units;isolation_forest;calf,
zms,15,519,2024-04-03,1.9884579784438952,0.9761904761904762,0.7158097290640394,73,5,0,dp;zms;units;isolation_forest;calf,
zms,15,596,2024-06-19,1.9884579784438952,0.9761904761904762,0.9805692391899288,1,3,2,dp;zms;isolation_forest,units;calf
zms,17,34,2022-12-05,1.9798429073980817,0.9729064039408867,0.7386408730158729,54,5,0,dp;zms;units;isolation_forest;calf,
zms,17,384,2023-11-20,1.9798429073980817,0.9729064039408867,0.8249110563765736,25,5,0,dp;zms;units;isolation_forest;calf,
zms,19,118,2023-02-27,1.9754698831020048,0.9696223316912972,0.8177801724137931,27,5,0,dp;zms;units;isolation_forest;calf,
zms,19,566,2024-05-20,1.9754698831020048,0.9696223316912972,0.7730911330049262,46,5,0,dp;zms;units;isolation_forest;calf,
zms,21,27,2022-11-28,1.9575198194652865,0.9663382594417077,0.7572215380405035,50,5,0,dp;zms;units;isolation_forest;calf,
zms,21,510,2024-03-25,1.9575198194652865,0.9663382594417077,0.8269379447181171,24,5,0,dp;zms;units;isolation_forest;calf,
zms,23,111,2023-02-20,1.9435486749478497,0.9622331691297209,0.7835830596606458,37,5,0,dp;zms;units;isolation_forest;calf,
zms,23,461,2024-02-05,1.9435486749478497,0.9622331691297209,0.877801724137931,16,5,0,dp;zms;units;isolation_forest;calf,
zms,23,594,2024-06-17,1.9435486749478497,0.9622331691297209,0.8308702791461412,21,3,2,dp;zms;isolation_forest,units;calf
zms,26,342,2023-10-09,1.938789077421019,0.9589490968801314,0.9187534209085934,12,5,0,dp;zms;units;isolation_forest;calf,
zms,27,302,2023-08-30,1.9291091376166503,0.9573070607553367,0.9458282019704434,6,5,0,dp;zms;units;isolation_forest;calf,
zms,28,230,2023-06-19,1.9241863503953285,0.9556650246305419,0.7330562397372743,57,5,0,dp;zms;units;isolation_forest;calf,
zms,29,83,2023-01-23,1.909071143602515,0.9540229885057471,0.6907242063492064,84,5,0,dp;zms;units;isolation_forest;calf,
zms,30,244,2023-07-03,1.9039125287303778,0.9507389162561576,0.7187893404488233,67,5,0,dp;zms;units;isolation_forest;calf,
zms,30,524,2024-04-08,1.9039125287303778,0.9507389162561576,0.7874863163656267,36,5,0,dp;zms;units;isolation_forest;calf,
zms,30,559,2024-05-13,1.9039125287303778,0.9507389162561576,0.7166495621237001,72,5,0,dp;zms;units;isolation_forest;calf,
zms,33,22,2022-11-23,1.898691383671086,0.9474548440065681,0.8173286124794746,28,5,0,dp;zms;units;isolation_forest;calf,
zms,34,188,2023-05-08,1.8880553076395872,0.9458128078817734,0.8797448002189381,15,5,0,dp;zms;units;isolation_forest;calf,
zms,35,104,2023-02-13,1.8826371331371456,0.9441707717569786,0.7804204296661194,41,5,0,dp;zms;units;isolation_forest;calf,
zms,36,90,2023-01-30,1.87714993544836,0.9425287356321839,0.8068469485495348,29,5,0,dp;zms;units;isolation_forest;calf,
zms,37,191,2023-05-11,1.8715919332565047,0.9408866995073891,0.8275862068965518,23,5,0,dp;zms;units;isolation_forest;calf,
zms,38,545,2024-04-29,1.8544742161463361,0.9392446633825944,0.8060310618500275,30,5,0,dp;zms;units;isolation_forest;calf,
zms,39,174,2023-04-24,1.8426724041030254,0.9359605911330049,0.7186182950191571,68,5,0,dp;zms;units;isolation_forest;calf,
zms,39,202,2023-05-22,1.8426724041030254,0.9359605911330049,0.7601908866995075,49,5,0,dp;zms;units;isolation_forest;calf,
zms,39,314,2023-09-11,1.8426724041030254,0.9359605911330049,0.7094023672687465,78,5,0,dp;zms;units;isolation_forest;calf,
zms,42,328,2023-09-25,1.8243403101144744,0.9326765188834154,0.7147509578544061,75,5,0,dp;zms;units;isolation_forest;calf,
zms,43,13,2022-11-14,1.798616895125287,0.9285714285714286,0.7752463054187192,44,5,0,dp;zms;units;isolation_forest;calf,
zms,43,62,2023-01-02,1.798616895125287,0.9285714285714286,0.629431787082649,126,5,0,dp;zms;units;isolation_forest;calf,
zms,43,398,2023-12-04,1.798616895125287,0.9285714285714286,0.7813269704433498,38,5,0,dp;zms;units;isolation_forest;calf,
zms,43,468,2024-02-12,1.798616895125287,0.9285714285714286,0.7939398604269294,33,5,0,dp;zms;units;isolation_forest;calf,
zms,47,139,2023-03-20,1.7782632256162931,0.9244663382594417,0.6385827175697865,119,5,0,dp;zms;units;isolation_forest;calf,
zms,48,482,2024-02-26,1.771259181970808,0.922824302134647,0.7147749042145595,74,5,0,dp;zms;units;isolation_forest;calf,
zms,49,454,2024-01-29,1.7641393637799523,0.9211822660098522,0.8049124247400108,31,5,0,dp;zms;units;isolation_forest;calf,
zms,50,195,2023-05-15,1.749536636754262,0.9178981937602627,0.6022577996715928,153,5,0,dp;zms;units;isolation_forest;calf,
units,1,301,2023-08-29,1.2525968551635742,1.0,0.7679050355774495,48,5,0,dp;zms;units;isolation_forest;calf,
units,2,311,2023-09-08,1.2447748184204102,0.9982638888888888,0.9616858237547893,4,5,0,dp;zms;units;isolation_forest;calf,
units,3,523,2024-04-07,1.0690298080444336,0.9965277777777778,0.7167060071154898,71,5,0,dp;zms;units;isolation_forest;calf,
units,4,485,2024-02-29,1.0035961866378784,0.9947916666666666,0.7952415161466885,32,5,0,dp;zms;units;isolation_forest;calf,
units,5,538,2024-04-22,0.9756555557250977,0.9930555555555556,0.944456417624521,7,5,0,dp;zms;units;isolation_forest;calf,
units,6,21,2022-11-22,0.9518025517463684,0.9913194444444444,0.7555162151067323,51,5,0,dp;zms;units;isolation_forest;calf,
units,7,153,2023-04-03,0.9299595355987549,0.9895833333333334,0.8979594280240832,13,5,0,dp;zms;units;isolation_forest;calf,
units,8,300,2023-08-28,0.9053953289985657,0.9878472222222222,0.6818486590038313,88,5,0,dp;zms;units;isolation_forest;calf,
units,9,76,2023-01-16,0.8932008743286133,0.9861111111111112,0.685950328407225,85,5,0,dp;zms;units;isolation_forest;calf,
units,10,22,2022-11-23,0.8321846723556519,0.984375,0.8173286124794746,28,5,0,dp;zms;units;isolation_forest;calf,
