consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,584,2024-06-07,0.9739326765188834,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,1
2,582,2024-06-05,0.9716625615763548,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,3
3,587,2024-06-10,0.9669232348111658,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,6
4,580,2024-06-03,0.9581239737274221,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,6
5,561,2024-05-15,0.9443726737821565,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;calf;itrans;ocsvm,12
6,595,2024-06-18,0.9420504926108374,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,11
7,578,2024-06-01,0.9388095238095238,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,5
8,576,2024-05-30,0.926873973727422,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,10
9,581,2024-06-04,0.9267857142857143,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;ocsvm,17
10,568,2024-05-22,0.9211734400656815,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;calf,4
11,599,2024-06-22,0.9197783251231526,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,17
12,585,2024-06-08,0.9145997536945814,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,17
13,586,2024-06-09,0.9116522988505746,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,19
14,541,2024-04-25,0.9106396414887794,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,2
15,593,2024-06-16,0.9101826765188834,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,15
16,538,2024-04-22,0.9032287903667214,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,3
17,564,2024-05-18,0.9009467706622878,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;itrans,45
18,562,2024-05-16,0.8996957443897099,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;itrans;ocsvm,5
19,588,2024-06-11,0.8987212643678162,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,8
20,429,2024-01-04,0.8946637931034485,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;itrans,7
21,531,2024-04-15,0.892616310892173,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,7
22,539,2024-04-23,0.8902010125889437,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,4
23,551,2024-05-05,0.8889881636562672,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,8
24,566,2024-05-20,0.8858191023535851,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;itrans,20
25,420,2023-12-26,0.8852686097427478,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1
26,422,2023-12-28,0.8805038314176246,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1
27,421,2023-12-27,0.87243035030104,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1
28,434,2024-01-09,0.8719146141215107,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;itrans,17
29,583,2024-06-06,0.8718308702791462,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,17
30,607,2024-06-30,0.8686371100164204,3,2,kmeans;dwt;ocsvm,calf;itrans,1,kmeans,10
31,423,2023-12-29,0.8681678297755884,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1
32,594,2024-06-17,0.868123973727422,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,9
33,606,2024-06-29,0.8675424192665572,3,2,kmeans;dwt;ocsvm,calf;itrans,1,kmeans,12
34,600,2024-06-23,0.8669950738916256,3,2,kmeans;dwt;ocsvm,calf;itrans,1,kmeans,13
35,543,2024-04-27,0.8619470443349753,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,7
36,437,2024-01-12,0.8594464285714286,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;itrans,17
37,427,2024-01-02,0.8586328680897648,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,2
38,442,2024-01-17,0.8545987274220034,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,17
39,577,2024-05-31,0.8541871921182267,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,17
40,441,2024-01-16,0.8512465790914068,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,5
41,544,2024-04-28,0.8481754241926657,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,45
42,417,2023-12-23,0.8465024630541873,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;ocsvm,1
43,426,2024-01-01,0.8448680897646416,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,9
44,596,2024-06-19,0.844072249589491,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,8
45,435,2024-01-10,0.8425902435686918,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,17
46,436,2024-01-11,0.8409571702244116,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,17
47,604,2024-06-27,0.8399014778325123,3,2,kmeans;dwt;ocsvm,calf;itrans,1,kmeans,4
48,486,2024-03-01,0.8347547892720305,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,18
49,569,2024-05-23,0.8330873015873015,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,kmeans,40
50,424,2023-12-30,0.8285396825396825,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;ocsvm,9
