consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,596,2024-06-19,0.993431855500821,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,4.0
2,538,2024-04-22,0.9915075944170771,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0
3,580,2024-06-03,0.9835796387520525,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
4,531,2024-04-15,0.9743534482758621,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0
5,588,2024-06-11,0.9644225506294473,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,12.0
6,370,2023-11-06,0.9569564176245212,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,5.0
7,541,2024-04-25,0.9413177339901477,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,3.0
8,89,2023-01-29,0.9270114942528735,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,8.0
9,153,2023-04-03,0.9266026956759715,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,3.0
10,486,2024-03-01,0.9225591817186645,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,17.0
11,524,2024-04-08,0.9222359058565957,5,0,dp;zms;units;isolation_forest;calf,,3,units;isolation_forest;calf,6.0
12,587,2024-06-10,0.9217296113847837,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,45.0
13,81,2023-01-21,0.9190441981390258,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,1.0
14,566,2024-05-20,0.9036159003831419,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,8.0
15,279,2023-08-07,0.9010057471264368,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,21.0
16,430,2024-01-05,0.9006841817186645,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,25.0
17,539,2024-04-23,0.8999110563765736,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,1.0
18,559,2024-05-13,0.898809523809524,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,4.0
19,569,2024-05-23,0.8821753557744938,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,22.0
20,398,2023-12-04,0.8721657772304324,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,32.0
21,356,2023-10-23,0.870082443897099,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,33.0
22,573,2024-05-27,0.8681085796387521,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,11.0
23,499,2024-03-14,0.8660611658456485,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,30.0
24,100,2023-02-09,0.8598624794745484,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,35.0
25,594,2024-06-17,0.8505747126436782,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,21.0
26,314,2023-09-11,0.8502685413245759,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,19.0
27,489,2024-03-04,0.8468972359058565,5,0,dp;zms;units;isolation_forest;calf,,0,,
28,561,2024-05-15,0.8448241652983033,5,0,dp;zms;units;isolation_forest;calf,,2,zms;isolation_forest,38.0
29,502,2024-03-17,0.8411381362889984,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,16.0
30,468,2024-02-12,0.8387400793650794,5,0,dp;zms;units;isolation_forest;calf,,2,zms;calf,44.0
