consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,153,2023-04-03,0.9620555555555554,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0
2,402,2023-12-08,0.9309444444444445,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,5.0
3,531,2024-04-15,0.891625,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,3.0
4,493,2024-03-08,0.8849027777777778,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,19.0
5,518,2024-04-02,0.8726527777777779,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,4.0
6,150,2023-03-31,0.8652083333333334,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,6.0
7,365,2023-11-01,0.8635972222222221,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,40.0
8,310,2023-09-07,0.8617083333333333,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,22.0
9,148,2023-03-29,0.861125,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,10.0
10,514,2024-03-29,0.8574027777777777,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,6.0
11,563,2024-05-17,0.8551527777777777,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,14.0
12,471,2024-02-15,0.8463888888888891,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,9.0
13,513,2024-03-28,0.842375,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;units;gpt4ts,21.0
14,458,2024-02-02,0.8386250000000001,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,12.0
15,367,2023-11-03,0.8375833333333335,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,49.0
16,89,2023-01-29,0.8310972222222223,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,1.0
17,179,2023-04-29,0.8212222222222222,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,21.0
18,556,2024-05-10,0.8190277777777778,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,39.0
19,178,2023-04-28,0.8154999999999999,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
20,521,2024-04-05,0.812111111111111,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,14.0
21,410,2023-12-16,0.8117083333333334,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,3.0
22,390,2023-11-26,0.8115138888888888,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,19.0
23,76,2023-01-16,0.8089444444444445,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,2.0
24,369,2023-11-05,0.8026944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,36.0
25,530,2024-04-14,0.7998611111111111,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,12.0
26,327,2023-09-24,0.7940416666666666,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,19.0
27,190,2023-05-10,0.7889722222222222,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;datamole,25.0
28,460,2024-02-04,0.7825694444444444,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;datamole,11.0
29,258,2023-07-17,0.7792222222222221,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
30,363,2023-10-30,0.7773888888888889,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,33.0
31,332,2023-09-29,0.7737083333333332,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
32,184,2023-05-04,0.7735694444444444,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,2.0
33,487,2024-03-02,0.7723333333333333,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
34,480,2024-02-24,0.7670416666666666,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,4.0
35,482,2024-02-26,0.7638055555555556,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,23.0
36,170,2023-04-20,0.7636805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,15.0
37,83,2023-01-23,0.7609583333333333,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,8.0
38,544,2024-04-28,0.7549722222222222,5,0,itrans;calf;units;datamole;gpt4ts,,2,datamole;gpt4ts,29.0
39,130,2023-03-11,0.7530833333333333,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,17.0
40,522,2024-04-06,0.7528750000000001,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
41,391,2023-11-27,0.7510833333333333,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,23.0
42,92,2023-02-01,0.7500833333333333,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,18.0
43,151,2023-04-01,0.7499861111111111,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
44,180,2023-04-30,0.7470416666666667,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;datamole,14.0
45,485,2024-02-29,0.7410416666666666,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,8.0
46,301,2023-08-29,0.7389583333333334,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,7.0
47,262,2023-07-21,0.7376250000000001,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
48,375,2023-11-11,0.7370555555555556,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,15.0
49,583,2024-06-06,0.7283333333333334,3,2,itrans;datamole;gpt4ts,calf;units,0,,
50,213,2023-06-02,0.7256944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,22.0
