method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
kmeans,1,605,2024-06-28,9.642529897036829,1.0,0.6715927750410509,130,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,2,606,2024-06-29,9.430464854952776,0.9983579638752053,0.7400109469074986,78,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,3,604,2024-06-27,9.13523524346593,0.9967159277504105,0.6795292829775589,122,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,4,598,2024-06-21,9.06821690546188,0.9950738916256158,0.5824261083743842,199,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,5,599,2024-06-22,8.990240916285792,0.993431855500821,0.7654433497536945,61,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,6,602,2024-06-25,8.986919611428183,0.9917898193760263,0.5344827586206896,232,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,7,607,2024-06-30,8.956964548866615,0.9901477832512315,0.7372742200328407,80,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,8,597,2024-06-20,8.885960923496958,0.9885057471264368,0.5751929392446633,203,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,9,600,2024-06-23,8.88320912205488,0.986863711001642,0.7361795292829775,82,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,10,595,2024-06-18,8.810308337395973,0.9852216748768473,0.8103017241379311,31,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,11,603,2024-06-26,8.79250839580052,0.9835796387520526,0.5317460317460317,235,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,12,601,2024-06-24,8.738512107528326,0.9819376026272578,0.5621237000547344,211,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,13,596,2024-06-19,8.731736591664644,0.9802955665024631,0.5966153530377668,187,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,14,591,2024-06-14,8.708578428139496,0.9786535303776683,0.40091133004926116,395,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,15,592,2024-06-15,8.695848852134525,0.9770114942528736,0.7763382594417076,51,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,16,593,2024-06-16,8.672642772943185,0.9753694581280788,0.7805110837438424,49,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,17,594,2024-06-17,8.639348543001978,0.9737274220032841,0.5382922824302134,229,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,18,590,2024-06-13,8.572453743156043,0.9720853858784894,0.5015065681444992,275,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,19,588,2024-06-11,8.471004001779338,0.9704433497536946,0.3522393267651889,466,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,20,589,2024-06-12,8.44992767157482,0.9688013136288999,0.5560981116584565,217,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,21,586,2024-06-09,8.363548029623479,0.9671592775041051,0.7492918719211822,73,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,22,587,2024-06-10,8.363533145842153,0.9655172413793104,0.7755480295566503,54,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,23,585,2024-06-08,8.358353452476956,0.9638752052545156,0.7601375205254516,66,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,24,584,2024-06-07,8.351284749410429,0.9622331691297209,0.7819027093596058,47,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,25,583,2024-06-06,8.244649359266194,0.9605911330049262,0.37549466338259446,437,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,26,582,2024-06-05,8.145833893390236,0.9589490968801314,0.6944601806239739,107,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,27,581,2024-06-04,8.144560482311215,0.9573070607553367,0.35023809523809524,472,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,28,580,2024-06-03,8.056377235959147,0.9556650246305419,0.781541461412151,48,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,29,579,2024-06-02,8.053120305258563,0.9540229885057471,0.720591133004926,90,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,30,578,2024-06-01,8.045832673268277,0.9523809523809523,0.7726806239737274,57,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,31,577,2024-05-31,8.034576478011937,0.9507389162561576,0.5727483579638751,205,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,32,576,2024-05-30,7.9555398710856275,0.9490968801313628,0.5139018883415435,266,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,33,575,2024-05-29,7.880422168621252,0.9474548440065681,0.6830743021346469,120,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,34,574,2024-05-28,7.875665703233119,0.9458128078817734,0.6865951012588944,118,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,35,573,2024-05-27,7.805493082510328,0.9441707717569786,0.488299192665572,289,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,36,572,2024-05-26,7.800132837906401,0.9425287356321839,0.7773962780514505,50,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,37,571,2024-05-25,7.791494726261365,0.9408866995073891,0.7736095374931582,55,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,38,570,2024-05-24,7.779362169886385,0.9392446633825944,0.738387246852764,79,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,39,569,2024-05-23,7.718603530101862,0.9376026272577996,0.6337003968253969,152,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,40,568,2024-05-22,7.65863576478776,0.9359605911330049,0.7538803366174056,72,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,41,567,2024-05-21,7.638822078006096,0.9343185550082101,0.5608498221127531,212,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,42,566,2024-05-20,7.578578573311943,0.9326765188834154,0.485389367816092,292,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,43,565,2024-05-19,7.55983879639609,0.9310344827586207,0.7454863163656267,76,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,44,564,2024-05-18,7.538500837892689,0.9293924466338259,0.7734644225506294,56,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,45,563,2024-05-17,7.510370746008742,0.9277504105090312,0.6522918719211823,143,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,46,562,2024-05-16,7.457516013149436,0.9261083743842364,0.6212716201423099,167,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,47,608,2024-07-01,7.437606804810167,0.9244663382594417,0.6554460864805692,140,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,48,561,2024-05-15,7.406028637845917,0.922824302134647,0.6660734811165845,134,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,49,560,2024-05-14,7.38138256263362,0.9211822660098522,0.49158018609742743,286,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,50,559,2024-05-13,7.3353194805162385,0.9195402298850575,0.6196839080459771,169,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,432,2024-01-07,10.0,0.9876847290640394,0.9199004515599343,15,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,433,2024-01-08,10.0,0.9876847290640394,0.9292983032293376,12,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,434,2024-01-09,10.0,0.9876847290640394,0.9438637110016421,2,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,435,2024-01-10,10.0,0.9876847290640394,0.9102714148877942,18,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,436,2024-01-11,10.0,0.9876847290640394,0.9188905993431856,16,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,437,2024-01-12,10.0,0.9876847290640394,0.9011347837985768,21,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,438,2024-01-13,10.0,0.9876847290640394,0.8083561165845647,32,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,439,2024-01-14,10.0,0.9876847290640394,0.941284893267652,5,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,440,2024-01-15,10.0,0.9876847290640394,0.9352562260536399,8,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,441,2024-01-16,10.0,0.9876847290640394,0.9430322249589491,3,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,442,2024-01-17,10.0,0.9876847290640394,0.9476522988505748,1,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,443,2024-01-18,10.0,0.9876847290640394,0.8655701970443349,25,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,444,2024-01-19,10.0,0.9876847290640394,0.6705133415435138,132,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,445,2024-01-20,10.0,0.9876847290640394,0.8225991379310343,30,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,446,2024-01-21,10.0,0.9876847290640394,0.7110771756978653,98,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,447,2024-01-22,10.0,0.9876847290640394,0.7908345648604269,44,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,408,2023-12-14,8.0,0.9548440065681445,0.47981178160919535,301,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,409,2023-12-15,8.0,0.9548440065681445,0.7758251231527094,53,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,410,2023-12-16,8.0,0.9548440065681445,0.8309761220580185,29,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,411,2023-12-17,8.0,0.9548440065681445,0.7076239737274219,100,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,412,2023-12-18,8.0,0.9548440065681445,0.7316038587848933,86,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,413,2023-12-19,8.0,0.9548440065681445,0.7562806513409963,69,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,414,2023-12-20,8.0,0.9548440065681445,0.6479329501915709,147,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,415,2023-12-21,8.0,0.9548440065681445,0.7181755610290094,94,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,416,2023-12-22,8.0,0.9548440065681445,0.6914146141215106,113,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,417,2023-12-23,8.0,0.9548440065681445,0.8806597564313081,23,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,418,2023-12-24,8.0,0.9548440065681445,0.9043613847837986,20,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,419,2023-12-25,8.0,0.9548440065681445,0.9278228653530378,14,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,420,2023-12-26,8.0,0.9548440065681445,0.9419935686918445,4,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,421,2023-12-27,8.0,0.9548440065681445,0.9291234948002189,13,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,422,2023-12-28,8.0,0.9548440065681445,0.9375598659003831,6,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,17,423,2023-12-29,8.0,0.9548440065681445,0.8822968664477285,22,5,0,kmeans;dwt;calf;itrans;ocsvm,
