method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
kmeans,1,608,2024-07-01,11.109991452655436,1.0,0.8180076628352491,59,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,2,607,2024-06-30,10.905145235367181,0.9983579638752053,0.8850574712643678,28,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,3,606,2024-06-29,10.829046419551702,0.9967159277504105,0.8845101258894362,29,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,4,605,2024-06-28,10.755501011843105,0.9950738916256158,0.8136288998357962,61,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,5,603,2024-06-26,10.576976213140057,0.993431855500821,0.6814449917898194,150,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,6,604,2024-06-27,10.558350490937741,0.9917898193760263,0.844280240831965,44,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,7,602,2024-06-25,10.474284800840554,0.9901477832512315,0.764367816091954,93,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,8,598,2024-06-21,10.464764271130665,0.9885057471264368,0.6008230706075534,215,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,9,596,2024-06-19,10.452110521001888,0.986863711001642,0.9060077996715927,13,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,10,592,2024-06-15,10.4380712153798,0.9852216748768473,0.9096243842364532,10,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,11,599,2024-06-22,10.43692413815738,0.9835796387520526,0.8987972085385879,16,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,12,597,2024-06-20,10.436878629176169,0.9819376026272578,0.7529412972085385,102,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,13,595,2024-06-18,10.42120898096687,0.9802955665024631,0.9455028735632184,3,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,14,581,2024-06-04,10.41526702978492,0.9786535303776683,0.8952442528735632,19,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,15,582,2024-06-05,10.413012252984279,0.9770114942528736,0.845350985221675,43,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,16,584,2024-06-07,10.41257365269354,0.9753694581280788,0.9792692939244664,1,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,17,583,2024-06-06,10.407073703489043,0.9737274220032841,0.7704946633825944,91,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,18,580,2024-06-03,10.406161191945815,0.9720853858784894,0.9659790640394089,2,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,19,593,2024-06-16,10.405909770181674,0.9704433497536946,0.8963464696223318,18,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,20,585,2024-06-08,10.40585563116007,0.9688013136288999,0.8145135467980297,60,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,21,586,2024-06-09,10.403885945470446,0.9671592775041051,0.8924363711001643,22,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,22,587,2024-06-10,10.400829388070198,0.9655172413793104,0.9061145320197044,12,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,23,579,2024-06-02,10.397655839986149,0.9638752052545156,0.8728653530377669,36,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,24,578,2024-06-01,10.397540749613658,0.9622331691297209,0.8870381773399015,26,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,25,600,2024-06-23,10.395545912744991,0.9605911330049262,0.8724685276409415,38,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,26,576,2024-05-30,10.392321315591426,0.9589490968801314,0.8184667487684729,57,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,27,575,2024-05-29,10.392304502708143,0.9573070607553367,0.8104752326217843,63,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,28,577,2024-05-31,10.388321146643046,0.9556650246305419,0.9224527914614122,7,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,29,574,2024-05-28,10.3856169426892,0.9540229885057471,0.7853075396825396,82,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,30,588,2024-06-11,10.37854802140062,0.9523809523809523,0.9241933497536945,6,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,31,594,2024-06-17,10.378174934459883,0.9507389162561576,0.8294478653530377,52,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,32,601,2024-06-24,10.37083153411114,0.9490968801313628,0.7367268746579091,114,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,33,573,2024-05-27,10.368139318054375,0.9474548440065681,0.8463039819376027,42,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,34,572,2024-05-26,10.367597295333066,0.9458128078817734,0.88041495621237,31,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,35,571,2024-05-25,10.365151420981324,0.9441707717569786,0.8429754378762999,46,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,36,589,2024-06-12,10.362772165101568,0.9425287356321839,0.6489573070607554,179,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,37,570,2024-05-24,10.353838659590032,0.9408866995073891,0.7375882594417077,112,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,38,590,2024-06-13,10.342422305672176,0.9392446633825944,0.6087889983579639,209,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,39,569,2024-05-23,10.339403683670763,0.9376026272577996,0.8004170771756979,71,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,40,568,2024-05-22,10.339316333233066,0.9359605911330049,0.9105224411603722,9,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,41,567,2024-05-21,10.336189562644662,0.9343185550082101,0.6509337712096332,176,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,42,591,2024-06-14,10.320463129829227,0.9326765188834154,0.6693041871921183,163,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,43,566,2024-05-20,10.313722853132992,0.9310344827586207,0.8516959496442255,40,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,44,565,2024-05-19,10.301980635981636,0.9293924466338259,0.7106308839627805,127,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,45,564,2024-05-18,10.296161237146277,0.9277504105090312,0.797559934318555,72,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,46,563,2024-05-17,10.279212452700902,0.9261083743842364,0.8040087575259991,68,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,47,562,2024-05-16,10.242326284622294,0.9244663382594417,0.9367118910782704,4,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,48,561,2024-05-15,10.22332893071196,0.922824302134647,0.8272866721401204,55,5,0,kmeans;dwt;calf;itrans;ocsvm,
