method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
kmeans,1,608,2024-07-01,14.432744087887194,1.0,0.7008757525998904,86,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,2,603,2024-06-26,14.159272680689332,0.9983579638752053,0.8472906403940886,20,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,3,604,2024-06-27,14.136349845284826,0.9967159277504105,0.7941981390257252,33,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,4,601,2024-06-24,14.044591684578045,0.9950738916256158,0.7936507936507936,35,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,5,602,2024-06-25,13.99443430234219,0.993431855500821,0.8998357963875204,12,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,6,598,2024-06-21,13.987401497404631,0.9917898193760263,0.8714326765188833,16,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,7,597,2024-06-20,13.971188732745523,0.9901477832512315,0.8883292282430214,14,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,8,596,2024-06-19,13.947515820460394,0.9885057471264368,0.9251190476190476,11,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,9,605,2024-06-28,13.947044629619361,0.986863711001642,0.6964969896004378,89,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,10,594,2024-06-17,13.93897820030125,0.9852216748768473,0.6458189655172414,129,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,11,600,2024-06-23,13.934732739181833,0.9835796387520526,0.6954022988505747,90,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,12,599,2024-06-22,13.933070474508156,0.9819376026272578,0.6920812807881773,94,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,13,595,2024-06-18,13.898305051537744,0.9802955665024631,0.7604207717569786,52,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,14,591,2024-06-14,13.844945706338798,0.9786535303776683,0.5744458128078818,196,4,1,kmeans;dwt;itrans;ocsvm,calf
kmeans,15,590,2024-06-13,13.82351427749201,0.9770114942528736,0.7044519704433498,84,4,1,kmeans;dwt;itrans;ocsvm,calf
