consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,541,2024-04-25,0.999,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0
2,584,2024-06-07,0.9977777777777778,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,1.0
3,538,2024-04-22,0.9915833333333334,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,3.0
4,527,2024-04-11,0.9794444444444445,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,4.0
5,531,2024-04-15,0.9750694444444445,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,5.0
6,539,2024-04-23,0.9582222222222223,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,2.0
7,513,2024-03-28,0.9486944444444445,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,8.0
8,562,2024-05-16,0.9464583333333334,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;gpt4ts,4.0
9,561,2024-05-15,0.9447777777777777,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,7.0
10,589,2024-06-12,0.9433333333333334,3,2,itrans;datamole;gpt4ts,calf;units,2,datamole;gpt4ts,17.0
11,563,2024-05-17,0.9362916666666667,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;datamole,10.0
12,536,2024-04-20,0.9353194444444444,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,19.0
13,577,2024-05-31,0.9277777777777777,3,2,itrans;datamole;gpt4ts,calf;units,1,datamole,15.0
14,514,2024-03-29,0.9264999999999999,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,25.0
15,537,2024-04-21,0.9245972222222221,5,0,itrans;calf;units;datamole;gpt4ts,,3,units;datamole;gpt4ts,4.0
16,585,2024-06-08,0.9177777777777778,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,21.0
17,588,2024-06-11,0.9127777777777778,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;datamole,2.0
18,559,2024-05-13,0.9123055555555556,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,20.0
19,471,2024-02-15,0.9121805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,6.0
20,529,2024-04-13,0.9108055555555555,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;datamole;gpt4ts,18.0
21,593,2024-06-16,0.91,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,32.0
22,598,2024-06-21,0.9088888888888889,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,13.0
23,499,2024-03-14,0.9084583333333333,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,6.0
24,583,2024-06-06,0.9049999999999999,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,23.0
25,573,2024-05-27,0.904388888888889,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,7.0
26,518,2024-04-02,0.9012638888888889,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;datamole,20.0
27,544,2024-04-28,0.90075,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;datamole;gpt4ts,16.0
28,184,2023-05-04,0.8993472222222222,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,28.0
29,582,2024-06-05,0.898888888888889,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,20.0
30,558,2024-05-12,0.8973749999999999,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;datamole,23.0
31,543,2024-04-27,0.8941805555555555,5,0,itrans;calf;units;datamole;gpt4ts,,2,datamole;gpt4ts,1.0
32,521,2024-04-05,0.8903749999999999,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,30.0
33,528,2024-04-12,0.889625,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,5.0
34,520,2024-04-04,0.889375,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,48.0
35,519,2024-04-03,0.8871527777777779,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;units;datamole,43.0
36,517,2024-04-01,0.8847777777777779,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
37,564,2024-05-18,0.8835416666666667,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;datamole,36.0
38,572,2024-05-26,0.8822222222222222,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,32.0
39,314,2023-09-11,0.879875,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,24.0
40,557,2024-05-11,0.878125,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,9.0
41,591,2024-06-14,0.8722222222222221,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,31.0
42,540,2024-04-24,0.870125,5,0,itrans;calf;units;datamole;gpt4ts,,3,units;datamole;gpt4ts,2.0
43,568,2024-05-22,0.8696111111111111,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,25.0
44,523,2024-04-07,0.8671111111111109,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,22.0
45,153,2023-04-03,0.8660277777777778,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,10.0
46,509,2024-03-24,0.8650694444444443,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,28.0
47,530,2024-04-14,0.8649722222222221,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,22.0
48,469,2024-02-13,0.8636527777777777,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;units,40.0
49,532,2024-04-16,0.85825,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,9.0
50,542,2024-04-26,0.8564305555555555,5,0,itrans;calf;units;datamole;gpt4ts,,3,units;datamole;gpt4ts,3.0
