consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
2,541,2024-04-25,0.9993333333333332,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1,8,541,0.9068194444444446,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,1.0
3,538,2024-04-22,0.9952638888888888,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,2,9,538,0.9021527777777777,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,2.0
4,580,2024-06-03,0.9883333333333333,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,5,20,580,0.8416666666666667,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,2.0
5,439,2024-01-14,0.9825277777777778,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,6,3,439,0.9309583333333332,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,1.0
7,527,2024-04-11,0.9716527777777777,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,5,37,527,0.7856666666666667,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,17.0
8,588,2024-06-11,0.9672222222222221,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,6,39,588,0.7822222222222223,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,40.0
10,562,2024-05-16,0.9577916666666667,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,7,11,562,0.8895833333333332,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,1.0
11,563,2024-05-17,0.9554722222222223,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,17,17,563,0.8475833333333334,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,9.0
12,429,2024-01-04,0.9473888888888888,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;datamole,15,10,429,0.8898055555555555,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,5.0
15,531,2024-04-15,0.9414166666666667,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,8,25,531,0.8323888888888888,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,2.0
17,521,2024-04-05,0.9325277777777778,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,32,13,521,0.8640416666666667,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;units;gpt4ts,26.0
20,153,2023-04-03,0.9152638888888889,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,13,2,153,0.9343888888888889,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,4.0
21,486,2024-03-01,0.9115277777777777,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,4,1,486,0.954375,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,6.0
22,573,2024-05-27,0.9098194444444445,5,0,itrans;calf;units;datamole;gpt4ts,,3,units;datamole;gpt4ts,19,19,573,0.8465138888888889,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;units,20.0
23,577,2024-05-31,0.9088888888888889,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,27,18,577,0.8472222222222222,3,2,itrans;datamole;gpt4ts,calf;units,0,,
24,367,2023-11-03,0.906375,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,25,29,367,0.8133333333333335,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
