consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,439,2024-01-14,0.9459398732553366,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,13,itrans;calf;units;gpt4ts;dp;zms;isolation_forest;dwt;ocsvm;catch;tsnet;dagmm;knn,1
2,580,2024-06-03,0.9256201844132879,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,11,itrans;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;knn;kmeans_multivariate,1
3,538,2024-04-22,0.9174021406335522,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,10,calf;units;dp;zms;isolation_forest;ocsvm;catch;tsnet;dagmm;knn,2
4,541,2024-04-25,0.9058472521551724,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,10,itrans;calf;units;zms;isolation_forest;ocsvm;catch;tsnet;dagmm;knn,1
5,588,2024-06-11,0.9032089175192624,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,8,itrans;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;kmeans_multivariate,8
6,429,2024-01-04,0.8960956314997263,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,11,itrans;calf;units;dp;zms;dwt;ocsvm;catch;tsnet;dagmm;knn,1
7,531,2024-04-15,0.893890278633005,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,12,itrans;calf;units;gpt4ts;dp;zms;isolation_forest;ocsvm;catch;tsnet;dagmm;knn,1
8,596,2024-06-19,0.8906214475179991,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,7,gpt4ts;dp;zms;isolation_forest;kmeans_univariate;knn;kmeans_multivariate,5
9,562,2024-05-16,0.8821664400314724,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,10,itrans;gpt4ts;zms;kmeans_univariate;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,1
10,486,2024-03-01,0.8743583016899289,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,9,itrans;calf;units;gpt4ts;zms;isolation_forest;ocsvm;tsnet;knn,6
11,576,2024-05-30,0.8694120247568524,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,4,gpt4ts;kmeans_univariate;dwt;kmeans_multivariate,12
12,584,2024-06-07,0.8578678792471895,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,10,itrans;gpt4ts;zms;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,1
13,561,2024-05-15,0.8521678297755884,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,8,gpt4ts;zms;isolation_forest;kmeans_univariate;ocsvm;tsnet;knn;kmeans_multivariate,3
14,587,2024-06-10,0.8518207654414552,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,9,dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;dagmm;knn;kmeans_multivariate,2
15,577,2024-05-31,0.849708222811671,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,4,kmeans_univariate;dwt;knn;kmeans_multivariate,24
16,570,2024-05-24,0.849088370621237,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,4,isolation_forest;kmeans_univariate;knn;kmeans_multivariate,19
17,573,2024-05-27,0.8473987411056377,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,6,itrans;units;dp;zms;kmeans_univariate;kmeans_multivariate,10
18,527,2024-04-11,0.8446550655103996,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,6,gpt4ts;zms;isolation_forest;catch;tsnet;knn,8
19,568,2024-05-22,0.8380722538656267,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,7,itrans;calf;units;kmeans_univariate;catch;tsnet;kmeans_multivariate,3
20,513,2024-03-28,0.8366873204022989,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,9,itrans;calf;units;gpt4ts;zms;ocsvm;catch;tsnet;dagmm,9
21,566,2024-05-20,0.8322933129789272,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,6,gpt4ts;dp;zms;isolation_forest;kmeans_univariate;kmeans_multivariate,8
22,153,2023-04-03,0.8273379772167488,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,7,itrans;units;gpt4ts;dp;zms;catch;tsnet,4
23,608,2024-07-01,0.8222039773763912,9,7,dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;dagmm;knn;kmeans_multivariate,itrans;calf;units;datamole;gpt4ts;catch;tsnet,2,kmeans_univariate;kmeans_multivariate,2
24,499,2024-03-14,0.8179152555418719,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,6,itrans;units;dp;zms;isolation_forest;tsnet,8
25,539,2024-04-23,0.816852935139573,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,8,calf;zms;isolation_forest;ocsvm;catch;tsnet;dagmm;knn,4
26,521,2024-04-05,0.8021648578612479,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,5,calf;units;gpt4ts;catch;tsnet,11
27,585,2024-06-08,0.7998288493116079,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,7,dp;isolation_forest;kmeans_univariate;dwt;dagmm;knn;kmeans_multivariate,1
28,578,2024-06-01,0.7973878994568651,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,6,itrans;gpt4ts;dp;kmeans_univariate;dwt;kmeans_multivariate,7
29,595,2024-06-18,0.7911203738789946,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,7,itrans;gpt4ts;dp;isolation_forest;kmeans_univariate;tsnet;kmeans_multivariate,6
30,563,2024-05-17,0.7901916564039408,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,4,itrans;gpt4ts;kmeans_univariate;kmeans_multivariate,9
31,502,2024-03-17,0.7901457520867543,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,4,calf;isolation_forest;dagmm;knn,10
32,559,2024-05-13,0.7875885373905309,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,5,gpt4ts;dp;zms;kmeans_univariate;kmeans_multivariate,13
33,471,2024-02-15,0.7868594562465792,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,2,catch;knn,22
34,564,2024-05-18,0.784721580801861,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,6,itrans;dp;isolation_forest;kmeans_univariate;catch;kmeans_multivariate,2
35,582,2024-06-05,0.782248957938613,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,7,itrans;gpt4ts;zms;kmeans_univariate;dwt;ocsvm;kmeans_multivariate,8
36,581,2024-06-04,0.7801376784135404,13,3,itrans;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;tsnet;dagmm;knn;kmeans_multivariate,calf;units;catch,7,gpt4ts;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;kmeans_multivariate,12
37,601,2024-06-24,0.7681992337164751,9,7,dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;dagmm;knn;kmeans_multivariate,itrans;calf;units;datamole;gpt4ts;catch;tsnet,4,dp;zms;kmeans_univariate;kmeans_multivariate,6
38,571,2024-05-25,0.7642880661603721,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,6,itrans;dp;isolation_forest;kmeans_univariate;catch;kmeans_multivariate,8
39,525,2024-04-09,0.7621918830391352,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,5,itrans;units;datamole;gpt4ts;dagmm,22
40,569,2024-05-23,0.7611708701081007,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,6,calf;zms;isolation_forest;kmeans_univariate;knn;kmeans_multivariate,9
41,402,2023-12-08,0.7557066528119869,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,3,itrans;catch;tsnet,38
42,55,2022-12-26,0.7513622913245759,16,0,itrans;calf;units;datamole;gpt4ts;dp;zms;isolation_forest;kmeans_univariate;dwt;ocsvm;catch;tsnet;dagmm;knn;kmeans_multivariate,,6,units;datamole;dp;zms;dagmm;knn,16
