consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,486,2024-03-01,0.954375,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,6.0
2,153,2023-04-03,0.9343888888888889,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,4.0
3,439,2024-01-14,0.9309583333333332,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,1.0
4,525,2024-04-09,0.9307916666666666,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;units;datamole;gpt4ts,22.0
5,568,2024-05-22,0.9120694444444444,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,3.0
6,576,2024-05-30,0.9111111111111111,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,12.0
7,595,2024-06-18,0.9072222222222223,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,6.0
8,541,2024-04-25,0.9068194444444446,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,1.0
9,538,2024-04-22,0.9021527777777777,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,2.0
10,429,2024-01-04,0.8898055555555555,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,5.0
11,562,2024-05-16,0.8895833333333332,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,1.0
12,597,2024-06-20,0.8772222222222222,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,16.0
13,521,2024-04-05,0.8640416666666667,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;units;gpt4ts,26.0
14,150,2023-03-31,0.8548055555555557,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,6.0
15,471,2024-02-15,0.8535555555555556,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
16,570,2024-05-24,0.8493888888888887,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
17,563,2024-05-17,0.8475833333333334,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,9.0
18,577,2024-05-31,0.8472222222222222,3,2,itrans;datamole;gpt4ts,calf;units,0,,
19,573,2024-05-27,0.8465138888888889,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;units,20.0
20,580,2024-06-03,0.8416666666666667,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,2.0
21,402,2023-12-08,0.8364166666666666,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,38.0
22,565,2024-05-19,0.834236111111111,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,47.0
23,171,2023-04-21,0.8336666666666666,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,5.0
24,578,2024-06-01,0.8333333333333334,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,7.0
25,531,2024-04-15,0.8323888888888888,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,2.0
26,177,2023-04-27,0.8261527777777777,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,49.0
27,222,2023-06-11,0.8196388888888888,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,9.0
28,513,2024-03-28,0.8186944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,10.0
29,367,2023-11-03,0.8133333333333335,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
30,518,2024-04-02,0.810763888888889,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;calf,3.0
31,571,2024-05-25,0.8092361111111112,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,45.0
32,310,2023-09-07,0.8026944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;datamole,33.0
33,564,2024-05-18,0.8025833333333333,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,11.0
34,55,2022-12-26,0.7958472222222223,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;datamole,16.0
35,363,2023-10-30,0.7944444444444445,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,35.0
36,365,2023-11-01,0.7899999999999999,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,34.0
37,527,2024-04-11,0.7856666666666667,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,17.0
38,364,2023-10-31,0.7853888888888889,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
39,588,2024-06-11,0.7822222222222223,3,2,itrans;datamole;gpt4ts,calf;units,1,itrans,40.0
40,572,2024-05-26,0.7791250000000001,5,0,itrans;calf;units;datamole;gpt4ts,,1,itrans,17.0
41,514,2024-03-29,0.7787499999999999,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,28.0
42,472,2024-02-16,0.7786111111111111,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,39.0
43,148,2023-03-29,0.7753333333333334,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
44,590,2024-06-13,0.7655555555555557,3,2,itrans;datamole;gpt4ts,calf;units,0,,
45,586,2024-06-09,0.7616666666666667,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,16.0
46,596,2024-06-19,0.7594444444444445,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,13.0
47,523,2024-04-07,0.7591944444444444,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,10.0
48,537,2024-04-21,0.7587222222222223,5,0,itrans;calf;units;datamole;gpt4ts,,1,units,3.0
49,566,2024-05-20,0.7560833333333333,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,22.0
50,377,2023-11-13,0.7556388888888889,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,38.0
