consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,584,2024-06-07,0.9716687192118226,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,2.0
2,439,2024-01-14,0.9714187192118227,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
3,562,2024-05-16,0.9699666803503011,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,6.0
4,513,2024-03-28,0.9508232074438971,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;dagmm,9.0
5,429,2024-01-04,0.9341865079365078,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
6,605,2024-06-28,0.9326765188834155,3,2,dagmm;knn;kmeans,catch;tsnet,1,kmeans,8.0
7,587,2024-06-10,0.9306260262725781,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,2.0
8,531,2024-04-15,0.9280600027367267,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
9,538,2024-04-22,0.9259807060755337,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,4.0
10,541,2024-04-25,0.9247324849480021,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,3.0
11,561,2024-05-15,0.9147845511767926,5,0,catch;tsnet;dagmm;knn;kmeans,,3,tsnet;knn;kmeans,23.0
12,580,2024-06-03,0.9112931034482759,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;knn;kmeans,7.0
13,539,2024-04-23,0.9104447865353039,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,10.0
14,596,2024-06-19,0.9103222495894909,4,1,tsnet;dagmm;knn;kmeans,catch,2,knn;kmeans,5.0
15,527,2024-04-11,0.9081983442802409,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,8.0
16,604,2024-06-27,0.9039408866995075,3,2,dagmm;knn;kmeans,catch;tsnet,2,dagmm;kmeans,3.0
17,588,2024-06-11,0.9013074712643678,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,21.0
18,502,2024-03-17,0.8924401340996168,5,0,catch;tsnet;dagmm;knn;kmeans,,2,dagmm;knn,10.0
19,608,2024-07-01,0.8905309250136836,3,2,dagmm;knn;kmeans,catch;tsnet,1,kmeans,6.0
20,521,2024-04-05,0.8899137931034481,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;tsnet,11.0
21,120,2023-03-01,0.8891575670498085,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,13.0
22,577,2024-05-31,0.8775718390804598,4,1,tsnet;dagmm;knn;kmeans,catch,2,knn;kmeans,32.0
23,499,2024-03-14,0.871216201423098,5,0,catch;tsnet;dagmm;knn;kmeans,,1,tsnet,8.0
24,585,2024-06-08,0.8641810344827586,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,4.0
25,581,2024-06-04,0.8605767651888341,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,28.0
26,471,2024-02-15,0.8497805829228243,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;knn,22.0
27,576,2024-05-30,0.848126026272578,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,33.0
28,582,2024-06-05,0.8336227422003284,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,27.0
29,436,2024-01-11,0.8326799397920087,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
30,570,2024-05-24,0.8315691023535852,5,0,catch;tsnet;dagmm;knn;kmeans,,2,knn;kmeans,19.0
31,568,2024-05-22,0.8280540503557745,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;kmeans,22.0
32,528,2024-04-12,0.8247279009304872,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;tsnet,17.0
33,153,2023-04-03,0.8191681718664476,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;tsnet,5.0
