method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
dp,1,585,2024-06-08,104.70712280273438,1.0,0.749863163656267,104,3,2,dp;zms;isolation_forest,units;calf
dp,2,541,2024-04-25,79.35852813720703,0.9983579638752053,0.9990147783251231,1,5,0,dp;zms;units;isolation_forest;calf,
dp,3,542,2024-04-26,78.3032455444336,0.9967159277504105,0.8997348795840174,35,5,0,dp;zms;units;isolation_forest;calf,
dp,4,584,2024-06-07,68.95790100097656,0.9950738916256158,0.9890530925013684,2,3,2,dp;zms;isolation_forest,units;calf
dp,5,527,2024-04-11,60.29903030395508,0.993431855500821,0.977403188286809,9,5,0,dp;zms;units;isolation_forest;calf,
dp,6,538,2024-04-22,57.574092864990234,0.9917898193760263,0.9861128215654077,5,5,0,dp;zms;units;isolation_forest;calf,
dp,7,531,2024-04-15,46.183223724365234,0.9901477832512315,0.9861966338259442,4,5,0,dp;zms;units;isolation_forest;calf,
dp,8,439,2024-01-14,40.969112396240234,0.9885057471264368,0.9866755610290093,3,5,0,dp;zms;units;isolation_forest;calf,
dp,9,487,2024-03-02,40.89620590209961,0.986863711001642,0.8383039135194308,62,5,0,dp;zms;units;isolation_forest;calf,
dp,10,440,2024-01-15,40.80945587158203,0.9852216748768473,0.6930162151067323,130,5,0,dp;zms;units;isolation_forest;calf,
dp,11,499,2024-03-14,34.79779815673828,0.9835796387520526,0.9792060071154898,7,5,0,dp;zms;units;isolation_forest;calf,
dp,12,486,2024-03-01,33.614540100097656,0.9819376026272578,0.9820778598795841,6,5,0,dp;zms;units;isolation_forest;calf,
dp,13,564,2024-05-18,31.887331008911133,0.9802955665024631,0.785627052545156,88,5,0,dp;zms;units;isolation_forest;calf,
dp,14,472,2024-02-16,31.77584457397461,0.9786535303776683,0.9547653256704981,15,5,0,dp;zms;units;isolation_forest;calf,
dp,15,540,2024-04-24,31.58675765991211,0.9770114942528736,0.9413998357963876,16,5,0,dp;zms;units;isolation_forest;calf,
